Number of HBD,Number of HBA,MW (Da),N. Carbon atoms,N. heavy atoms,N. Hydrogen atoms,N. Nitrogen atoms,N. Oxygen atoms,N. Fluorine atoms,N. Sulphur atoms,N. Chlorine atoms,Pentamers,Hexamers,Heptamers,Aromatic cycles,clogP,Dataset
2,3,406.89300000000003,23,29,21,3,2,0,0,1,1,3,0,3,3.3032000000000012,AIEMG
2,2,409.26300000000003,20,26,15,3,2,0,0,0,2,2,0,3,2.872390000000001,AIEMG
2,4,424.83100000000013,20,29,19,2,4,2,0,1,1,2,0,2,3.357400000000002,AIEMG
0,3,372.32200000000006,20,27,13,1,3,3,0,0,1,2,0,2,4.134010000000003,AIEMG
3,3,389.49900000000014,24,29,27,3,2,0,0,0,0,3,0,2,3.2272900000000018,AIEMG
1,7,476.57800000000026,26,34,26,3,4,0,1,0,0,4,0,3,4.871530000000004,AIEMG
2,4,380.4480000000001,21,28,24,4,3,0,0,0,0,3,0,2,2.8973000000000013,AIEMG
2,4,438.67800000000017,18,28,12,4,3,0,0,3,1,2,0,2,3.2289900000000005,AIEMG
0,5,383.4750000000001,24,29,23,4,1,0,0,0,0,4,0,2,3.497550000000002,AIEMG
1,4,338.4550000000001,20,25,26,4,1,0,0,0,0,3,0,2,3.001400000000002,AIEMG
0,1,383.291,19,27,11,1,1,6,0,0,0,2,0,2,4.886690000000002,AIEMG
1,2,340.85400000000004,20,24,21,2,1,0,0,1,0,3,0,2,3.9792900000000033,AIEMG
1,6,436.58100000000013,24,31,28,4,2,0,1,0,2,2,0,3,4.857090000000005,AIEMG
1,4,473.90700000000027,24,33,22,3,3,2,0,1,1,3,0,3,4.421190000000004,AIEMG
2,3,511.06500000000017,32,37,31,2,2,0,0,1,0,4,0,4,6.296890000000006,AIEMG
1,1,398.33299999999997,23,27,21,1,1,0,0,2,0,3,0,2,6.380690000000004,AIEMG
1,4,499.9680000000002,21,32,18,2,4,2,2,1,0,3,0,3,2.829600000000002,AIEMG
1,6,435.5030000000002,24,32,26,5,2,1,0,0,0,4,0,3,3.366500000000001,AIEMG
2,5,511.35100000000017,24,33,20,4,3,1,0,0,0,4,0,3,3.269100000000001,AIEMG
1,4,348.40400000000005,15,23,11,3,2,1,2,0,1,2,0,3,2.1949999999999994,AIEMG
2,7,414.8050000000002,19,29,15,4,5,0,0,1,0,3,0,3,1.8500899999999991,AIEMG
1,3,364.30300000000017,17,26,13,3,3,3,0,0,1,2,0,2,3.7190900000000022,AIEMG
1,5,340.36600000000004,20,26,14,5,1,0,0,0,2,3,0,4,0.10980000000000034,AIEMG
2,3,419.4720000000002,21,29,20,3,1,3,1,0,1,2,0,2,5.011690000000003,AIEMG
0,3,416.54100000000017,26,30,23,1,1,1,1,0,0,4,0,3,6.296680000000006,AIEMG
2,6,376.80300000000017,20,27,13,4,2,0,0,1,1,2,0,2,3.8754300000000024,AIEMG
2,4,300.3830000000001,16,21,16,2,2,0,1,0,1,2,0,1,2.3596700000000004,AIEMG
2,4,339.374,18,25,18,5,1,1,0,0,1,2,0,3,2.966800000000001,AIEMG
3,5,322.36800000000005,18,24,18,4,2,0,0,0,0,3,0,3,-0.3368999999999991,AIEMG
3,3,403.9820000000003,21,28,32,6,0,0,0,1,1,3,0,1,-1.0625999999999953,AIEMG
4,3,308.34100000000007,17,23,16,4,2,0,0,0,1,3,0,2,-1.0506999999999977,AIEMG
2,9,394.4360000000001,19,28,16,5,3,0,1,0,2,2,0,3,-0.48299999999999943,AIEMG
2,3,467.4880000000001,22,32,21,3,2,4,1,0,0,3,0,2,2.7238900000000017,AIEMG
1,5,364.446,21,26,18,1,3,0,1,0,2,2,0,3,4.738610000000004,AIEMG
2,2,438.77800000000013,18,25,17,3,1,0,1,1,1,2,0,2,3.7529900000000023,AIEMG
1,4,300.33900000000006,15,21,12,2,3,0,1,0,0,2,0,2,1.52999,AIEMG
2,8,466.54100000000017,18,30,15,4,4,1,3,0,1,2,0,3,3.0638000000000014,AIEMG
0,4,392.45600000000013,22,28,18,1,4,0,1,0,1,3,0,3,3.960390000000003,AIEMG
3,1,383.53900000000004,26,29,29,3,0,0,0,0,1,4,0,3,0.661900000000003,AIEMG
2,2,362.9050000000001,19,25,27,4,1,0,0,1,0,3,0,1,1.1670000000000005,AIEMG
2,6,402.8450000000001,21,29,15,6,1,0,0,1,1,3,0,4,2.0907000000000004,AIEMG
2,2,420.93600000000026,22,29,28,3,2,1,0,1,1,2,0,1,2.1303799999999997,AIEMG
3,4,352.36899999999997,19,26,17,4,2,1,0,0,0,3,0,3,2.1037899999999996,AIEMG
1,3,296.37100000000004,17,21,14,1,2,0,1,0,1,2,0,2,2.7922900000000013,AIEMG
0,4,388.38900000000007,21,28,19,2,2,3,0,0,1,3,0,2,3.6114900000000025,AIEMG
1,4,356.51500000000004,20,25,26,3,1,0,1,0,3,1,0,2,4.334090000000003,AIEMG
2,3,425.81900000000013,18,28,11,3,2,3,1,1,0,3,0,3,6.229100000000003,AIEMG
1,3,386.4420000000001,22,28,24,2,2,2,0,0,0,2,0,2,4.078100000000004,AIEMG
1,3,443.3850000000002,23,28,27,2,2,0,0,0,1,2,0,2,5.192590000000005,AIEMG
1,3,334.3920000000001,17,23,17,1,3,1,1,0,1,2,0,1,2.548590000000001,AIEMG
2,4,387.48700000000014,23,29,25,5,1,0,0,0,0,3,0,3,1.3865,AIEMG
3,2,378.28300000000013,18,25,19,4,1,0,0,2,1,2,0,3,2.4853000000000014,AIEMG
2,4,318.3980000000001,16,22,18,2,3,0,1,0,0,3,0,2,0.7496999999999996,AIEMG
2,6,319.70799999999997,13,22,10,5,3,0,0,1,1,2,0,3,0.8762999999999999,AIEMG
2,6,411.4620000000002,21,30,25,5,4,0,0,0,0,3,0,2,0.05990000000000406,AIEMG
2,3,359.90700000000004,17,23,14,3,0,0,2,1,1,2,0,2,2.7527000000000017,AIEMG
3,5,337.35900000000004,18,25,17,4,3,0,0,0,2,2,0,2,-0.7881999999999982,AIEMG
2,3,382.415,21,28,21,3,3,1,0,0,0,3,0,2,3.3103900000000017,AIEMG
2,3,467.5930000000003,29,35,31,4,2,0,0,0,1,4,0,4,3.392590000000002,AIEMG
1,4,432.2830000000002,21,29,17,2,4,0,0,2,1,2,0,2,3.548090000000002,AIEMG
2,2,395.4780000000002,23,29,26,3,2,1,0,0,0,3,0,2,4.095590000000002,AIEMG
1,2,316.32699999999994,18,23,16,1,2,2,0,0,1,2,0,2,3.0093900000000016,AIEMG
3,4,382.3710000000001,20,28,17,3,4,1,0,0,0,3,0,2,2.3208900000000003,AIEMG
1,4,304.305,18,23,12,2,3,0,0,0,1,2,0,3,1.9517900000000001,AIEMG
3,4,369.42400000000004,23,28,19,3,2,0,0,0,0,3,0,3,1.5858899999999998,AIEMG
1,3,287.34200000000004,19,22,15,2,1,0,0,0,0,3,0,3,4.133190000000002,AIEMG
2,2,329.3950000000001,19,24,22,2,2,1,0,0,0,2,0,2,2.4573,AIEMG
2,2,296.37,18,22,20,2,2,0,0,0,0,2,0,2,2.845620000000001,AIEMG
1,2,456.9980000000001,27,32,21,2,1,0,1,1,0,4,0,3,6.502350000000005,AIEMG
1,2,291.35,19,22,17,1,2,0,0,0,3,1,0,2,3.759820000000002,AIEMG
1,8,338.3520000000001,15,24,10,6,2,0,1,0,3,1,0,4,2.631100000000001,AIEMG
0,3,376.4520000000002,19,26,20,3,1,2,1,0,2,2,0,2,1.7909000000000002,AIEMG
0,4,378.42800000000005,22,28,22,2,4,0,0,0,0,3,0,2,3.333590000000002,AIEMG
2,2,338.8430000000001,18,23,13,3,0,0,1,1,0,3,0,3,4.690700000000002,AIEMG
2,3,459.63600000000037,24,32,35,4,3,0,1,0,2,2,0,1,3.6624900000000027,AIEMG
1,1,347.38,20,25,20,1,1,3,0,0,0,3,0,2,3.689090000000002,AIEMG
0,1,349.38000000000005,22,26,17,1,1,2,0,0,0,3,0,3,4.833390000000004,AIEMG
2,5,430.7910000000002,17,28,10,2,4,3,1,1,2,1,0,2,3.452090000000001,AIEMG
0,5,391.4690000000001,18,26,16,2,3,1,2,0,1,2,0,2,4.415890000000004,AIEMG
1,3,327.79099999999994,18,23,16,2,2,0,0,1,0,3,0,2,3.1153900000000014,AIEMG
0,7,372.43200000000013,21,28,20,6,1,0,0,0,3,2,0,2,2.516790000000001,AIEMG
2,3,297.35800000000006,17,22,19,3,2,0,0,0,1,2,0,2,1.8181999999999996,AIEMG
1,6,392.28200000000004,15,23,14,5,1,0,1,0,1,2,0,3,3.2451000000000016,AIEMG
1,6,371.76000000000005,17,26,12,4,4,0,0,1,1,2,0,3,3.068220000000001,AIEMG
2,4,341.7780000000001,17,24,14,4,2,0,0,1,0,2,0,2,3.592010000000002,AIEMG
0,5,360.3930000000001,21,27,18,3,3,0,0,0,2,2,0,3,3.6276100000000024,AIEMG
0,8,423.4940000000001,22,30,21,3,4,0,1,0,1,2,0,3,4.168010000000003,AIEMG
1,3,295.36600000000004,17,22,19,4,1,0,0,0,0,3,0,2,2.653290000000001,AIEMG
1,7,408.4180000000001,20,30,20,6,4,0,0,0,1,2,0,3,2.7880200000000013,AIEMG
0,6,374.8490000000001,18,25,15,2,3,0,1,1,1,3,0,2,2.885390000000001,AIEMG
2,4,377.51700000000017,21,27,23,5,0,0,1,0,1,3,0,3,1.9406999999999992,AIEMG
1,5,333.363,16,23,13,3,1,2,1,0,1,2,0,3,1.9309,AIEMG
4,3,359.8410000000001,17,25,20,6,1,0,0,1,0,3,0,2,-0.5195999999999976,AIEMG
2,3,353.85700000000014,19,25,20,5,0,0,0,1,1,2,0,2,1.4769799999999997,AIEMG
1,3,368.46000000000004,24,28,22,3,1,0,0,0,1,3,0,4,3.0330000000000013,AIEMG
5,5,416.28300000000013,17,26,18,7,1,0,0,0,1,2,0,3,0.7533999999999992,AIEMG
2,3,295.363,17,21,13,1,2,0,1,0,2,2,0,3,3.387600000000001,AIEMG
3,4,421.52100000000024,24,31,29,4,3,0,0,0,0,3,0,2,0.7610900000000023,AIEMG
1,4,374.82400000000007,19,26,19,2,4,0,0,1,1,2,0,1,2.3448900000000004,AIEMG
1,4,316.76800000000003,16,22,15,3,2,0,0,1,0,3,0,2,3.5856900000000014,AIEMG
1,7,295.2780000000001,15,22,11,4,3,0,0,0,2,2,0,3,1.6918899999999997,AIEMG
3,3,368.269,15,23,13,4,1,0,1,2,2,1,0,3,3.0267000000000017,AIEMG
2,4,435.42200000000014,22,31,22,2,4,3,0,0,1,1,0,2,4.085390000000003,AIEMG
1,4,365.82000000000005,20,26,16,3,2,0,0,1,0,3,0,3,3.170090000000002,AIEMG
0,3,386.51500000000016,26,29,28,1,2,0,0,0,1,3,0,2,6.101370000000005,AIEMG
0,4,343.79100000000005,17,23,10,1,3,0,1,1,1,2,0,3,5.165290000000003,AIEMG
1,3,412.5380000000002,25,30,22,3,1,0,1,0,3,2,0,4,5.444690000000005,AIEMG
2,9,491.5980000000005,23,33,34,5,3,0,1,0,2,3,0,2,3.7020000000000026,AIEMG
2,2,323.4400000000001,20,24,25,3,1,0,0,0,1,2,0,2,1.9154999999999995,AIEMG
1,3,344.36600000000004,18,25,19,3,3,1,0,0,1,2,0,2,1.5540999999999996,AIEMG
3,1,276.25699999999995,12,19,14,3,0,4,0,0,0,2,0,1,-0.5287999999999997,AIEMG
2,2,281.33500000000004,17,21,17,2,2,0,0,0,0,2,0,2,1.3650999999999993,AIEMG
1,4,283.209,12,20,8,3,2,3,0,0,0,2,0,2,3.752200000000002,AIEMG
1,3,308.361,18,23,18,3,2,0,0,0,0,3,0,2,2.02989,AIEMG
2,5,342.35800000000006,20,26,14,4,2,0,0,0,1,2,0,2,0.6953299999999997,AIEMG
2,9,380.3630000000001,13,25,8,4,6,0,2,0,1,3,0,2,0.10127999999999981,AIEMG
1,5,357.4540000000001,20,26,27,3,3,0,0,0,2,2,0,2,2.806100000000001,AIEMG
2,5,417.3910000000001,20,30,18,5,2,3,0,0,1,2,0,3,3.8661900000000022,AIEMG
2,3,390.82200000000006,19,27,18,3,3,1,0,1,3,1,0,2,2.9754900000000015,AIEMG
2,5,451.59100000000035,26,33,35,4,3,0,0,0,1,2,0,1,2.48369,AIEMG
1,3,348.8300000000002,18,24,21,2,3,0,0,1,0,2,0,1,1.8132899999999996,AIEMG
2,4,413.2910000000001,21,26,19,1,3,0,0,0,0,3,0,2,5.407590000000004,AIEMG
1,4,373.4780000000001,19,26,23,3,3,0,1,0,0,3,0,2,1.6154,AIEMG
1,4,389.403,19,27,15,2,3,2,1,0,1,2,0,2,4.020390000000003,AIEMG
2,5,371.4000000000001,21,28,17,5,2,0,0,0,1,2,0,3,2.7701800000000008,AIEMG
2,7,383.47700000000015,19,27,21,5,2,0,1,0,1,2,0,3,3.0151400000000006,AIEMG
2,4,367.327,17,26,16,3,3,3,0,0,0,2,0,2,2.6226000000000003,AIEMG
1,4,312.325,17,23,16,2,4,0,0,0,0,3,0,1,2.547790000000001,AIEMG
3,3,310.184,14,20,13,3,1,0,0,2,2,1,0,2,3.8500000000000023,AIEMG
0,5,345.358,20,26,15,3,3,0,0,0,2,2,0,3,2.3816100000000002,AIEMG
3,3,367.32500000000005,18,26,16,4,3,0,0,0,1,2,0,3,2.4239900000000008,AIEMG
2,4,290.326,17,22,14,4,1,0,0,0,1,2,0,3,0.845,AIEMG
1,8,366.2890000000001,17,27,10,4,6,0,0,0,0,3,0,3,0.9413899999999995,AIEMG
0,3,278.307,18,21,14,0,3,0,0,0,0,3,0,3,4.067600000000002,AIEMG
3,2,230.242,13,17,11,2,1,1,0,0,0,2,0,2,0.9349000000000001,AIEMG
2,2,336.3370000000001,17,24,17,3,1,3,0,0,1,2,0,2,1.4862,AIEMG
3,3,304.80600000000004,14,20,13,4,0,0,1,1,0,3,0,2,1.5388999999999997,AIEMG
1,5,290.326,17,22,14,4,1,0,0,0,1,2,0,3,1.3685999999999998,AIEMG
4,2,309.36500000000007,15,22,22,4,2,1,0,0,0,2,0,1,-0.30559999999999854,AIEMG
1,6,411.4860000000001,20,29,20,6,1,1,1,0,1,3,0,3,2.3440000000000003,AIEMG
4,3,276.3400000000001,14,20,20,4,2,0,0,0,0,2,0,1,-0.3337999999999992,AIEMG
4,3,339.38300000000004,16,25,19,8,1,0,0,0,1,2,0,3,-4.127999999999998,AIEMG
2,4,378.42500000000007,18,26,19,2,4,1,1,0,0,2,0,2,1.3692000000000004,AIEMG
0,4,363.46100000000007,22,27,25,3,2,0,0,0,1,3,0,2,2.490500000000001,AIEMG
2,3,298.293,17,22,13,1,3,1,0,0,1,2,0,3,3.302990000000001,AIEMG
2,5,412.36500000000007,18,28,13,1,5,3,1,0,1,2,0,3,4.121790000000002,AIEMG
1,4,354.84100000000024,19,25,19,4,1,0,0,1,1,2,0,2,2.6699900000000003,AIEMG
1,6,411.41400000000016,20,29,14,3,4,1,1,0,1,2,0,2,1.0468699999999997,AIEMG
0,5,379.46100000000007,21,27,19,2,3,0,1,0,1,2,0,3,4.637930000000004,AIEMG
3,6,370.3860000000001,18,26,14,2,5,0,1,0,0,2,0,2,0.5695899999999992,AIEMG
0,3,360.7920000000001,19,25,16,1,3,1,0,1,0,2,0,2,5.076890000000004,AIEMG
0,6,281.27099999999996,15,21,11,3,3,0,0,0,1,2,0,3,2.4886,AIEMG
0,4,329.37500000000006,18,24,20,3,2,1,0,0,0,3,0,2,3.381800000000002,AIEMG
1,3,338.2590000000001,16,21,13,1,1,0,1,2,0,3,0,2,4.926600000000002,AIEMG
2,6,354.33600000000007,15,25,17,6,1,3,0,0,1,2,0,2,-0.14639999999999942,AIEMG
2,4,364.4010000000001,21,27,20,2,4,0,0,0,1,2,0,3,3.7024200000000027,AIEMG
0,8,489.84900000000016,20,33,12,3,8,0,1,1,0,3,0,3,4.239490000000003,AIEMG
2,3,335.4490000000001,17,23,23,2,3,0,1,0,0,2,0,1,3.0321900000000017,AIEMG
3,3,346.4550000000002,18,25,28,5,2,0,0,0,0,3,0,1,-0.3115999999999981,AIEMG
2,5,271.30000000000007,14,20,15,4,2,0,0,0,1,2,0,2,-0.5128000000000001,AIEMG
2,5,296.3340000000001,15,22,16,6,1,0,0,0,1,2,0,2,-0.24289999999999967,AIEMG
2,5,266.30800000000005,14,20,14,6,0,0,0,0,2,1,0,3,-0.39239999999999897,AIEMG
1,3,281.38300000000004,17,21,21,4,0,0,0,0,0,3,0,2,-0.3430999999999971,AIEMG
3,4,351.8820000000002,17,24,26,5,1,0,0,1,0,3,0,1,0.7622000000000002,AIEMG
3,2,281.38300000000004,17,21,21,4,0,0,0,0,0,3,0,2,-0.5954999999999986,AIEMG
2,7,369.4430000000001,16,25,23,3,5,0,1,0,1,2,0,1,-0.6816999999999973,AIEMG
1,4,308.263,14,22,11,4,1,3,0,0,2,1,0,3,2.993100000000001,AIEMG
0,3,365.5190000000002,19,25,29,2,3,0,1,0,2,2,0,0,2.2940900000000006,AIEMG
1,5,328.369,17,23,14,1,4,0,1,0,1,2,0,2,2.11,AIEMG
1,4,366.315,18,26,15,1,4,3,0,0,1,2,0,2,2.9907900000000014,AIEMG
1,5,367.42600000000016,20,26,17,1,4,0,1,0,0,3,0,2,3.6971900000000026,AIEMG
1,6,422.48500000000024,23,31,26,4,4,0,0,0,1,2,0,2,3.0116000000000014,AIEMG
1,7,339.375,18,25,19,4,3,0,0,0,3,1,0,2,2.913970000000001,AIEMG
2,5,333.37100000000015,19,25,17,4,2,0,0,0,1,2,0,3,0.3049899999999997,AIEMG
2,4,355.34400000000005,19,26,15,3,2,2,0,0,0,2,0,2,2.625770000000001,AIEMG
1,3,356.53400000000005,22,26,34,3,1,0,0,0,0,3,0,1,3.4879900000000017,AIEMG
1,8,404.28900000000004,13,26,9,6,1,4,1,0,1,2,0,3,0.8517899999999997,AIEMG
2,5,349.4380000000001,20,26,23,5,1,0,0,0,1,2,0,3,3.6047600000000024,AIEMG
2,3,336.4600000000001,20,24,20,2,1,0,1,0,1,2,0,2,3.8625900000000026,AIEMG
1,3,285.34700000000004,16,21,19,3,2,0,0,0,1,2,0,1,2.799380000000001,AIEMG
3,4,357.2610000000001,16,23,20,3,2,0,0,2,0,2,0,1,3.298490000000001,AIEMG
2,4,299.3740000000001,17,22,21,3,2,0,0,0,0,3,0,2,2.754900000000001,AIEMG
2,5,338.38800000000003,18,24,14,2,3,0,1,0,1,3,0,3,0.9771000000000001,AIEMG
2,2,282.41200000000003,17,20,18,2,0,0,1,0,0,3,0,2,1.6592000000000002,AIEMG
4,2,328.4150000000002,18,24,23,5,0,1,0,0,1,2,0,2,-0.8216999999999972,AIEMG
1,2,305.37200000000007,17,22,21,3,0,2,0,0,1,2,0,1,1.1361000000000003,AIEMG
0,3,324.37100000000004,16,22,15,2,0,3,1,0,1,2,0,2,4.471400000000003,AIEMG
3,3,307.8050000000002,15,21,20,4,1,0,0,1,0,3,0,1,0.07419999999999938,AIEMG
1,5,340.30499999999995,15,24,15,4,2,3,0,0,1,2,0,2,2.130700000000001,AIEMG
3,6,400.3910000000002,19,29,20,4,6,0,0,0,0,2,0,2,2.3204000000000002,AIEMG
1,4,378.202,16,23,14,2,4,0,0,0,0,2,0,2,3.104890000000001,AIEMG
0,5,283.72200000000004,14,20,10,5,0,0,0,1,3,1,0,4,2.7259900000000004,AIEMG
1,3,391.5080000000002,21,27,26,1,3,1,1,0,2,2,0,2,2.39039,AIEMG
0,3,353.80899999999997,19,25,16,3,2,0,0,1,1,2,0,3,3.2269900000000016,AIEMG
3,8,517.9960000000002,22,34,18,4,5,0,2,1,1,2,0,2,3.689890000000002,AIEMG
1,5,299.35500000000013,15,21,13,3,2,0,1,0,1,1,0,2,2.5940900000000005,AIEMG
0,1,268.767,17,19,15,1,0,0,0,1,1,2,0,2,4.2905900000000035,AIEMG
0,4,393.29400000000015,18,25,13,3,0,1,1,2,1,2,0,3,6.028090000000003,AIEMG
1,6,454.9770000000002,20,29,21,1,5,0,2,1,0,3,0,2,3.911990000000003,AIEMG
0,6,271.324,14,20,17,5,1,0,0,0,2,2,0,2,1.4494999999999998,AIEMG
0,2,348.46700000000027,22,25,20,0,2,0,1,0,0,3,0,2,4.039850000000003,AIEMG
3,3,458.4680000000002,24,29,34,4,0,0,0,0,0,3,0,2,3.199200000000003,AIEMG
1,5,336.43800000000016,15,22,16,2,3,0,2,0,2,1,0,2,2.988800000000002,AIEMG
0,4,394.2090000000001,18,26,12,2,3,1,0,2,0,2,0,2,3.951970000000002,AIEMG
1,3,235.282,13,17,16,2,1,1,0,0,0,2,0,1,-0.13050000000000028,AIEMG
2,1,272.29799999999994,16,20,14,2,0,2,0,0,1,2,0,3,2.4955000000000007,AIEMG
3,3,332.4280000000002,17,24,26,5,2,0,0,0,1,2,0,1,-2.7721999999999944,AIEMG
3,3,302.35300000000007,16,22,19,4,1,1,0,0,1,2,0,2,0.4894000000000003,AIEMG
1,1,280.685,13,19,9,3,0,2,0,1,0,2,0,2,0.7738000000000003,AIEMG
3,3,297.69599999999997,12,20,10,5,0,2,0,1,0,2,0,2,0.5107999999999995,AIEMG
1,5,345.3470000000001,14,23,15,2,4,2,1,0,1,1,0,1,-2.173299999999995,AIEMG
1,3,347.84200000000004,19,24,22,1,3,0,0,1,0,2,0,2,3.5507000000000026,AIEMG
2,6,345.384,15,24,15,5,3,0,1,0,1,2,0,3,0.8584999999999992,AIEMG
1,4,320.30400000000003,18,24,12,2,4,0,0,0,1,2,0,2,1.8470899999999997,AIEMG
1,3,282.241,14,20,11,1,2,3,0,0,0,2,0,2,3.646390000000001,AIEMG
2,1,251.75699999999998,14,17,18,1,1,0,0,1,1,1,0,1,1.6198899999999996,AIEMG
0,3,368.497,23,27,30,1,3,0,0,0,1,2,0,1,4.490690000000004,AIEMG
2,3,404.3090000000001,18,24,16,2,2,0,1,0,0,2,0,2,3.605190000000002,AIEMG
2,2,278.75800000000004,15,19,16,2,0,1,0,1,0,2,0,2,2.3377000000000008,AIEMG
1,3,372.5830000000001,20,25,26,3,0,0,2,0,2,1,0,2,2.8362000000000007,AIEMG
2,3,278.339,16,21,16,5,0,0,0,0,1,2,0,3,0.5628,AIEMG
2,3,356.83400000000006,18,24,13,2,2,0,1,1,0,2,0,2,2.7124900000000007,AIEMG
1,2,319.4000000000001,18,23,24,2,2,1,0,0,1,2,0,1,3.2730900000000025,AIEMG
0,3,398.3250000000001,20,24,16,1,1,0,1,0,0,3,0,3,5.644790000000004,AIEMG
3,4,375.8759999999999,20,26,24,2,3,0,0,1,1,2,0,1,2.11019,AIEMG
1,3,359.85600000000005,19,25,21,4,0,1,0,1,0,3,0,2,2.2754000000000003,AIEMG
1,4,279.34299999999996,17,21,17,3,1,0,0,0,1,2,0,3,1.9789999999999996,AIEMG
1,6,348.84000000000015,14,22,9,4,1,0,2,1,1,2,0,2,3.118000000000001,AIEMG
2,3,300.745,16,21,13,2,2,0,0,1,0,2,0,2,2.6750800000000003,AIEMG
1,4,371.40500000000003,17,25,19,1,4,2,1,0,0,2,0,2,3.1620000000000017,AIEMG
2,6,382.4890000000001,20,27,22,4,2,0,1,0,1,2,0,3,3.5424800000000016,AIEMG
0,3,319.381,16,22,16,2,2,1,1,0,0,3,0,2,1.2807,AIEMG
0,2,206.24799999999996,14,16,10,2,0,0,0,0,1,2,0,2,1.9379999999999993,AIEMG
2,4,380.4410000000001,18,26,21,2,4,1,1,0,0,2,0,2,2.6100000000000003,AIEMG
2,5,303.38199999999995,17,22,23,2,3,0,0,0,1,2,0,1,-0.9268999999999974,AIEMG
2,3,369.84700000000026,17,25,22,5,0,2,0,1,1,2,0,1,1.0028000000000006,AIEMG
1,2,214.26799999999994,13,16,14,2,1,0,0,0,2,1,0,1,0.3764999999999994,AIEMG
0,4,312.324,17,23,15,3,2,1,0,0,1,2,0,3,2.0178999999999996,AIEMG
1,3,333.81900000000013,17,23,20,3,2,0,0,1,2,1,0,1,2.630090000000001,AIEMG
1,5,441.5530000000001,22,30,20,3,2,1,2,0,0,3,0,2,3.8149700000000024,AIEMG
2,5,358.4490000000002,21,27,22,6,0,0,0,0,3,1,0,3,3.005890000000001,AIEMG
2,3,332.4490000000001,17,23,22,3,2,0,1,0,1,2,0,1,1.74599,AIEMG
1,5,279.32099999999997,12,19,13,3,3,0,1,0,1,1,0,2,1.0758999999999999,AIEMG
0,5,353.36800000000005,17,25,20,4,1,3,0,0,1,2,0,1,2.8470700000000013,AIEMG
