smiles,QED,SA,EGFR_Docking,HER2_Docking,source
c1ccc(N2CC[C@@H](CNS(=O)(=O)c3cccc(C(F)(F)F)c3)C2)cc1Cl,0.693,3.612,-9.3,-11.7,seed42
c1cccc(OCCN(CCC(=O)NC2CC2)C(=O)C2CC2)c1,0.658,3.022,-8.7,-8.3,seed42
c1ccc(N[C@H](C)C(=O)NCc2cccnc2)cc1,0.761,3.163,-8.65,-8.9,seed42
c1cn(-c2ccccc2)c(SCCC(=O)Nc2cccc3ccccc23)c1,0.337,3.174,-9.2,-10.5,seed42
c1ccc2c(c1)[C@H]1CCC[C@H]1[C@@H]2C(=O)N(Cc1ccco1)C1CC1,0.733,4.469,-8.95,-7.8,seed42
c1ccnc(SC2CCCCC2)c1,0.613,3.172,-8.05,-7.2,seed42
Cc1nnsc1C(=O)NCC(=O)N(C)[C@@H](C)C(=O)N(C)C,0.691,4.125,-8.3,-8.0,seed42
O=C(NCC[C@H](O)c1ccccc1)C(=O)Nc1ccc2c(c1)COC2,0.626,3.701,-9.1,-10.5,seed42
c1ccc2c(c1)CCCN2C(=O)C(=O)Nc1ccc2c(c1)CCC2,0.721,3.163,-9.5,-10.4,seed42
c1cnc(COc2ccc(F)cc2C#N)nc1,0.708,3.188,-8.45,-7.9,seed42
c1ccc(NC[C@@H]2CCN(c3cccc(C(N)=O)c3)C2)cc1,0.791,3.335,-9.25,-10.5,seed42
c1coc(CO[C@H]2CCC[C@H]2CNc2ccccc2)c1,0.759,3.913,-8.6,-8.7,seed42
c1ccc(C(=O)N2CCC[C@@H]2c2ccccc2)nc1,0.723,3.224,-8.6,-8.2,seed42
c1ccc(C[NH2+]Cc2ccccc2C(F)(F)F)cc1,0.776,3.811,-8.9,-9.1,seed42
C=CCN(C(=O)c1csc(-c2ccc3c(c2)OCCO3)n1)[C@@H]1CCS(=O)(=O)C1,0.591,4.167,-9.2,-9.2,seed42
c1ccc(Oc2ccc(C=O)cc2)c(F)c1,0.634,2.661,-8.55,-8.1,seed42
c1cccc(CCNc2nccs2)c1,0.728,2.804,-8.1,-8.0,seed42
c1ccc(-n2cccc2CN2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,0.583,3.019,-9.4,-9.8,seed42
COc1cccc(-c2nc(C)c(C(F)(F)F)cn2)c1,0.736,3.151,-8.75,-8.9,seed42
O=C(Cc1ccccc1)N(Cc1ccncc1)c1ccc(Cl)cc1,0.586,2.863,-9.15,-8.2,seed42
c1nc(N2CCCC2)nc(NCc2ccccc2)n1,0.806,2.981,-8.75,-9.6,seed42
c1coc(-c2ccc(NCc3csc(Nc4ncccn4)n3)c[nH+]2)c1,0.453,4.361,-9.4,-9.7,seed42
O=C(NCCN(c1ccc(F)cc1)S(=O)(=O)c1ccccc1F)C1CCCCC1,0.637,3.188,-9.75,-9.2,seed42
N#C[C@H](C(=O)CCCC1CC1)c1ncccc1OC(F)F,0.636,4.254,-8.45,-7.1,seed42
CC(C)O[C@@H](C(=O)N1C[C@H](C)O[C@H](C)C1)c1cccc([N+](=O)[O-])c1,0.51,4.469,-8.8,-7.4,seed42
c1cc(-c2cnccn2)cc(Cl)c1,0.591,2.807,-8.2,-7.7,seed42
c1ccc(-n2nnnc2S[C@H]2CCc3c(F)cccc32)cc1,0.641,3.849,-9.25,-9.4,seed42
c1ccc(-c2csc(NC3CCCCC3)n2)cc1,0.773,2.844,-8.9,-9.8,seed42
O=C(COc1c(Cl)cccc1NC(=O)c1ccccc1)NCc1ccccc1,0.528,2.787,-9.55,-9.6,seed42
c1ccc([C@H]2C(C#N)=C(N)Oc3c2c(C)nn3C2CCCCC2)cc1,0.803,4.085,-9.05,-8.5,seed42
c1nc(NC2CCN(c3cccc(Cl)c3)CC2)no1,0.836,3.472,-8.75,-8.7,seed42
N#Cc1ccc(Sc2cccc(NC(=O)Cn3ccnc3C(F)(F)F)n2)cc1,0.597,3.739,-9.1,-10.4,seed42
Cc1ccc(-c2noc(CN(C)CC(=O)N3CCc4ccccc4c3=O)n2)cc1,0.566,3.361,-9.65,-10.4,seed42
O=C1C[C@@H](C(=O)NCc2ccc(COc3ccccc3)cc2C(=O)[O-])CC(=O)O1,0.441,3.737,-9.5,-10.5,seed42
Fc1ccc(-c2csc(Cn3cc(Br)cn3)n2)cc1,0.624,3.245,-8.6,-8.8,seed42
c1ccc(-c2ncco2)cc1NCc1cccc(Br)c1,0.653,3.099,-8.95,-10.0,seed42
O=C(/C=C/c1ccccc1)N1CCC(Cc2ccccc2)CC1,0.676,2.842,-9.2,-9.5,seed42
N#C/C(=C/c1cccc(C(F)(F)F)c1)C(=O)Nc1ccc(-n2cccn2)cc1,0.436,3.329,-9.4,-9.7,seed42
c1[nH]c2ccc(NCc3cccc4cccnc34)cc2c1,0.483,3.12,-9.4,-10.5,seed42
c1ccc(C#N)c(N[C@H]2CCN(c3ccccc3)C2)c1,0.824,3.347,-9.05,-9.0,seed42
c1nc(-c2ccc(OCC(F)(F)Cl)o2)nc(N)c1C#Cc1ccccc1,0.452,4.109,-9.15,-10.7,seed42
n1cc(/C=C/C(=O)c2c(C)nn(-c3cccc(Cl)c3)c2C#N)ccc1Cl,0.274,3.696,-8.95,-9.1,seed42
n1cncn1CC(=O)Nc1ccc(Br)cc1,0.831,2.903,-8.25,-8.1,seed42
O=C([O-])c1ccc(OC(=O)c2cccc(Cl)c2)cc1,0.534,3.106,-8.9,-9.8,seed42
CCOc1cc(Cl)c(C)cc1NC(=O)CSC(Nc1ncccc1F)C(C)C,0.43,4.179,-9.0,-8.9,seed42
N#C[C@@H](S(=O)(=O)c1cccs1)c1cccc2ccccc12,0.636,3.828,-8.95,-7.7,seed42
n1nc(-c2cccs2)cc(CNc2cccc3ccc(C4CC4)cc23)c1,0.387,3.494,-9.4,-11.0,seed42
n1cncn1Cc1cccc(NC(=O)CN2CCOCC2)c1,0.775,3.046,-8.7,-8.9,seed42
n1ccnc(NC[C@@H]2CC(=O)N(N)c3ccccc32)c1,0.548,4.155,-9.05,-9.2,seed42
O=C1CCc2ccnc(Br)c21,0.515,3.798,-7.85,-6.4,seed42
Fc1cccc(CNCCOc2ccccc2F)c1,0.708,2.697,-8.65,-8.7,seed42
[nH]1C[C@H](c2ccccc2)ncn1-c1cccc(Cl)c1Cl,0.805,4.31,-9.1,-9.0,seed42
n1cc(-c2ccccc2F)nn1-c1ccccc1C(N)=O,0.7,3.24,-9.5,-10.5,seed42
n1c(SCC(=O)NCC(C)C)sc(C(N)=O)c1C,0.675,3.345,-7.95,-7.8,seed42
N=C1c2ccc([N+](=O)[O-])cc2N(C[C@H](O)c2ccc(F)cc2)C1,0.57,4.126,-9.5,-9.9,seed42
O=[N+]([O-])c1c(NCCCCC(=O)Nc2ccnn2C(F)F)cnn1-c1ccccc1,0.194,3.857,-9.0,-9.0,seed42
C[C@H](N[C@@H]1CCSc2ccc(F)cc21)c1ncc(Cl)cc1Cl,0.695,4.407,-8.75,-8.3,seed42
[NH3+]C[C@H]1CCCN1C(=O)C1CCCC1,0.585,4.24,-8.05,-6.8,seed42
[NH3+]CCSc1ccc(Br)cc1F,0.716,4.166,-7.7,-6.0,seed42
[NH3+]C[C@@H](O)CSc1ccc(C(F)(F)F)cc1,0.696,4.328,-8.25,-7.4,seed42
[NH3+][C@H](Cc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12,0.66,4.068,-9.35,-9.9,seed42
[NH3+][C@]1(CC(=O)N2CCN(c3ccccc3)CC2)CCc2ccccc21,0.829,4.03,-9.5,-9.0,seed42
[C@](C(=O)Nc1cc(Cl)ccc1OC(F)F)N1CCN(Cc2ccccc2)CC1,0.659,3.625,-9.0,-9.2,seed42
[C@]1(c2ccccc2)Nc2cc(Cl)ccc2N1,0.679,3.425,-8.65,-9.2,seed42
[C@](C#N)S(=O)(=O)c1ccc2ccc(=O)[nH]c2c1,0.75,4.049,-8.6,-8.3,seed42
[C@]1(C(=[NH2+])Nc2cccc(Cl)c2)SCCO1,0.505,4.453,-8.35,-8.0,seed42
[C@](C#N)(O)CCNc1ccccc1CN1CCOCC1,0.673,3.513,-8.3,-7.3,seed42
[C@](O)(c1ccccc1F)C1(C)CC(=O)NC1=O,0.656,4.264,-8.7,-8.0,seed42
[C@]=C(c1ccccc1)NC(=O)NNc1cc(Cl)ccc1OC,0.642,3.622,-8.95,-10.0,seed42
[C@](C#Cc1ccccc1)c1ccc(NC(=O)C2CC2)nc1,0.774,3.567,-9.25,-9.7,seed42
[C@]1(C(=O)NCc2cccc(C(F)(F)F)c2)NC(=O)N(Cc2cccnc2)[C@@H]1C,0.723,4.142,-9.45,-10.7,seed42
[C@]1(Cc2ccc(Cl)cc2)NC(=O)NC1=O,0.642,3.607,-8.55,-8.4,seed42
[C@](C#Cc1ccc(Cl)cc1)NCCCn1cccc1,0.402,3.988,-8.25,-8.5,seed42
[C@]1(C(=O)Nc2cccc(Cl)c2)SCC(=O)N1Cc1ccccc1,0.822,3.289,-8.9,-9.2,seed42
[C@](C#N)(/N=C/C(=O)Nc1ccc(Cl)cc1)NC1CCCCC1,0.718,3.726,-8.45,-9.1,seed42
[C@]1(c2ccccc2)Oc2nc(SCc3ccccc3)[nH]c2N1,0.614,3.745,-9.25,-10.4,seed42
[C@](O)(c1ccsc1)N1CCN(C(C)C)CC1,0.774,3.669,-8.0,-7.3,seed42
[C@](O)(c1ccccc1)[C@H](CNC(=O)C(=O)Nc1ccc(C#N)cc1)c1ccccc1,0.454,3.756,-9.6,-9.3,seed42
[C@]1(C(=O)c2c[nH]c3cccc(Cl)c23)NC(=S)N1C1CCCCC1,0.551,3.919,-9.25,-9.2,seed42
[C@]1(C(=O)NCCc2cccs2)NC(=O)N(CCc2ccccc2)[C@@H]1C,0.701,4.065,-8.75,-9.4,seed42
[C@](C#N)(OCc1cc(Cl)cs1)Nc1cccc(F)c1,0.8,3.923,-8.4,-8.6,seed42
[C@]1(Cc2nc3ccccc3[nH]2)NC(=O)N(CC(N)=O)C1(C)C,0.682,4.001,-8.9,-9.2,seed42
[C@](O)(c1ccccc1)C1CCN(C(=O)c2ccc(N(C)C)cc2)CC1,0.828,3.152,-9.25,-10.5,seed42
[C@]1(CNC(=O)c2cccc(Cl)c2)[C@H]2CCCC[C@]2(C)Oc2ccccc21,0.724,4.308,-9.55,-11.1,seed42
[C@](C#N)(O[C@H](CO)c1ccccc1)c1ccncc1,0.787,4.119,-8.65,-7.9,seed42
[C@]1(c2cccc(Cl)c2)NC(=O)C1,0.556,3.479,-8.1,-7.8,seed42
[C@]1(C#Cc2ccccc2)NC(=O)N(C[C@@H]2Cc3ccccc3C(=O)N2)C1,0.718,4.498,-9.75,-10.3,seed42
Cc1ccccc1NC(=O)[C@@H](c1ccccc1)[C@@H]([NH3+])CSC1CCCCC1,0.645,4.336,-9.45,-9.3,seed42
O[C@H](Nc1c(F)cc(Br)cc1F)c1ccco1,0.754,4.15,-8.55,-7.9,seed42
[C@]1(C)CCN(C(=O)NCCNc2ccccc2F)C1,0.719,3.451,-8.6,-9.2,seed42
[C@](C#N)(/N=C(\[O-])c1ccc(C(=O)Nc2ccc(F)cc2)cc1)c1ccc(Cl)cc1,0.415,3.622,-9.45,-10.6,seed42
[C@]1(C#N)CCN(Cc2ccc([N+](=O)[O-])cc2)C1,0.487,3.599,-8.3,-7.8,seed42
[C@](O)(C1CCCCC1)C1CCN(C(=O)c2ccc[nH]2)CC1,0.796,3.609,-8.95,-8.7,seed42
[C@](O)(Cc1c[nH]c(C(N)=O)c1)C(=O)Nc1ccc(Cl)c(Br)c1,0.535,3.94,-8.95,-9.9,seed42
[C@]1(C#N)CCc2ccccc21,0.444,3.708,-7.9,-7.0,seed42
[C@]1(C(=O)NCc2ccccc2)c2ccccc2O1,0.79,3.133,-8.95,-9.5,seed42
[C@](O)(c1ccccn1)NC(=O)C1CCCCC1,0.739,3.37,-8.75,-8.5,seed42
[C@]Oc1c(C)cccc1C(=O)NCCC(=O)c1ccncc1,0.73,3.543,-8.9,-9.1,seed42
[C@]1(c2ccccc2)NC(=O)N(CC(=O)N2CCc3ccccc32)C1=O,0.769,3.474,-9.3,-10.7,seed42
[C@]1(Cc2cccc(F)c2)NC(C(=O)NC[C@@H]2CCCO2)C(=O)N1c1ccc(F)cc1,0.612,4.491,-9.5,-10.0,seed42
[C@](C#N)(O[C@@H](C)C(=O)NC(=O)C(C)(C)C)c1ccccc1F,0.826,4.153,-8.7,-9.4,seed42
[C@]1(NC(=O)c2ccccc2)CCC(=O)N1c1ccccc1,0.839,3.131,-8.95,-8.4,seed42
[C@]1(CCc2ccc(Cl)cc2)[NH2+]C[C@@H]1c1ccc(F)cc1,0.789,4.262,-9.15,-9.5,seed42
[C@](C#N)N(CC#N)c1ccccc1,0.409,4.222,-7.55,-6.1,seed42
[C@]1(COc2cc(F)cc(F)c2)N[C@H](c2cccnc2)N1C1CC1,0.82,4.316,-8.75,-8.8,seed42
[C@](C#N)(CNC(=O)Nc1cc2c(cc1Br)OCCO2)c1ccc(Cl)cc1,0.656,3.697,-9.45,-9.6,seed42
[C@]1(CNc2ccccc2C#N)CCCO1,0.716,3.76,-8.3,-7.7,seed42
[C@]1(C(=O)NCC2CCN(c3ccccc3F)CC2)N=NC(N)=N[C@@H]1C,0.772,4.449,-9.4,-10.4,seed42
[C@](CC(=O)Nc1ccc(C#N)c(Cl)c1)c1cccc(F)c1,0.833,3.54,-8.85,-9.9,seed42
[C@](O)(c1ccccc1)[C@H]1CCc2ccccc21,0.723,3.579,-9.2,-9.2,seed42
[C@](O)(CNC(=O)c1ccccc1[N+](=O)[O-])C(=O)N1CCCC1,0.518,3.398,-8.75,-9.5,seed42
[C@]1(c2cccnc2)N2CCCC[C@@]2(C(=O)NCc2cccnc2)C1=O,0.757,4.312,-9.2,-9.0,seed42
[C@](O)(c1cccnc1)[C@@H]1CCCN(C(=O)N2CCCC2)C1,0.808,3.921,-8.5,-9.2,seed42
[C@](O)(c1ccc(F)cc1)[C@H]1CCCCN1c1ccc2[nH]ccc2c1,0.638,3.941,-9.45,-9.0,seed42
[C@]1(CCc2ccccc2)NC(=O)N(CN2CCC(c3nc4ccccc4s3)CC2)C1,0.534,3.785,-9.6,-10.8,seed42
[C@](C#N)S(=O)(=O)Cc1ccccc1F,0.657,3.944,-7.95,-7.1,seed42
[C@]Oc1cc(NC(=O)N[C@H]2C[C@H]2C)ccc1OC1CCCC1,0.775,4.425,-8.8,-9.7,seed42
[C@](C#Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,0.701,3.461,-8.95,-9.9,seed42
[C@](C#N)(OCc1cnc(-c2ccc(Cl)cc2)nc1)c1ccc(F)cc1,0.575,3.503,-9.3,-9.9,seed42
[C@]1(CC(C)C)OC(=O)C[C@H]1Nc1cccc(Cl)c1,0.746,4.215,-8.45,-8.7,seed42
[C@](O)CNc1nc(F)ccc1F,0.573,4.385,-7.85,-6.5,seed42
[C@]1(C(=O)/C=C/c2ccc(OC(=O)N3CCOCC3)cc2)CS1,0.53,3.583,-8.65,-8.8,seed42
[C@]Oc1ccccc1NC(=O)CC1CCN(c2ccccc2F)CC1,0.795,3.386,-9.15,-9.6,seed42
[C@](C#N)(NC(=O)c1ccc(Br)cc1)c1ccccc1,0.845,3.219,-8.9,-8.4,seed42
O=C(Nc1ccccc1)C(=O)Nc1cccc([N+](=O)[O-])c1,0.412,2.683,-9.2,-10.0,seed42
[C@](O)(CC(=O)N1CCC[C@H]1c1ccccn1)c1n[nH]c2ccccc12,0.668,4.129,-9.55,-9.0,seed42
[C@]1(CC(=O)Nc2ccccc2C(=O)N2CCCC2)CN1Cc1ccccc1,0.702,3.682,-9.15,-10.3,seed42
[C@](C#N)(NC(=O)c1cc(F)c(F)cc1F)[C@H]1CCCO1,0.764,4.302,-8.7,-8.4,seed42
[C@]1(c2ccncc2)NC(=O)N(CC(F)(F)F)C1=O,0.707,4.017,-8.8,-8.0,seed42
[C@]1(C)Cc2ccc(C(=O)NCc3ccc4c(c3)CC[NH2+]C4)cc21,0.791,4.365,-9.65,-11.6,seed42
[C@](C#N)(Oc1ccccc1C(F)(F)F)c1n[nH]c([O-])c1C#N,0.83,4.485,-8.85,-8.6,seed42
[C@]1(NC(=O)c2cncc3sccc23)NN(CCOc2ccccc2)C1=O,0.596,3.898,-9.25,-10.3,seed42
[C@](O)(c1ccc(Cl)cc1)N1CCN(Cc2ccccc2)CC1,0.837,2.974,-8.75,-9.2,seed42
[C@](O)(CCc1ccc(Cl)cc1)NC(C)(C)C,0.744,3.273,-8.25,-7.6,seed42
[C@]Oc1ccc(NC(=O)COc2ccc(N)c(Cl)c2)cc1OC,0.694,3.421,-8.55,-9.0,seed42
[C@](N)(c1ccc(Br)cc1)[C@H]1CCCC[C@@H]1O,0.776,4.14,-8.7,-8.2,seed42
[C@](O)(CC/N=C/c1ccc(F)cc1)c1ccc2ccccc2c1,0.578,3.43,-9.2,-10.8,seed42
[C@](O)(c1cccc(Cl)c1)[C@H]1CCCO1,0.715,3.888,-8.25,-7.6,seed42
[C@](C#Cc1ccccc1)C(=O)Nc1ccc(N2CCOCC2)cc1,0.785,3.486,-9.25,-9.5,seed42
[C@]O[C@@H](CO)CNC(=O)c1cc(C(C)C)c2ccccc2n1,0.756,4.245,-9.0,-9.1,seed42
[C@]1(C(=O)CCc2ccccc2OC[C@@H]2CCCO2)CCCO1,0.676,4.112,-8.85,-8.6,seed42
[C@]1(CCNC(=O)N(Cc2ccco2)Cc2ccccc2)CCCO1,0.743,3.596,-9.05,-9.0,seed42
[C@]1(c2ccccc2)CSCCN1Cc1cccc(F)c1,0.74,3.442,-8.85,-8.0,seed42
[C@](C#N)C(=O)c1ccc([N+](=O)[O-])c(N2CCCC2)c1,0.367,3.828,-8.4,-8.0,seed42
[C@](C(=O)c1ccc(Br)cc1)N1CCOCC1,0.694,3.87,-8.45,-7.7,seed42
[C@](Cl)c1nc2cc(NC(=O)c3ccccc3)[nH]c2s1,0.675,4.186,-8.55,-10.0,seed42
[C@]1(c2ccco2)NC(=O)N(CC(=O)N[C@@H]2CCCc3cc(F)ccc32)C1,0.784,4.316,-9.4,-10.6,seed42
[C@]Oc1ccc(S(=O)(=O)Nc2ccc(C#N)c(Cl)c2)cc1[N+](=O)[O-],0.542,3.699,-8.95,-9.3,seed42
[C@](O)(c1cccc(C#N)c1)[C@H]1CCCS1,0.73,4.33,-8.15,-7.4,seed42
[C@]Oc1ccc(C(=O)[C@@H](C#N)C(=O)CNc2cccnc2)cc1C,0.522,4.476,-8.6,-9.1,seed42
[C@](O)([C@H](CBr)c1ccc(Br)cc1)NC(C)=O,0.721,4.192,-8.45,-7.2,seed42
[C@]O[C@@H](C(=O)NCC(C)(C)NC(=O)c1cc2ccccc2oc1=O)c1ccccc1F,0.47,4.312,-9.7,-10.4,seed42
[C@](O)(CNc1ccccc1NC(=O)c1ccccc1)c1ncc(Cl)s1,0.499,3.504,-9.0,-9.0,seed42
[C@]1(C(=O)Nc2ccc(CNC(=O)OC(C)(C)C)cc2)CC1,0.795,3.221,-8.55,-8.4,seed42
[C@]1(c2ccccc2)NC(=O)N(CC(=O)Nc2ccccc2)C1=O,0.745,3.187,-9.15,-10.7,seed42
[C@](O)(c1ccccc1)[C@H]1CCCC1=O,0.675,3.831,-8.45,-8.0,seed42
[C@]1(C#N)CCc2c1ccc1ccccc21,0.528,3.612,-8.7,-8.3,seed42
[C@]1(Cc2cccc([N+](=O)[O-])c2)c2c(F)cccc2O1,0.527,3.594,-9.25,-9.4,seed42
[C@]1(NC(=O)Nc2nncs2)CC(=O)N(CC(C)(C)C)C1=O,0.71,4.218,-8.75,-9.1,seed42
[C@](O)(c1ccc(Cl)cc1)NC(=O)Cc1ccc(F)cc1,0.81,3.077,-9.0,-9.6,seed42
[C@]1(C(C)C)CCC[C@@H]1NC(=O)c1csc(Br)c1,0.797,4.429,-8.15,-8.2,seed42
[C@]1(CC2C[C@@H](C(N)=O)C2)CCC1(CO)Cc1ccccc1,0.744,4.419,-8.95,-9.4,seed42
[C@]S[C@H](C)C(=O)N[C@@H](C)c1cccc(-n2ccnc2)c1,0.819,4.498,-8.45,-8.5,seed42
[C@]1(Cc2cccc(F)c2)NC(=O)N(CC(=O)[O-])C1=O,0.621,4.141,-8.8,-8.6,seed42
[C@]1(C(=O)[O-])CCCN(C(=O)[C@@H](C)c2ccccc2)C1,0.704,4.281,-8.7,-8.5,seed42
[C@]1([O-])CCC[C@H]1OC1CCN(C(=O)Cc2ccccc2)CC1,0.75,4.082,-8.95,-10.0,seed42
[C@](C#N)(F)COc1ccccc1C(F)(F)F,0.65,3.627,-8.1,-7.3,seed42
[C@]1(C[NH+]2CCC(OCc3ccc(F)cc3)CC2)NC(=O)N(Cc2ccc(C(C)C)cc2)C1=O,0.505,4.426,-9.5,-9.4,seed42
[C@](O)(c1ccccc1)c1nnnn1C1CC1,0.738,3.6,-8.55,-8.2,seed42
[C@](c1ccc(Br)o1)c1cc(F)ccc1OCc1nnco1,0.603,4.241,-9.0,-9.4,seed42
[C@](O)(CNc1ccc(CCCN2CCOCC2)cc1)c1ccc(F)cc1,0.659,3.278,-9.0,-9.7,seed42
[C@]1([C@@](C)(C)CCCNC(=O)c2cc[nH]n2)CCC1(C)C,0.683,4.422,-8.55,-8.8,seed42
[C@](C#N)(NC(=O)NCC1(O)CCCCC1)c1ccc(F)cc1,0.697,3.766,-8.85,-9.0,seed42
[C@](O)(c1ccccc1)[N+](=O)[O-],0.411,3.355,-7.95,-6.5,seed42
[C@]1(C#N)CCC/C1=N\NC(=O)CNc1ccc(F)cc1F,0.734,3.889,-8.85,-9.8,seed42
[C@](O)(c1ccc(F)cc1)S(=O)(=O)/N=C/c1ccccc1,0.78,3.503,-8.8,-9.7,seed42
[C@]1(C(=O)c2ccccc2)c2ccccc2O1,0.611,3.192,-8.85,-9.0,seed42
[C@](O)(c1ccccc1)[C@@H]1CS(=O)(=O)c2ccc(F)cc21,0.765,4.174,-9.3,-8.8,seed42
[C@](COCCNC(=O)COc1cccnc1F)c1ccc[nH]1,0.439,4.074,-8.15,-8.2,seed42
[C@]1(C)CCC[C@@H]1CNS(=O)(=O)c1ccccc1F,0.813,3.999,-8.85,-8.8,seed42
[C@](O)(CCCCCNC(=O)N1CC[C@@H](O)C1)=N/NC(=O)c1cc(F)ccc1F,0.132,4.056,-9.25,-9.8,seed42
[C@]Oc1ccc(CNC(=O)NCc2cnn(C)c2)cc1Cl,0.788,3.669,-8.7,-8.9,seed42
[C@](O)(CN1CCc2ccccc21)C(F)(F)F,0.743,3.553,-8.3,-7.8,seed42
[C@](O)(c1ccc(F)c(F)c1)C1CCCCC1,0.711,3.302,-8.65,-8.5,seed42
[C@]1(C(C)C)[C@@H](C(=O)[O-])NC(=O)N1CCc1ccccc1,0.752,4.408,-8.7,-7.9,seed42
[C@](O)(c1ccco1)n1cnnc1Cc1cc(Cl)cc2c1CCCC2,0.684,4.066,-9.25,-11.0,seed42
[C@](CC(=O)Nc1cccc2c1OCCO2)c1cc(Cl)ccc1Cl,0.798,3.683,-9.15,-10.2,seed42
[C@](C#N)(OCc1cccc(C)c1)N1CCC[C@@H]1c1ccc(F)c(F)c1,0.695,3.983,-9.2,-9.8,seed42
[C@]Oc1ccc(NC(=O)C[NH+]2CCC(C(=O)Nc3ccccc3F)CC2)cc1OC,0.545,4.422,-9.3,-9.4,seed42
