smiles,egfr,qed,sa,her2,source
[N+]1=C2C=C[C@H](Oc3cc(Cc4ccccc4)c([O-])o3)C(=O)N2C(c2ccco2)=N1,-9.7,0.743,4.527908806920223,-11.0,seed42
[C@]1(C(=O)NCc2cccc(F)c2F)[C@H]2CN(CCC3=NC(=O)CCN3)C(=O)C[C@H]21,-9.4,0.82,4.082440129744699,-11.2,seed42
[C@@]1(CCNC(=O)N[C@@H](c2ccccc2)[C@@H](O)c2ccccc2)c2ccccc2C1,-8.9,0.647,3.1899542606353286,-11.6,seed42
[N+]1=CC[C@H](c2ccccc2)C1NC(=O)N1CC=C(c2ccccc2)CC1,-9.2,0.89,3.727445732262314,-11.3,seed42
Cl[C@@H](Cc1nc2ccccc2n1[C@@H]1CCCC[C@@H]1C[NH3+])CN1C(=O)N(c2ccccc2)C1=O,-9.9,0.609,4.100310669018215,-10.6,seed42
[C@@]1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccc2nc[nH]c2c1,-9.8,0.69,2.439403915038086,-10.6,seed42
[N+]([O-])=C1\C(=C(/C#N)c2cccc(CNC(=O)c3ccc(F)cc3)c2)C1,-9.1,0.609,2.884309957736773,-11.3,seed42
Clc1ncccc1/N=N/C(=C\c1ccccc1)c1c[nH]c2ccccc12,-9.7,0.408,2.7422840349182067,-10.7,seed42
Clc1ccc(-c2n[nH]cc2Cn2cccc(C(F)(F)F)c2=O)cc1,-8.5,0.855,2.6738415295927744,-11.9,seed42
Clc1ccc2ccccc2c1C[NH+]1CCC(c2cnn(-c3ccccc3F)n2)CC1,-10.5,0.616,3.489423333437492,-9.8,seed42
[C@](O)(C[NH+](C)c1nc(-c2ccccc2F)nn1-c1ccccc1)c1ccc2c(c1)OCO2,-10.1,0.57,3.630983920015047,-10.2,seed42
[N+]([O-])C(c1ccc(F)cc1F)C(=O)Nc1cccc2ccccc12,-9.2,0.819,2.9528148341853946,-11.1,seed42
Clc1cc(Cl)c(CN2CCO[C@H](c3cccc(Cl)c3)C2)c2ccccc12,-9.3,0.581,2.7668802526907115,-10.9,seed42
[C@@](C(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1)c1ccccc1F,-9.2,0.475,2.272548537846694,-11.0,seed42
[C@@][C@@H](CNC(=O)[C@@H]1CCCN(c2ncnc3ccccc23)C1)[NH+]1CCN(c2ccccc2O)CC1,-9.6,0.577,4.108141682446417,-10.6,seed42
FC(F)(F)c1ccc(-c2n[nH]c(=O)c3cc(NCc4ccccc4)nn23)cc1,-10.2,0.642,2.4607952369703554,-10.0,seed42
Clc1cccc(-c2nncc(-c3ccccc3Cl)n2)c1,-9.0,0.779,2.054139137566505,-11.2,seed42
[C@@][C@@H]1CC(C)(CC(=O)c2c[nH]c3ccccc23)C(=O)N1c1ccccc1,-9.2,0.8039999999999999,3.550259334875916,-10.9,seed42
[C@@](CN(C)C(=O)Cc1ccccc1Cl)c1cccnc1N[C@@H]1CCc2ccccc21,-9.3,0.6699999999999999,3.162032806575321,-10.8,seed42
[C@]1(CC(=O)OC[C@@H]2C=CC[C@H]2[C@H]2CCC(=O)N2)CCc2ccccc21,-9.2,0.743,4.130774343241915,-10.9,seed42
[C@](O)(CCC1=c2ccccc2=[NH+]C1)C(=O)Nc1ccc(F)cc1[N+](=O)[O-],-8.9,0.577,3.5914115758704046,-11.2,seed42
[N+]c1cc(CN2CCC[C@@H](Oc3ccc(Cl)cc3)C2)nc([O-])c1OC(F)F,-8.8,0.829,3.719432271623777,-11.3,seed42
[N+]c1ccc(NC(=O)[C@H]2CC(=O)Nc3[nH]c4ccccc4c32)cc1,-9.2,0.757,3.439878349825765,-10.9,seed42
[C@@]1(c2ccc(F)cc2)N[C@@H]1c1ccc(C(=O)N2CC[C@@H](C)[C@@H](O)C2)cc1,-9.5,0.914,3.457910475377222,-10.5,seed42
[C@@]=C1C(=O)c2cccc(C(=O)NCCc3ccccc3F)c2C1=O,-8.8,0.775,2.5779021495698125,-11.2,seed42
[C@]1(c2ccccc2)NC(=O)c2cc(NC(=O)c3ccncc3)c(Cl)cc21,-9.5,0.827,2.4848516433098133,-10.5,seed42
[C@](C#Cc1nnc(-c2cccnc2)n1N[C@H]1CCC[NH2+]C1)c1cccc(C(F)(F)F)c1,-8.8,0.708,4.4539375437525255,-11.2,seed42
[C@]1(C)CC[C@@H](CNC(=O)c2ccc(O[C@@H](C)C(N)=O)cc2)c2ccccc21,-9.2,0.905,3.188953974445813,-10.8,seed42
[N+]=Cc1c[n+]2c3c(sc2nc1Cc1ccccc1)C[C@H](c1cccnc1)N3,-8.9,0.523,4.18080980198815,-11.1,seed42
Clc1ccc2ccccc2c1Cn1ccc(-c2cncc(Br)c2)n1,-8.7,0.532,2.3493123644295792,-11.3,seed42
Clc1nc(CNc2ncccc2-c2cccs2)ccc1Oc1c(F)c(F)c(F)c(F)c1F,-9.5,0.219,2.8928955885497825,-10.5,seed42
[C@]1(C#N)N(c2ccccc2)c2nc(-c3cccc([N+](=O)[O-])c3)nnc2N1,-9.1,0.648,2.8996454894636603,-10.8,seed42
[C@@]1(C(=O)CCc2ccc(Cl)cc2)CN(C(=O)COc2ccccc2C(F)(F)F)CC1,-9.2,0.707,2.5739586481228063,-10.7,seed42
[C@@][C@@H](Cc1ccc(Cl)cc1)n1cnc2c1c(=O)n(-c1ccccn1)n2CCc1ccccc1,-10.1,0.439,3.501957577855939,-9.8,seed42
[C@@](C#Cc1cnn(-c2ccccc2)n1)c1nncn1C1CCCCC1,-8.7,0.773,3.307402005407411,-11.2,seed42
[C@@](Cc1cccc(F)c1)NC(=O)C(=O)Nc1ccc(-c2ccccc2)o1,-8.5,0.627,2.7791414894636617,-11.4,seed42
[C@]1(C(=O)c2cc(Cl)ccc2N2CC[NH+](Cc3ccccc3)CC2)c2ccccc21,-9.4,0.741,3.354109265412628,-10.5,seed42
[C@]1(CC(=O)NC[C@H]2CCc3ccccc32)NC=C1CCc1cccc(Br)c1,-9.0,0.76,3.318430590693115,-10.9,seed42
[C@]1(c2ccc3c(c2)C(C)(C)CC3=O)CC[NH+](Cc2csc(C(C)C)n2)C1,-8.5,0.876,4.370826554060574,-11.4,seed42
Clc1ccccc1-c1cnc(CNc2cccc(C(=O)OC3CCCC3)n2)cn1,-8.8,0.664,2.494987998444301,-11.1,seed42
Cl[C@@H](Cc1nnc(-c2ccccc2)o1)C(=O)Nc1ccc(F)cc1F,-9.1,0.78,2.6982845346149613,-10.8,seed42
[C@@][C@@H]1[C@@H](C(=O)NCc2ccccc2)c2ccccc2N1Cc1noc(C(C)C)n1,-9.3,0.78,3.582541061049655,-10.5,seed42
[C@]1(CC2CCN(C(=O)N[C@@H]3CC[C@H]([NH+](C)C)C3)CC2)c2ccccc2O1,-8.8,0.944,4.231885380613964,-11.0,seed42
[N+]([O-])c1ccc(-c2cccc(NS(=O)(=O)c3ccccc3)n2)c(Cl)c1,-8.9,0.765,2.591407249177726,-10.9,seed42
Cl[C@@H](C)c1ccccc1C(=O)N1CCC[C@@H](c2nc3ccccc3[nH]2)C1,-8.9,0.75,3.020692149844733,-10.9,seed42
Clc1ccc2nc(N3CCC(c4ccc[nH]4)CC3)ncc2c1,-9.0,0.858,2.525368327600958,-10.8,seed42
[C@](C#Cc1c(F)cccc1N1CCN(c2cccnc2)CC1)c1nccn1C(F)F,-9.7,0.697,3.1819376932156445,-10.1,seed42
[C@@](C#Cc1cc(Cl)ccc1OCO)c1ccc(-c2c[nH]c3ccccc3c2=O)cc1,-9.7,0.4579999999999999,2.863590743613523,-10.1,seed42
[C@@]n1c(-c2cc(-c3ccc(C)cc3)ccc2Cl)nc2ccccc21,-9.6,0.539,2.397255546464933,-10.2,seed42
[N+]=c1s/c(=C\c2ccc(F)cc2)nc1-c1ccc(Sc2nnnn2C2CC2)cc1,-8.7,0.701,3.300862174268479,-11.1,seed42
[N+]c1ccc(-c2noc(CSc3nnnc4[nH]ccc34)n2)cc1,-8.8,0.653,3.437894071616368,-10.9,seed42
Clc1n[nH]c(-c2n[nH]c([O-])n2)c1C[NH+]1CCN(Cc2cccc(F)c2)CC1,-9.3,0.646,4.1855602813646495,-10.4,seed42
[C@@]Oc1ccc(-n2nc(CC(=O)Nc3nc(C(F)(F)F)sc3C)ccc2=O)cc1F,-8.7,0.697,3.300484351687535,-11.0,seed42
[C@@]1(c2cccc(F)c2)NN(C(=O)c2oc3ccccc3c2C#N)C1,-8.6,0.868,2.9479760166597018,-11.1,seed42
[C@@](Cl)C(=O)Nc1ccc2c(c1NC(=O)CCc1c[nH]c3ccccc13)[nH]c1ccccc12,-9.7,0.356,2.799139906167648,-10.0,seed42
c1ccc(-n2cc(NC(=O)C3C[C@@H]4CCC[C@@H]4C3)nc2C(=O)[O-])cc1,-8.7,0.904,3.777122762630743,-11.0,seed42
[C@]1(C)C[C@H](C(=O)Nc2cccc(-c3nnc(C4CC4)o3)c2)CC1=O,-8.5,0.914,3.106617096628834,-11.2,seed42
[N+]([O-])c1nc2ccccc2cc1N[C@H]1CCOc2ccc(S(=O)(=O)OCC(F)(F)F)cc21,-9.7,0.507,3.641592505622988,-10.0,seed42
[C@@]1(CCc2cccc(Cl)c2)NC(=O)N1CCCN1C(=O)c2ccccc2C1=O,-9.1,0.8079999999999999,2.531440044662663,-10.5,seed42
[C@@]1(C(=O)N2CCC[C@H]2C(N)=O)CCC[C@@H]1Nc1nc2ccccc2s1,-9.3,0.959,3.4410402811730982,-10.3,seed42
[C@](C(=O)Cc1ccc(F)cc1)N1CCN(CCc2ccccc2)c2ccccc21,-9.1,0.6749999999999999,2.6036721613402314,-10.5,seed42
[C@](C#Cc1c(Cl)ccc2oncc12)NCn1cnc2ccc([N+](=O)[O-])cc21,-8.6,0.2719999999999999,3.5335164943824005,-11.0,seed42
[C@]1(c2ccc(C(=O)c3cccc(C(F)(F)F)c3)nn2)CCC1(Cl)Br,-8.5,0.612,3.517320490293992,-11.1,seed42
c1ccccc1C[C@@H](CC(=O)NCCc1cccnc1)c1ccccc1,-9.0,0.747,2.35898310983357,-10.6,seed42
[N+]1=C(O)C(=O)N(c2ccnc(-c3ccccc3)c2)c2ccccc21,-9.1,0.868,2.894253463330678,-10.5,seed42
[N+]([O-])c1ccc(/C=C/CC(=O)N[C@@H](CCn2ccccc2=O)c2ccccc2)cc1,-9.1,0.631,3.29084659967877,-10.5,seed42
[N+]=Cc1ccc(-n2cnc3ccccc32)cc1OCc1ccccc1,-9.1,0.603,2.48813855426396,-10.5,seed42
Clc1ccc2c(c1)CCN(CC(=O)N1CCC([NH+]3CCCC3)CC1)C2,-8.6,0.959,3.4704895923410257,-11.0,seed42
Cl[C@@H](CCc1c[nH]c2ccccc12)c1nnc2ccccn12,-8.9,0.656,2.9437958955617365,-10.7,seed42
[C@@](NC(=O)c1cccc(OCC(F)F)n1)C1CCN([C@@H]2CCCN(c3ccccc3)C2=O)CC1,-8.5,0.6789999999999999,3.5687563768431607,-11.0,seed42
[C@](C#Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@H]1O,-8.7,0.91,3.467632354106289,-10.8,seed42
[C@]1(C(N)=O)[C@H](c2ccc(Cl)cc2)Nc2nc3ccccc3nc21,-9.1,0.84,3.148981305431655,-10.4,seed42
[C@]1([C@@H](c2ccc3c(c2)OCO3)N[C@@H](CO)c2ccccc2)c2ccccc21,-9.2,0.784,3.236998852988324,-10.3,seed42
FC(F)c1nc(CCCO[C@H]2CCO[C@@H]2c2ccccc2)nc2ccccc12,-8.5,0.615,3.438139225681633,-11.0,seed42
[N+]=Cc1ccccc1NC(=O)COc1cccc2ccccc12,-8.6,0.816,2.289106707531813,-10.9,seed42
[N+]1=C(C2=Nc3cccc(C(F)(F)F)c3N2)C(=O)c2ccccc21,-8.9,0.829,3.387934329186852,-10.6,seed42
[N+]=C/C=C/c1ccc(N2C(=O)C[C@@H](Cc3ccccc3)C2=O)cc1F,-8.7,0.703,3.3046739170634982,-10.8,seed42
[N+]1=C[C@@H](c2ccc(F)cc2)NC(=O)N1CN1C(=O)COc2ccccc21,-9.1,0.89,3.764353483459942,-10.4,seed42
[C@@][C@@H]1[C@@H](C(=O)NCc2ccccc2)O[C@@H]1n1nc(C2CC2)n(C2C[C@@H]2C)c1=O,-8.6,0.912,4.402777915016348,-10.8,seed42
[C@@][C@@H]1[C@H](C(=O)Nc2cccc(C(F)(F)F)c2)C(=O)N=C1SCc1ccccc1,-8.4,0.853,3.4977428914342656,-11.0,seed42
[C@@][C@@H](Sc1nc2ccccc2c(=O)[nH]1)C(=O)NNC(=O)c1[nH]ccc1C,-9.2,0.3919999999999999,3.6294446784019865,-10.2,seed42
[C@](CNC(=O)Cn1c(CC(=O)[O-])cc2ccc(Br)cc2c1=O)c1ccc(Cl)cc1,-9.0,0.647,3.0899418445981475,-10.4,seed42
[N+]1=CCCC[C@H]1c1ccc(COC2CCN(c3ccccc3F)CC2)cc1,-8.8,0.85,3.433982878911225,-10.6,seed42
[N+]c1nnc(NCC(=O)N2CCC(c3nc(-c4ccccc4)n[nH]3)CC2)[nH]1,-9.3,0.699,3.1891027875439617,-10.1,seed42
Clc1ccc(-c2nnc3n2n2ncnc2-c2ccccc23)cc1,-9.6,0.5549999999999999,2.68563660555302,-9.8,seed42
[C@@]1(CNc2nc3ccccc3c(=O)[nH]2)CCCC1=C([O-])C(=O)Nc1ccccc1,-10.4,0.539,3.077822064378368,-8.9,seed42
[C@@]1(Cc2ccccc2)Nc2ncccc2C12CC[NH+](Cc1ccccc1)C2,-9.5,0.833,4.537123419634177,-9.8,seed42
[C@@][C@@H](NC(=O)c1ccc(Cn2cc(Cl)cn2)cc1)c1ccc(F)cc1,-8.8,0.838,2.958022779468699,-10.5,seed42
N[C@@](C(=O)c1ccc(Cl)c(C(F)(F)F)c1)c1ccc(O)c(F)c1,-9.4,0.734,2.5846757124442004,-9.9,seed42
[C@](C#N)c1ccc([C@@H]2C3=C(c4ccccc4F)OC3=NC(=O)N2Cc2cccs2)cc1,-9.3,0.631,3.8014052360602175,-10.0,seed42
[N+]=C([N-]c1ccc(C(F)(F)F)cc1)NNC(=O)c1ccccc1F,-8.4,0.4619999999999999,3.275357279514494,-10.9,seed42
[N+]c1ccccc1CN1CCC(CNc2ccccc2C(=O)[O-])CC1,-8.9,0.956,2.9295973900227974,-10.4,seed42
Clc1ccc([N+](=O)[O-])c(OCc2ccc(OCc3ccccc3F)cc2)c1,-8.3,0.474,1.9292060817181405,-11.0,seed42
Clc1cc(C(=O)Nc2cccnn2)ccc1NC[C@H](O)c1ccccc1,-9.0,0.699,2.6083085603830174,-10.3,seed42
[C@@]Oc1ccc(CC(=O)N(C)[C@H]2CCc3ccccc3C2)cc1SC,-8.6,0.845,3.2753337220472467,-10.7,seed42
n1n[C@H]n2cccc(F)c2c1OC(=O)CCNC(=O)c1ccc(F)cc1,-8.7,0.9,3.396773356407527,-10.6,seed42
[N+]([O-])c1ccccc1NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2,-9.2,0.915,2.7377082936838946,-10.1,seed42
[C@@]1(CNC(=O)c2cccc(F)c2)C[NH2+][C@@H](c2ccccc2)C1,-8.8,0.869,3.4836324377215,-10.4,seed42
[C@@]1(CNC(=O)/C=C/C2=Cc3cc(Cl)ccc3O2)CC(=O)N(C)C1=O,-8.4,0.76,2.993741414782212,-10.8,seed42
[C@](N[C@]S[C@@H]1SCCc2ccc(F)cc21)c1cccc2cccnc12,-8.8,0.583,3.9344800867217806,-10.4,seed42
Clc1ccccc1O[C@@H]1C=C[C@H](C(=O)N[C@H](C(=O)[O-])c2ccccc2F)C1,-8.9,0.851,3.885769755498602,-10.3,seed42
[C@@][C@@H](NC(=O)c1cccc2ccccc12)c1nc(Cc2ccco2)cs1,-8.5,0.649,3.228545515848607,-10.7,seed42
[C@@]1(COc2cccc(F)c2)NC(=O)N(C[C@H]2CCCO2)[C@@H]1c1cccc(Cl)c1,-9.2,0.86,3.411720734958264,-10.0,seed42
[C@](C#Cc1ccc(C(F)(F)F)cc1)Cc1ccc(NC2CCOCC2)cc1,-8.6,0.846,2.7471614647966014,-10.6,seed42
Fc1ccc(C[C@@H](C[NH2+][C@H]2CCC[C@H](C3CC3)n2C)c2ccccc2F)cc1,-9.1,0.841,3.985608109578303,-10.1,seed42
Fc1ccccc1CNC(=O)[C@@H]1CC(=O)N(c2ccc(Br)cc2)C1,-8.6,0.95,2.368953069479512,-10.6,seed42
[C@]12C[C@H](c3ccccc3)N=C[C@@H]2[C@H]1CC(=O)Nc1cccc(CC#N)c1,-7.9,0.868,3.857543121180921,-11.2,seed42
[C@@](F)(c1ccccc1)[C@H]1CCC[C@@H]1N1C(=O)CN(C(=O)c2cccnc2)C1,-9.2,0.916,3.518002728727968,-9.9,seed42
[C@@](CNC(=O)[C@H]1Cc2cc(O)ccc2O1)c1ccc(Br)cc1,-8.9,0.862,3.1564857687654566,-10.2,seed42
[C@@]1(C(=O)N2CCCS[C@@H]2CNC(=O)c2cccc(F)c2)Nc2ccccc21,-9.3,0.931,3.2358053641183275,-9.8,seed42
[C@]1(c2ccco2)N(Cc2ccccc2F)CN1C(=O)[C@@H]1CN(Cc2ccco2)CC1=O,-8.6,0.649,3.5557867745217564,-10.5,seed42
[C@]1(c2ccco2)NC(=O)[C@H]1CC(=O)Nc1cc(F)ccc1F,-8.6,0.931,3.1168423089994164,-10.5,seed42
[C@]1(c2cc(F)ccc2F)NC(=O)N(C[C@@H](O)COc2ccc(Br)cc2)C1=O,-8.7,0.758,3.09699703275738,-10.4,seed42
c1ccc(-c2nc3cc(C(F)(F)F)cc(C(F)(F)F)c3[nH]2)cc1,-9.0,0.6849999999999999,2.3552518608859216,-10.1,seed42
Fc1ccc2c(c1)CC[C@@H]2[C@@H]1CCCN1c1ccccn1,-9.1,0.91,2.94463558106138,-10.0,seed42
[N+]c1/cc(CCCOCC2=c3ccccc3=[NH+]C2)nc2ccccc12,-8.7,0.747,3.757572649898057,-10.4,seed42
Cl[C@@H](Cc1cccnc1)C(=O)Nc1nnnc2ccccc12,-8.7,0.827,3.001096139644577,-10.4,seed42
Clc1nc(-c2ccc(F)cc2)nc(-c2ccccc2F)n1,-8.8,0.7939999999999999,1.9778190050475537,-10.3,seed42
Clc1ccc(-c2noc(-c3ccc(F)cc3)n2)cc1F,-8.5,0.785,1.897783811585768,-10.6,seed42
NC(=O)c1ccc(-c2csc(NC(=O)C3CCN(c4ccc(F)cc4)CC3)n2)cc1,-9.3,0.73,2.078113925403665,-9.7,seed42
[C@@](C#Cc1ccc(C(=O)N(C)Cc2ccc(-n3cncn3)cc2)cc1)c1cnn(C)c1,-8.6,0.5559999999999999,2.9351329343716284,-10.4,seed42
[C@@]1(C[NH+]2CCC[C@@H]2C(=O)c2ccccc2)CCN(c2ccccc2)C1,-8.5,0.93,4.086446362254179,-10.5,seed42
[C@@](O)(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)N1CCN(c2ccccc2)CC1,-9.0,0.859,2.3921866701008287,-10.0,seed42
[C@@]1(CC2CC[NH+](CCc3c[nH]c4ccccc34)CC2)CCC1=O,-8.4,0.954,3.9134280082679513,-10.6,seed42
[C@]Oc1ccc(NCc2ccc(-c3cccc(OC)c3)cc2)cc1Cl,-8.5,0.712,2.2375050823304896,-10.5,seed42
[C@]1(NC(=O)OCc2ccccc2)[C@H](C(=O)[O-])[NH+](C)c2ccccc21,-8.5,0.894,4.10163033314937,-10.5,seed42
[C@@]1(c2cnn(-c3ccccc3)c2[O-])NC(=O)N1c1ccc(OC(F)(F)F)cc1,-9.2,0.825,2.940455451186517,-9.8,seed42
[C@](O)(CNc1cccc2cccnc12)NC(=O)c1cccc(C#N)c1,-8.5,0.748,2.47704354386895,-10.5,seed42
[C@]=N[C@H](c1ccccc1)C(=O)Nc1nc(-c2cccc(O)c2)sc1C,-9.0,0.765,3.3815668748099776,-10.0,seed42
FC(F)(F)c1ccccc1NCC1CCN(C(=O)COc2ccccc2)CC1,-8.8,0.871,2.0705171600472774,-10.2,seed42
Fc1cc(CN2CC[NH+](Cc3cccc(F)c3F)CC2)c([N+](=O)[O-])cc1,-9.3,0.73,3.3798233777671376,-9.7,seed42
[N+]c1cc(/C=C2\N=C(N)N(c3cccc([N+](=O)[O-])c3)[C@@H]2c2cccc(F)c2)ccc1O,-9.5,0.569,3.754607835529714,-9.5,seed42
[N+]1=c2ccccc2=[NH+][C@@H]1C(=O)NCc1ccc(OCC(=O)N(C2CCCCC2)C2CC2)cc1,-9.5,0.663,3.8130330586251713,-9.5,seed42
[N+]/C=C(\C=C/C1=NN(c2ccc(F)cc2)C(=O)N1c1ccccc1)c1ccccc1,-9.7,0.5529999999999999,2.8826697887063606,-9.3,seed42
ClCc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(=O)NC(=O)C4CC4)cc3)CC2)cc1,-8.7,0.571,2.180452511626706,-10.3,seed42
[C@@]n1c(NC(=O)COC(=O)c2ccc(C)nc2)nc2ccc(F)cc21,-8.4,0.816,2.7237707966162024,-10.5,seed42
[C@@](C#CN(C)C(=O)CCC(=O)c1cccc2ccccc12)C(F)(F)F,-8.4,0.5589999999999999,3.0247161191197858,-10.5,seed42
[C@@][C@@H]([NH2+][C@@H]1CC(C)(C)Oc2ccccc21)c1ccccc1F,-8.8,0.904,4.04251035503681,-10.1,seed42
[C@@][C@@H](NC(=O)c1cn(Cc2ccccc2)nc1-c1ccco1)c1ccc(Cl)cc1,-9.1,0.578,3.076055355077946,-9.8,seed42
[C@@][C@@H](SCC(=O)N1CCN(c2ccccc2)CC1)C(=O)NC(=O)NCc1ccccc1,-8.6,0.773,2.9405295057231378,-10.3,seed42
[C@@]=C(Nc1nc(/C=C(c2cccnc2)c2cccc([N+](=O)[O-])c2)cs1)c1ccccc1,-9.5,0.38,2.922609857448551,-9.4,seed42
[C@@](C#Cc1ccc(Cl)cc1)C(=O)N1CCO[C@@H](c2ccc(Cl)cc2)C1,-8.5,0.825,3.156025460942155,-10.4,seed42
[C@]1(c2ccccc2)NC(=O)N(CC(=O)c2ccccc2)C1=O,-8.3,0.772,2.267727752791151,-10.6,seed42
[C@@](C(=O)C1=CCCCC1)C(=O)Nc1c[nH]c(Cc2ccccc2)n1,-8.1,0.938,3.328170166627382,-10.8,seed42
[C@]Oc1cccc(-c2nc(CN3CCOC[C@H]3C[C@@H](O)c3ccc(F)cc3F)cs2)c1,-8.9,0.6689999999999999,3.763697696740598,-10.0,seed42
Fc1ccc(-c2cccc3ncccc23)c(CNc2ccccc2OCC(F)(F)F)c1,-9.2,0.433,2.28923801648053,-9.7,seed42
Fc1ccc(/C=C/C2=NO[C@@H](c3cccs3)N2Cc2c[nH]c3ccccc23)cc1,-9.1,0.529,3.284852786716077,-9.8,seed42
[N+]c1ccc(C(=S)N2CCC(c3nc4ccccc4s3)CC2)cc1F,-8.7,0.695,2.922405082330489,-10.2,seed42
[N+]/N=C/c1cccn1C[C@@H]1c2ccccc2C(=O)N1c1ccc(F)cc1,-9.8,0.607,3.4839245603830182,-9.1,seed42
[N+]1=CCCC[C@@H]1c1ccc(C(=O)NC[C@@H]2C[C@H]2c2ccccc2)cc1,-8.0,0.868,3.882357170115152,-10.9,seed42
[N+]c1cccc(-c2ccc(NCCc3ccncc3)nn2)c1,-8.3,0.863,2.76238678913942,-10.6,seed42
[N+]1=C([C@@]2(O)CSC3(CCN(CCC4CCCCC4)C3)CC2)c2cc(Cl)ccc2N1,-8.9,0.815,4.925930453726634,-10.0,seed42
[N+]c1cccc(C(=O)COc2ccc(/C=N/c3ccccc3)cc2)c1,-8.5,0.577,2.576650182435861,-10.4,seed42
[N+]1=CC[C@H](c2ccccc2F)CN1Cc1ccccc1,-8.6,0.916,3.421608696819272,-10.3,seed42
Clc1cccnc1C1CCN(C(=O)c2cc(F)ccc2F)CC1,-8.2,0.909,2.2260566960507564,-10.7,seed42
ClC1=c2ccccc2=[NH+][C@H]1C[C@H](c1ccc(F)cc1)N1C[C@H](Cc2ccccc2)CC1,-9.3,0.712,4.002023962093693,-9.6,seed42
[C@@][C@](C)(C#Cc1ccccc1)C(=O)N/N=C\c1c(C)cc3c(c1)OCO3,-8.4,0.609,3.441876635227094,-10.4,seed42
