smiles,qed,sa,egfr,her2,source
O=C(CN1C(=O)C=C(c2ccccc2)NC1=O)Nc1cccc(F)c1,0.7623,5.0,-8.7,-9.5,seed42
CC(C)(NC(=O)NCc1ccc(S(=O)(=O)N2CCCC2)cc1)C1CCCC1,0.7787,4.9424,-8.9,-9.2,seed42
COc1cccc(CNC(=O)Nc2cnc(-c3ccccc3)[nH]c2=O)c1,0.6591,5.0,-8.5,-9.6,seed42
CC(=O)C[C@@]1(O)C(=O)N(CCc2ccccc2)c2ccc(Cl)cc21,0.9072,4.8555,-9.3,-8.8,seed42
Cn1ccnc1[C@](O)(CC(=O)Nc1cccc(-c2ccccn2)c1)C(C)C,0.7028,4.8447,-8.8,-9.2,seed42
Cc1c(C(=O)Nc2ccc(Cl)cc2)c2c([nH]c1=O)c(=O)n(C)c(=O)n2C,0.7011,4.9082,-9.2,-8.8,seed42
COc1cc(Cl)c(C)cc1NC(=O)c1cnc(-c2cccc(F)c2)[nH]1,0.7233,5.0,-8.4,-9.6,seed42
COC1CC[NH+](Cc2ccccc2CNC(=O)c2cc3ccccc3s2)CC1,0.6738,5.0,-8.6,-9.4,seed42
C[C@@H]1CCCC[NH+]1Cc1ccc(NC(=O)Cc2c(F)ccc(F)c2F)o1,0.7987,5.0,-9.1,-8.9,seed42
Cc1c(C(=O)N[C@H]2CCCCC[C@H]2C(=O)[O-])oc2c1C(=O)CCC2,0.8464,4.7531,-8.7,-9.3,seed42
CCCOc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)OC[C@@H]3OC(C)=O)C[C@@H]2N1,0.6463,5.0,-9.1,-8.8,seed42
COc1ccc(C(=O)N[C@@H](C)C(=O)N2CCc3cc(F)ccc3C2)cc1Cl,0.8718,5.0,-8.5,-9.4,seed42
Cn1c(-c2nnc(SCc3nc4ccccc4s3)o2)cc2c1cnn2C,0.4394,5.0,-8.5,-9.3,seed42
O=C(NNc1ccc(N2CCOCC2)nn1)c1csc(-c2cccs2)n1,0.6478,5.0,-8.5,-9.3,seed42
C[C@]1(c2ccc(F)c(F)c2)NC(=O)N(C[C@H](O)COCc2ccccc2F)C1=O,0.6903,4.7698,-8.4,-9.4,seed42
O=C([O-])C[C@@H]1c2[nH]c3ccccc3c2C[C@@H]1C(=O)N1CCC(C(=O)[O-])CC1,0.7847,5.0,-8.3,-9.5,seed42
COc1ncccc1-c1nc2ccc(Cl)cc2c(=O)n1-c1ccc(Cl)c(C(F)(F)F)c1,0.3842,5.0,-9.7,-8.1,seed42
CCc1onc(C)c1NC(=O)N[C@@H]1CCCC[C@@H]1Cc1ccccc1,0.843,4.9455,-8.7,-9.1,seed42
COc1ccc(N2CCC[NH+]([C@@H]3CCCN(Cc4ccc(F)cc4)C3=O)CC2)cc1,0.8176,5.0,-9.4,-8.3,seed42
Cc1ccc(CNS(=O)(=O)c2c(C)cc(C)cc2C)c([N+](=O)[O-])c1,0.6629,4.2744,-8.3,-9.4,seed42
O=C(CNc1sc(-c2ccccc2)cc1)Nc1cccc(Cl)c1Cl,0.5925,4.9932,-8.3,-9.4,seed42
Cc1ccc(OCCCNC(=O)C(=O)Nc2ccc(F)cc2C)c(C)c1,0.6151,4.6261,-8.4,-9.3,seed42
O=C(Oc1ccc(-n2cnnn2)cc1)c1nccc2ccccc12,0.4262,5.0,-8.5,-9.2,seed42
O=C(NNc1ccc(F)cc1)c1cnc(Oc2ccc(F)cc2)cn1,0.6959,4.9731,-8.6,-9.1,seed42
COc1cccc(C(=O)Nc2cccc(CN3C(=O)NC(CO)(C)C3)c2)c1OC,0.663,4.937,-8.7,-9.0,seed42
COC(=O)c1cccc(CCNC(=O)C(=O)Nc2c(F)cccc2F)c1,0.6298,4.5986,-8.4,-9.2,seed42
COCCNC(=O)[C@@H]1c2ccccc2C(=O)N2CC[NH+](Cc3ccc(Cl)cc3)C[C@H]21,0.6774,5.0,-9.1,-8.5,seed42
COC(=O)[C@@H]1CCCC[C@@H]1NC(=O)Nc1cccc(-c2ncon2)c1,0.8258,4.9189,-8.6,-9.0,seed42
CC(C)(C)OC(=O)N[C@H](C(=O)n1nnc(-c2ccccc2)n1)C1CCCC1,0.8866,4.8087,-8.9,-8.7,seed42
C[C@H]1Sc2ccc(C(=O)Oc3ccc4c(c3)OCCO4)cc2NC1=O,0.6576,5.0,-8.5,-9.1,seed42
Cc1ccn(-c2ccc(NC(=O)N3CC[C@@H](C)[C@@H](O)C3)nn2)n1,0.8678,4.9086,-8.6,-8.9,seed42
CC(=O)c1cccc(NC(=O)COC(=O)c2ccc3c(c2)OCO3)c1,0.6633,5.0,-8.4,-9.1,seed42
CC[NH+]1CCN(c2ccc(NC(=O)Nc3ccc([N+](=O)[O-])c(C)c3)cc2)CC1,0.5447,5.0,-8.7,-8.8,seed42
CN(C)C(=O)c1cccc(C(=O)Nc2ccc(F)cc2Cl)c1,0.9416,4.6055,-8.7,-8.8,seed42
CC(=O)c1ccc(S(=O)(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)cc1F,0.4427,4.21,-8.3,-9.2,seed42
O=C(NC1CCCCCC1)c1cccnc1Oc1cccc(Cl)c1,0.7956,5.0,-8.4,-9.1,seed42
C[C@H](Cc1ccc(O)cc1)N(C)C(=O)c1cc2ccc(Br)cc2[nH]1,0.6999,4.8415,-8.3,-9.2,seed42
Cc1[nH]c2ccccc2c1C(=O)CSc1nnnn1C1CCCC1,0.5671,5.0,-8.4,-9.1,seed42
Cn1c(=O)c2c(nc(N/N=C\c3ccccc3Cl)n2C)n(C)c1=O,0.5675,4.7283,-8.4,-9.0,seed42
O=C(/C=C/c1cccnc1)NNC(=O)NC12CC3CC(CC(C3)C1)C2,0.5835,5.0,-8.3,-9.1,seed42
CCn1cc(CN2CCN(C(=O)c3nccc4ccccc34)CC2)c(C(C)=O)c1C,0.6107,5.0,-8.2,-9.2,seed42
COC(=O)CCOc1ccc(/C=C2\C(=O)N(c3ccc(F)c(F)c3)C(=S)N=C2[O-])cc1,0.3853,4.8207,-8.4,-9.0,seed42
O=C(NCCCc1cccc(F)c1)c1ccc(CSC2=NC=NC2=O)cc1,0.7453,4.6987,-8.6,-8.8,seed42
C/C(=C/C(=O)Nc1ccc(C(=O)N(C)C)cc1)c1ccc(F)cc1,0.8734,4.2343,-8.4,-9.0,seed42
O=C(CCc1ccccc1)Oc1cccc(S(=O)(=O)N2CCOCC2)c1,0.5719,5.0,-8.5,-8.9,seed42
C[C@@]1(c2ccc3c(c2)OCCCO3)NC(=O)N(Cc2ccco2)C1=O,0.8665,5.0,-8.2,-9.2,seed42
O=S(=O)([O-])C1=NN(c2cccc(Cl)c2)[C@H](c2ccccc2)C1,0.7902,4.7552,-8.6,-8.8,seed42
CSc1nnc(SC2CCCCC2)n1-c1nc2ccccc2s1,0.6095,5.0,-8.6,-8.8,seed42
Cc1ccc(NC(=O)NCc2ccc(F)c(Cl)c2)cc1S(C)(=O)=O,0.8643,4.4802,-8.5,-8.8,seed42
O=C(CSc1nnc(-c2ccccc2F)n1-c1ccccc1)NC1CC1,0.6773,5.0,-8.5,-8.8,seed42
Cc1nn(CC(C)C)c(Cl)c1C(=O)O[C@@H](C)C(=O)N1CCc2ccccc21,0.7322,4.8976,-8.4,-8.9,seed42
COCc1c(C(=O)Nc2cc(C)c(C)cc2[N-]S(C)(=O)=O)sc2ccccc12,0.6191,5.0,-8.9,-8.4,seed42
Cc1cc(F)cc([C@]2(C)Nc3ccccc3C(=O)N2c2ccncc2)c1,0.7436,5.0,-8.4,-8.9,seed42
Cc1ccc(N2CCOC2=O)c(C(=O)Nc2ccccc2C)c1,0.9435,5.0,-8.6,-8.7,seed42
CCn1c(-c2ccccc2F)nc2cc(NC(C)C)ccc2c1=O,0.7872,5.0,-8.7,-8.6,seed42
Cc1cnc2nc([C@@H](C)C(=O)N(Cc3ccccc3)[C@@H]3CCS(=O)(=O)C3)sc2c1,0.6215,5.0,-8.6,-8.7,seed42
C[C@H]1CCC[C@H](N(Cc2cc3ccccc3[nH]c2=O)[NH+](C)C)C(=O)C1,0.6545,4.9208,-8.1,-9.2,seed42
C[C@H](NC(=O)N(C)Cc1ccc(Cl)c(Cl)c1)c1cccc(C#N)c1,0.852,4.392,-8.1,-9.2,seed42
CC(C)c1noc(CCN(C)C(=O)c2n[nH]c(-c3ccccc3)n2)n1,0.7387,4.7461,-8.3,-8.9,seed42
NC(=O)[C@@H]1CN(C(=O)NCC(C2CCOCC2)c2ccccc2)CCO1,0.8209,4.842,-8.8,-8.4,seed42
O[C@H](c1cccc(F)c1F)[NH+]1CCN(c2cc(Cl)nc(Cl)n2)CC1,0.6294,4.8942,-8.8,-8.4,seed42
O[C@@H](C[NH+]1CCC2(C1)OCCO2)c1cnc2ccccc2c1,0.8561,5.0,-8.5,-8.7,seed42
O=C(NC1CC1)[C@H](Sc1nnnn1-c1ccc(Cl)c(Cl)c1)c1ccccc1,0.6088,5.0,-8.1,-9.1,seed42
C[C@@H]1CC(=O)[C@H](C2CCN(c3ccc(Cl)c(F)c3)CC2)C[C@@H]1O,0.8933,4.8963,-8.2,-9.0,seed42
C[C@@H](Oc1ccc(Cl)cc1)C(=O)O[C@@H](C)c1nc2ccccc2n1C,0.638,4.9382,-8.2,-9.0,seed42
COc1cccc([C@@H]2CCCN2C(=O)Nc2cccc(Cl)c2F)c1,0.8605,5.0,-8.5,-8.6,seed42
N#CC1(NC(=O)Cn2nc(-c3ccc(F)cc3)c(Cl)c(Cl)c2=O)CCOCC1,0.8124,4.8103,-8.4,-8.7,seed42
O=C(Cn1nnc(-c2ccccc2)n1)NCc1ccccc1Cl,0.7802,5.0,-8.0,-9.1,seed42
CCn1c(S[C@@H](C)C(=O)Nc2ccc(OC)cc2)nc2ccccc2c1=O,0.5206,5.0,-8.1,-9.0,seed42
N#C/C(=C/c1ccc(NC(=S)Nc2ccccc2)cc1)c1ccc([N+](=O)[O-])cc1,0.194,4.6512,-8.5,-8.6,seed42
Cc1ccc(F)cc1NC(=O)[C@H](C)Oc1ccc2c(c1)OCO2,0.9401,5.0,-8.3,-8.8,seed42
CC(C)C[C@H](CO)NC(=O)N[C@H]1CCCc2c3c(cc(C)cn23)C1,0.7255,4.4777,-8.1,-8.9,seed42
CC(C)Oc1ccc(F)cc1NC(=O)NC[C@@H](Cc1ccccc1)C(N)=O,0.6637,4.3723,-8.0,-9.0,seed42
C[C@H]1CCCN(C(=O)N[C@H]2CCCN(Cc3ccccc3)C2=O)C1,0.9266,5.0,-7.8,-9.2,seed42
O=C(c1cccc2ccccc12)N(CCC(C)(C)O)C[C@@H]1CCCO1,0.8729,4.878,-8.2,-8.8,seed42
O=C(NCCCN1CCCC1=O)c1cc(=O)[nH]c2ccccc12,0.8156,5.0,-8.7,-8.3,seed42
COC(=O)[C@]1(NC(=O)Cc2ccccc2)Cc2ccccc2C1,0.8796,5.0,-8.4,-8.6,seed42
Cn1ccc(NC(=O)N[C@@H](CCc2ccc(F)cc2)C(F)(F)F)n1,0.8183,4.2283,-8.3,-8.6,seed42
CC(C)OC(=O)[C@@H]1[C@@H](c2cccc(O)c2)CC(=O)N1c1ccccc1,0.8686,4.9216,-8.3,-8.6,seed42
Fc1ccc(OC2CCC2)cc1CN1CCO[C@@H]2CCCC[C@H]21,0.8399,5.0,-8.5,-8.4,seed42
C[C@@H](Sc1ccccc1)C(=O)Nc1cc(Cl)ccc1C(=O)NC[C@@H]1CCCO1,0.655,5.0,-8.6,-8.3,seed42
C[C@@H]1CCN(C(=O)c2csc(-c3ccccc3)n2)C[C@@H]1O,0.9276,5.0,-8.4,-8.5,seed42
O=C(Nc1ccccc1)c1cccc(C(F)(F)F)c1,0.8745,4.7123,-8.3,-8.5,seed42
Cc1ccsc1/C=C/C(=O)N[C@@H](C)c1cccc(C(F)(F)F)c1,0.7834,4.2817,-8.0,-8.8,seed42
Cc1cc(C(=O)NCC(C)C)n(-c2cccc(C(F)(F)F)c2)n1,0.9337,4.4595,-8.4,-8.4,seed42
Fc1ccccc1CN(c1nc(C(F)F)nc2ccccc12)C1CC1,0.6614,5.0,-8.4,-8.4,seed42
COC[C@H]1CCN(C(=O)NCCNC(=O)C(C)(C)c2ccc(F)c(F)c2)C1,0.7082,4.3606,-8.0,-8.8,seed42
Cc1ccccc1C(=O)O[C@@H](C)C(=O)NCc1ccccc1Cl,0.8529,4.6036,-8.2,-8.6,seed42
O=C(Nc1cccc(F)c1F)Nc1nnc(C(F)(F)F)s1,0.8313,4.2916,-8.2,-8.6,seed42
C[C@H](Sc1nnc(C2CC2)n1C1CC1)C(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,0.5676,5.0,-8.1,-8.7,seed42
C[C@@H]1CCC[C@@H](C)N1S(=O)(=O)c1cccc(C(F)(F)F)c1,0.8335,4.3509,-8.2,-8.6,seed42
O=C(OCC(=O)N1CCCCC1)c1cccc(S(=O)(=O)N2CCOCC2)c1,0.6861,5.0,-8.1,-8.7,seed42
COc1ccccc1N1CCN([C@@H](c2ccccc2)c2nncn2C)CC1,0.6975,5.0,-8.3,-8.4,seed42
CC(C)c1nc([C@H]2CCCN(Cc3c[nH]nc3C(C)(C)C)C2)no1,0.9267,4.6284,-8.3,-8.4,seed42
N#C/C(=C\Nc1ccccc1[N+](=O)[O-])c1nc2ccccc2[nH]1,0.4358,4.5296,-8.4,-8.3,seed42
CC[C@@H](CCOc1ccccc1)C(=O)Nc1ccc(N2CCCCCC2)c(Cl)c1,0.5624,5.0,-8.3,-8.4,seed42
COc1cc(Cl)c(C)cc1S(=O)(=O)NCc1cn2cc(Br)ccc2n1,0.6531,4.9539,-8.0,-8.7,seed42
COC(=O)C[C@@H](C)NC(=O)c1ccc(-c2ccccc2C#N)cc1Cl,0.8306,4.4257,-8.0,-8.7,seed42
Cc1ccc(S(=O)(=O)Nc2cc(C)cc(C)c2)c(C)c1,0.9357,4.5506,-8.1,-8.6,seed42
Cc1c(Cl)cccc1NC(=S)NC(=O)c1ccccc1Cl,0.7956,4.4753,-8.2,-8.4,seed42
CCOc1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)c(OC)c1,0.7168,5.0,-7.8,-8.8,seed42
Cc1ccc(C)c(OCc2ccc([N+](=O)[O-])c(NN)n2)c1,0.4974,4.2509,-8.3,-8.3,seed42
CC[C@@H](C)c1ccc(OCC(=O)N2CCN(C)c3ccccc32)cc1,0.824,5.0,-7.9,-8.7,seed42
O=C(Nc1ccc(Br)c(C(=O)N2CCCC2)c1)N1CCCSCC1,0.807,5.0,-8.0,-8.6,seed42
O=C(c1ccccc1)c1cccc2c1N[C@H](c1ccccc1[N+](=O)[O-])[C@@H]1CC=C[C@H]21,0.2676,5.0,-8.6,-8.0,seed42
COc1cccc(CCNC(=O)CCCc2cc(C)ccc2C)c1,0.7967,4.7176,-7.9,-8.7,seed42
CC(C)CNC(=O)NNC(=O)[C@H]1C[C@@H]1c1cccc(F)c1F,0.7449,4.344,-7.9,-8.7,seed42
C[C@@H](CO)c1nc2ccc(Br)cc2c2c1CC[NH+](Cc1ccc(O)cc1)C2,0.5992,5.0,-8.4,-8.2,seed42
CCOC(=O)CS[C@H]1N=NC(=O)[C@@H]2C(c3ccc(Cl)c(F)c3)=[NH+][C@@H]2C1=O,0.7293,4.5489,-7.7,-8.8,seed42
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](NC(=O)c1ccc(Cl)cc1F)C2,0.8604,4.9039,-7.8,-8.7,seed42
Cc1cccc(CC(=O)N2CCCC[C@@H]2Cn2cccn2)c1,0.8701,5.0,-7.9,-8.6,seed42
Cc1ccc(NC(=O)c2cnc([C@H]3CCCO3)s2)c(OC[C@@H]2CCOC2)c1,0.8108,5.0,-8.3,-8.2,seed42
CCc1ccc(O[C@H](C)C(=O)N/N=C\c2cccc(OC)c2O)cc1,0.5988,4.3552,-8.0,-8.5,seed42
COC(=O)C1(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)CCCCC1,0.7347,5.0,-8.3,-8.2,seed42
COc1ccc(CC(=O)c2cnn(-c3ccccc3)n2)cc1OC,0.6526,5.0,-8.0,-8.5,seed42
CCn1c(SCC(=O)N[C@@H]2CCCCC2=O)nc2ccccc2c1=O,0.6533,5.0,-8.0,-8.5,seed42
CC[C@]1(c2ccccc2)NC(=O)N(NC(=O)Cc2cc[nH]n2)C1=O,0.7073,4.5596,-7.8,-8.6,seed42
C[C@H](c1ccncc1)N(C)C(=O)c1cc(C2CC2)nc2ccccc12,0.7142,5.0,-8.4,-8.0,seed42
O=C(/C=C/C1CC1)NC[C@H]1CC[C@H](C(=O)NCc2ccccc2)N1Cc1ccccc1,0.6149,5.0,-7.5,-8.9,seed42
C[NH2+]C1CC(C)(C)[C@@H]([NH+]2CCC3(CCNC(=O)OC3)CC2)C1,0.6458,4.4048,-8.1,-8.3,seed42
O=C(Nc1ccnn1Cc1c(Cl)cccc1Cl)c1nnn[n-]1,0.7767,5.0,-8.2,-8.2,seed42
CC(C)c1cc(C(=O)NCC2CCN(c3nccs3)CC2)ncn1,0.902,5.0,-7.7,-8.7,seed42
COc1ccc(-n2cc(CNc3cccc(C)c3)cc2C#N)cc1,0.7639,4.9388,-8.0,-8.3,seed42
CC[C@@H](C)c1cc(C(=O)NC2CC[NH+](C[C@H]3CCOC3)CC2)on1,0.8132,4.9443,-7.9,-8.4,seed42
C[C@H](NC(=O)N1CCO[C@@H](CC(=O)[O-])C1)c1ccc(Cl)c(Cl)c1,0.8845,4.464,-8.4,-7.9,seed42
Cc1ccc(Cl)c(O[C@@H](C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,0.8471,4.4519,-7.8,-8.5,seed42
Cc1cc(C(=O)N[C@H](C)c2ccccc2C(F)(F)F)c(C)o1,0.9122,4.3897,-8.0,-8.3,seed42
COc1cc(CC(=O)NC[C@]2(N3CCOCC3)CCCC2)c(Cl)cc1Cl,0.795,5.0,-7.7,-8.6,seed42
Cc1cc(CCC(=O)Nc2ccc(C)c(C(N)=O)c2)c(C)o1,0.8899,4.447,-8.1,-8.2,seed42
COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cccnc3)CC2)cc1,0.8185,5.0,-7.9,-8.3,seed42
CNC(=O)[C@@H]1CCCN1CNC(=O)Cc1csc(NC(=O)c2ccco2)n1,0.6433,4.8951,-7.9,-8.3,seed42
CNC(=O)c1cccc(NC(=O)NCc2cn(C)nc2CC)c1,0.7839,4.3832,-7.9,-8.3,seed42
C/[NH+]=C(/NCc1cc(C)on1)NCc1ccc2c(c1)OCO2,0.5293,5.0,-7.9,-8.3,seed42
CC(C)OCc1c(C(=O)N2CCCC[C@@H]2C)oc2ccccc12,0.841,4.9939,-8.3,-7.9,seed42
Cc1ccccc1NC(=O)[C@H](C)S(=O)(=O)Cc1noc(C(C)C)n1,0.8574,4.1664,-7.8,-8.4,seed42
C[C@@]([NH2+]Cc1c[nH]cn1)NC(=O)C[C@H]1OCCc2ccccc21,0.7374,4.8213,-8.0,-8.2,seed42
C[NH+](C)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(N3CCCC3=O)cc2)C1,0.7929,5.0,-7.8,-8.4,seed42
CCc1nnc(SCCNC(=O)c2ccccc2F)n1-n1cccc1,0.5202,4.8355,-7.7,-8.5,seed42
CCOc1cc(O[C@@H]2C[C@H](C)OC2=O)cc(Cl)c1OCc1ccccc1Cl,0.5969,4.9218,-8.0,-8.2,seed42
CN(C[C@@H]1CCCO1)c1ncnc2c1oc1ccccc12,0.7393,5.0,-8.2,-8.0,seed42
Cc1csc([C@@H](C)NC(=O)Nc2ccc3c(c2)nc(C2CC2)n3C)n1,0.74,5.0,-7.5,-8.7,seed42
CC(C)C(=O)NC[C@@H]1CCC[NH+](Cc2csc(C3CCCC3)n2)C1,0.8273,5.0,-7.8,-8.3,seed42
CCN1CCN(C(=O)CC[C@@H](C)NC(=O)N2CCN(C)S(=O)(=O)c3ccccc32)CC1,0.7255,4.6754,-8.0,-8.1,seed42
O=C(N[C@H](CO)c1ccccc1F)c1cnc(Cl)c(Cl)c1,0.8479,4.4538,-7.9,-8.2,seed42
CCOC(=O)c1cn(CC(=O)Nc2nccs2)c2ccccc12,0.7305,5.0,-7.8,-8.3,seed42
Cc1ccc(O[C@H](C)CNC(=O)c2nc(C3CC3)n[n-]2)cc1,0.8799,5.0,-7.6,-8.5,seed42
CC[C@@H](COC)n1c(-c2cc(F)ccc2F)nc2ccccc21,0.6888,4.9341,-8.2,-7.9,seed42
Cc1nc(-c2ccc(NC(=O)C(=O)NCC[C@@]3(CCO)CCCO3)cc2)cs1,0.6169,4.8388,-7.5,-8.6,seed42
Cc1c(C[NH+]2CCC[C@H]2c2ccccc2C(F)(F)F)cnn1C,0.9213,5.0,-7.8,-8.2,seed42
