smiles,qed,sa,egfr,her2,dual_docking
COC[C@H](C)NCOc1ccc(-c2cccc(C(=O)Nc3ccccn3)c2)cc1Br,0.443,5.0,-7.2,-6.6,-6.9
CCC(=N)Nc1cc(-c2cc(C(N)=O)ccc2Sc2nncn2C)ccc1F,0.4335,5.0,-6.8,-7.0,-6.9
CCn1nc(C)c(N)c1Cc1nc(C(C)NC(=O)c2cccc(Cl)c2N2CCN(C(C)=O)CC2)no1,0.4908,5.0,-7.2,-6.6,-6.9
COC(C)(C)C(COc1c(F)cccc1NC(=O)c1cccc(F)c1)C(=O)Nc1ccccc1,0.4483,5.0,-7.5,-6.3,-6.9
CC(C)(CNC(=O)c1ccoc1)C(=O)NCCc1cc(Nc2ccc(C=O)cc2)ccc1Br,0.3418,5.0,-7.4,-6.4,-6.9
NCc1cc(CNc2cccc(-c3ccc4c(c3)OCCO4)c2)on1,0.7439,4.3,-6.8,-6.9,-6.85
COc1ccc(-c2cccc(C(=O)Nc3ccccn3)c2)cc1Br,0.7061,3.0,-7.0,-6.7,-6.85
C[C@H]1OCC[C@H]1c1cc(-c2ccc(F)cc2F)ncc1CNC(=O)C1CCCCN1,0.7822,4.6,-7.0,-6.7,-6.85
C[C@H]1Cc2ccccc2N1c1cc(NC(=O)C2CCCC2)cc([SH](=O)=O)c1O,0.5395,4.1,-7.0,-6.7,-6.85
CC[NH+](C)CC(CC#Cc1c[nH]c2ccccc12)[NH+]1CCCC[C@H]1C,0.684,2.9,-6.2,-7.5,-6.85
C[C@H]1CCC(c2cccc3[nH]ccc23)CN1C(=O)N[C@@H]1CCS(=O)(=O)C1,0.8465,3.1,-7.2,-6.4,-6.8
N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,0.6261,3.7,-7.2,-6.4,-6.8
C#Cc1cc2c(cc1-c1ccc(C(=O)NC)cc1)OC(Oc1cc(C)cc(C)c1)O2,0.659,3.5,-7.1,-6.5,-6.8
O=C(CCNC(=O)c1cccc(Cl)c1)NC1CCCC(C(=O)Nc2ccccc2F)CC1,0.5392,5.0,-6.6,-7.0,-6.8
O=C(Nc1cc(N2[CH]Cc3ccccc32)c(O)c([SH](=O)=O)c1)C1CCCC1,0.555,4.1,-7.0,-6.6,-6.8
CCN(Cc1ccccn1)C1CCCC(Nc2ccncc2)N(C(=O)c2ccc(C)c(F)c2)C1,0.5435,5.0,-7.5,-6.1,-6.8
CC[NH2+]C(C)(C)c1ccc(Nc2c(C)ccc(OC)c2Nc2ccc(Cl)c(Cl)c2)cc1,0.3551,5.0,-7.3,-6.3,-6.8
C[C@@H]1O[C@@H](C)CC(c2ccc([CH]C#N)cc2F)C1Nc1ccc(C(N)=O)cc1,0.8266,3.8,-7.1,-6.4,-6.75
C#Cc1cc2c(cc1-c1ccccc1C[NH+]1CCCC[C@H]1C)OCO2,0.8722,2.4,-7.0,-6.5,-6.75
CC(=O)Nc1cccc(-c2nnc(Cc3cc(Br)cnc3-c3nnc(C)o3)s2)c1,0.4633,5.0,-7.1,-6.4,-6.75
CCn1nc(C)c(N)c1Cc1nc(C(C)NC(=O)c2cccc(Cl)c2N2CCNCC2)no1,0.4777,5.0,-7.0,-6.5,-6.75
COc1cccc(Nc2ccc(O[SH](=O)=O)c(Nc3ccc(C)cc3Cl)c2C)c1,0.4363,5.0,-6.9,-6.6,-6.75
C[NH2+][C@@H](C)CC(COc1ccccc1OC)(Oc1cccc(C)c1)Oc1ccc2c(c1)OCO2,0.4319,5.0,-6.9,-6.6,-6.75
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,0.7319,2.2,-7.4,-6.0,-6.7
Cc1ccc(-c2cccc(F)c2F)c(OC2[CH][C@H](C)CCC2)c1C,0.6688,1.9,-7.2,-6.2,-6.7
NOc1ccc([SH](=O)=O)c(O)c1N1c2ccccc2C[C@@H]1CCc1ccc2c(c1)OCO2,0.385,5.0,-7.4,-6.0,-6.7
O=C(CCOc1c(F)cccc1NC(=O)c1cccc(F)c1)Nc1ccccc1,0.6122,5.0,-6.8,-6.6,-6.7
NCc1cc(CNc2cccc(-c3cc4c(cc3Cc3ccccc3F)OCCO4)c2)on1,0.4205,5.0,-7.3,-6.1,-6.7
CCC[NH+](CCc1ccc(C(=O)N2CCCCC2)c(C(N)=O)c1)CNc1cccc(C(C)=O)c1,0.3509,5.0,-6.8,-6.6,-6.7
Nc1cccc(-c2cc3c(cc2Cc2ccccc2F)OCCO3)c1,0.7199,2.7,-7.1,-6.2,-6.65
Cc1c(Cl)cccc1NN1CCCCC1C(=O)NCc1cnccc1[C@@H]1CCO[C@@H]1C,0.6921,5.0,-7.3,-6.0,-6.65
Cc1nc(CC2CC2c2noc(-c3cccc4c3C=C(C#N)CO4)n2)sc1C,0.654,4.6,-6.8,-6.5,-6.65
Cc1c(Cl)cccc1Nc1cc(N)ccc1-c1cc(C#N)ccc1OC1CC1N,0.5202,4.3,-6.8,-6.5,-6.65
COc1ccc(Oc2ccc3oc([C@H](O)c4ccccc4)cc3c2)cc1,0.5316,3.7,-7.1,-6.1,-6.6
COc1ccc(Oc2ccc3oc([C@H](O)c4ccccc4)cc3c2O)cc1,0.5214,4.0,-6.8,-6.4,-6.6
C[C@@H]1O[C@@H](C)CC(c2c(F)cc([CH]C#N)cc2[CH]O)C1Nc1ccc(C(N)=O)cc1,0.6749,4.6,-6.8,-6.4,-6.6
CC(Cc1ccccc1OC(F)F)C[NH+]1C[C@@H](C)C[C@H](NC(=O)Cc2ccccc2)C1,0.6408,5.0,-6.8,-6.4,-6.6
COCc1ccc(C[CH]O)c([C@H]2COC(Nc3ccc(C)cc3)C2)c1,0.7945,4.2,-6.9,-6.2,-6.55
COc1ccc(C(=O)[C@@H]2CC(C(=O)Nc3ccccc3C)CO2)cc1Br,0.7463,3.8,-7.0,-6.1,-6.55
CCc1c(Nc2c(F)cccc2F)ccc(C)c1NC1CN(C)CCO1,0.8335,3.8,-6.3,-6.8,-6.55
CCOc1cccc(-c2c([C@H](O)c3ccccc3)oc3ccc(O)c(O)c23)c1,0.4274,4.0,-6.6,-6.5,-6.55
Cc1nnc(Nc2cc(C[C@@H]3CC=CCC3)c(C)c(O)c2-c2cccc(F)c2F)s1,0.4596,4.6,-6.8,-6.3,-6.55
Cc1c(Cl)cccc1Nc1c(Cc2ccccc2F)c(-c2cccc(N)c2)cc2c1OCCO2,0.3016,4.8,-6.8,-6.3,-6.55
CN(C=O)c1cccc(CNc2ccccc2-c2cccc(O)c2)c1,0.6631,3.7,-6.5,-6.5,-6.5
CCn1nc(C)c(N)c1Cc1nc(C(C)NC(=O)c2cccc(Cl)c2)no1,0.671,5.0,-6.4,-6.6,-6.5
O=C(CNC(=O)c1cccc(Cl)c1)c1ccc(OCOc2ccccc2)cc1,0.4541,5.0,-6.9,-6.1,-6.5
C[CH]c1cccc(C=C2CCSC([NH+](Cc3n[nH]c(=O)[nH]3)C3CC3)C2)c1,0.73,4.8,-6.7,-6.3,-6.5
Cc1cc(C=C2CCSCC2)cc([C@@H](C)ONC(=O)C(C)(C)C)c1,0.7737,2.2,-7.3,-5.7,-6.5
FC(F)(F)c1ccc(C2(Nc3ccc(Cl)s3)CCCCCC2)cc1,0.5664,2.8,-6.8,-6.2,-6.5
COc1ccc(C(C)c2ccc(C)nc2Nc2cc(Nc3cncc(C)c3)ccn2)cc1C,0.345,5.0,-7.3,-5.7,-6.5
CN1C(=O)C[C@@H](c2ccccc2)C1Oc1cccc(Br)c1,0.8461,2.2,-6.4,-6.5,-6.45
C[C@@H]1CN(C(=O)c2ccccc2OC2[C@H](c3ccccc3)CC(=O)N2C)C[C@@H](C)O1,0.7791,3.8,-7.0,-5.9,-6.45
C[C@@H]1O[C@@H](C)CC(c2ccc([C@@H](N)C#N)cc2F)C1Nc1ccc(C(N)=O)cc1,0.718,4.1,-6.7,-6.2,-6.45
Cc1csc(-c2cc(F)ccc2C(=O)Nc2ncccc2NOCC(N)=O)n1,0.5239,5.0,-6.4,-6.5,-6.45
COc1cc(-c2ccccc2Nc2cnn(C)c2)ccc1Nc1ccc2c(c1)OCO2,0.4455,5.0,-6.9,-6.0,-6.45
Cc1nc(-c2ccc(C[NH2+]CCOCC#Cc3ccccc3)c(F)c2N)no1,0.3706,5.0,-6.7,-6.2,-6.45
COc1ccc(C(=O)CNC(=O)c2cccc(Cl)c2)cc1OCC1CC1,0.7156,5.0,-6.8,-6.1,-6.45
Cc1cc(NC(=O)COCCNC(=O)c2cccc(N[C@@H](C)O)c2)no1,0.3889,5.0,-6.6,-6.3,-6.45
Cc1nn(C)c(C(c2nc(C(N)C[C@@H](C)O)no2)N2c3ccccc3C[C@H]2C)c1N,0.561,5.0,-6.6,-6.3,-6.45
CCOC(=O)NCc1cc(CNc2cccc(-c3ccc4c(c3)OCCO4)c2)on1,0.6096,5.0,-6.8,-6.0,-6.4
CCn1nc(C)c(N)c1C(c1nc(C(C)N)no1)N1c2ccccc2C[C@H]1C,0.6986,4.9,-6.5,-6.3,-6.4
CCOC(N[C@@H]1CCCC[C@H]1Cc1ccc([S@](C)=O)cc1)c1cccc(N)n1,0.6576,5.0,-6.8,-6.0,-6.4
CCc1c(Nc2c(F)cccc2F)cc(CNC(=O)c2cccs2)c(C)c1N,0.5004,4.6,-6.7,-6.1,-6.4
CCn1nc(C)c(N)c1C(c1nc(C(N)C[C@@H](C)O)no1)N1c2ccccc2C[C@H]1C,0.5259,5.0,-6.7,-6.1,-6.4
C[C@H]1C[C@H](C)C[NH+](C2[CH]N(C(=O)c3ccc(OCF)c(-c4ccccc4C#N)c3)CCC2)C1,0.7543,4.3,-7.5,-5.2,-6.35
CC(Cc1ccccc1OC(F)c1cc(F)cc(F)c1)Cn1ccnn1,0.6228,5.0,-6.8,-5.9,-6.35
CC(C)C(COc1c(F)cccc1NC(=O)c1cccc(F)c1)C(=O)Nc1ccccc1,0.4876,5.0,-6.8,-5.9,-6.35
CC(=Cc1ccc(OCCn2cncn2)cc1Nc1cnn(C)c1)[C@@H]1C[NH2+]CCO1,0.5794,5.0,-6.6,-6.1,-6.35
CC(Cc1ccc(S(C)=O)cc1OC(F)c1cc(F)cc(F)c1)Cn1ccnn1,0.5445,5.0,-6.5,-6.2,-6.35
COc1cc(-c2cc(C=O)cc([N+](=O)[O-])c2)ccc1C(=O)c1ccc(Br)cc1CO,0.2348,5.0,-6.9,-5.8,-6.35
COCc1ccc(C([CH]O)C(=O)[O-])c([C@H]2COC(Nc3ccc(C)cc3)C2)c1,0.7277,5.0,-6.7,-5.9,-6.3
CCOc1cc(-c2cc(C=O)cc([N+](=O)[O-])c2)ccc1C(=O)c1ccc(Br)cc1CO,0.2097,5.0,-6.9,-5.7,-6.3
COc1ccc(C(=O)CNC(=O)c2cccc(Cl)c2)cc1,0.864,3.0,-6.5,-6.1,-6.3
C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,0.9411,2.5,-6.5,-6.1,-6.3
COc1c(Nc2ccc3c(c2)OCO3)ccc(-c2ccccc2)c1F,0.7292,3.5,-6.8,-5.8,-6.3
CN1C(=O)C[C@@H](c2ccccc2)C1Oc1ccccc1,0.8551,1.9,-6.3,-6.3,-6.3
CCc1nc(-c2c[nH]nc2CCCc2cccc(OC)c2)cs1,0.7045,4.5,-6.1,-6.5,-6.3
O[C@H](c1ccccc1)c1cc2ccccc2o1,0.7222,1.1,-6.0,-6.6,-6.3
CCOc1cccc(-c2cc(C=O)cc([N+](=O)[O-])c2-c2ccnn2C)c1,0.382,4.6,-6.5,-6.1,-6.3
CN1C(=O)C[C@@H](c2cccc(O)c2)C1Oc1cccc(Br)c1,0.9093,2.5,-6.4,-6.1,-6.25
COc1ccc(C(C)c2ccc(C)nc2Nc2ccc(Cl)cn2)cc1C,0.6324,3.5,-6.4,-6.1,-6.25
COc1ccc(C)c(Nc2ccc(C(C)C)cc2)c1Nc1ccc(Cl)c(Cl)c1,0.429,4.0,-6.6,-5.9,-6.25
COc1ccc(OCCCc2sc(NC(=O)c3cccs3)cc2-c2ncn(C)n2)cc1,0.3649,5.0,-6.7,-5.8,-6.25
COc1ccc(-c2ccc(Br)cc2-c2cccc(C)c2Cl)cc1F,0.4607,2.2,-6.8,-5.7,-6.25
CC[NH+](CC)CN(OCn1ccnn1)c1cncc(-c2csc(C)n2)c1,0.4506,5.0,-6.3,-6.2,-6.25
COc1ccc(-c2ccc(Br)cc2-c2cccc(C)c2Cl)c(CF)c1F,0.4141,3.0,-6.4,-6.1,-6.25
CC(=O)c1ccc(Nc2ccc(Br)c(C)c2)cc1,0.8325,1.4,-6.2,-6.2,-6.2
CC(=O)NC(C)Oc1ccc(NC2CC2Oc2ccc(C#N)cc2)cc1,0.7493,4.8,-6.2,-6.2,-6.2
CCc1c(N)c(C)cc(C(=O)NCc2cccnc2)c1Nc1c(F)cccc1F,0.5367,4.6,-6.0,-6.4,-6.2
Cc1cnn(CCC(C)COC2(N)[C@H](Cc3ccon3)CC(O)S2(=O)=O)c1,0.6247,5.0,-6.2,-6.2,-6.2
O=Cc1cc(-c2ccccc2-c2ccnc(Cl)c2)cc([N+](=O)[O-])c1,0.2965,3.3,-6.2,-6.2,-6.2
CC(C)(C)C(=O)NCCc1cc(Nc2ccc(C=O)cc2)ccc1Br,0.6872,3.5,-6.8,-5.6,-6.2
CNC(=O)c1ccc(C2COC[C@@H](C)O2)c(-c2ccc(CN3CCOCC3)nc2OC)c1,0.7373,5.0,-6.6,-5.8,-6.2
CCCc1ccc(NC(=O)c2cc(-c3ccccc3Br)cs2)s1,0.5188,3.5,-6.1,-6.3,-6.2
CC(Cc1ccc(S(C)=O)cc1OC(F)c1cc(F)c(CS(N)(=O)=O)c(F)c1)Cn1ccnn1,0.4428,5.0,-6.6,-5.8,-6.2
C[C@@H](O)c1ccc([C@H](O)c2ccc(F)cc2)cc1O,0.7966,1.7,-6.6,-5.7,-6.15
Cc1nnc(Nc2cc(C)c(C)c(O)c2-c2cccc(F)c2F)s1,0.7104,3.1,-6.1,-6.2,-6.15
CCC(=N)Nc1cc(-c2cccc(C(N)=O)c2)ccc1F,0.5944,2.5,-6.3,-6.0,-6.15
CC(=O)c1ccc(Nc2ccc(Br)c(CCNC(=O)C(C)(C)C)c2)cc1,0.6433,3.5,-6.9,-5.4,-6.15
CC(C)c1noc(C[C@H]2OCCOC2[C@@H]2CN3CCCC[C@@H]3CO2)n1,0.8186,4.1,-6.2,-6.1,-6.15
Cc1cc(N(C)C=O)ccc1OC(=Cc1ccco1)c1ccoc1,0.4997,4.0,-6.1,-6.2,-6.15
CCC[NH+](CCc1cccc(C(N)=O)c1)CNc1cccc(C(C)=O)c1,0.4504,5.0,-6.3,-6.0,-6.15
COCC(=O)NC1[C@H](Cc2cc(C(=O)NCc3ccccc3)on2)CC(OCC#N)S1(=O)=O,0.4984,5.0,-6.4,-5.9,-6.15
Cc1ccc(C(=O)N2CCCCCC2Nc2ccncc2)cc1F,0.9271,2.5,-6.2,-6.0,-6.1
N#CC1=Cc2c(cccc2-c2nc(C3CC3)no2)OC1,0.8343,2.5,-6.3,-5.9,-6.1
COc1cc(-c2ccccc2)ccc1Nc1ccc2c(c1)OCO2,0.7471,3.2,-6.6,-5.6,-6.1
Fc1cc(NNc2cccnc2)cc(F)c1-c1ccc(Br)o1,0.6503,3.6,-6.1,-6.1,-6.1
COc1cccc(N(c2cc(F)cc(Br)c2)c2ccc(O)cc2C)c1,0.5742,3.0,-6.3,-5.9,-6.1
C[CH]c1cccc(C=C2CCSCC2)c1,0.7162,0.3,-5.9,-6.3,-6.1
CCOCN(CCN1CC[NH+](C)CC1)C(=O)Cc1ccc(-c2cccc(C(=O)OC)c2)cc1,0.4337,5.0,-6.8,-5.4,-6.1
COCCNC1CO[C@H](Cc2nc(C(C)C)no2)C([C@@H]2CN3CCCC[C@@H]3CO2)O1,0.6207,5.0,-6.2,-6.0,-6.1
COCc1ccc(S(=O)Nc2ccc(C#N)c(S(=O)(=O)NC(C)C)c2C(=O)NC(N)=O)cc1,0.4064,5.0,-6.5,-5.7,-6.1
CCCSOc1c(C)c(C)cc(Nc2nnc(C)s2)c1-c1cccc(F)c1F,0.3444,5.0,-5.6,-6.6,-6.1
CCc1ccc(NC(=O)c2cc(-c3ccccc3Br)cs2)s1,0.5751,3.0,-6.2,-5.9,-6.05
CCC(=N)Nc1c(F)ccc(-c2ccccc2)c1NC[C@H]1CCCO1,0.5182,4.0,-5.9,-6.2,-6.05
Cc1cccc(C=C2CCSCC2)c1,0.6682,-0.2,-5.9,-6.2,-6.05
Cc1ncccc1NC1(Nc2ccc(Cl)s2)CCCCCC1,0.5572,3.0,-6.2,-5.9,-6.05
CC[NH+](C)CC(CC#Cc1c(C)[nH]c2ccccc12)[NH+]1CCCC[C@H]1C,0.6804,2.9,-6.2,-5.9,-6.05
CC1CC[NH+](Cc2c(Cl)cccc2NN2CCCCC2)CC1,0.8883,2.7,-6.0,-6.1,-6.05
C#Cc1ccc2c(c1)OC(Oc1cc(C)cc(C)c1)O2,0.7795,1.4,-6.1,-6.0,-6.05
CCC(=NO)Nc1cc(-c2cccc(C(N)=O)c2)ccc1F,0.3505,2.8,-6.5,-5.6,-6.05
Cc1ccc(OC(ONc2cccnc2)C(N)=O)cc1Nc1ccccc1F,0.4074,5.0,-6.8,-5.3,-6.05
COC1(N)[C@H](Cc2nocc2-c2csc([C@@H](C)CO)c2)CC(O)S1(=O)=O,0.6102,5.0,-6.0,-6.1,-6.05
CNC(=O)c1ccc(C2COC[C@@H](C)O2)c(-c2cccnc2OC)c1,0.9248,3.3,-5.9,-6.1,-6.0
CC(C)CNC(=O)N(C=O)c1nc(-c2nc(C3CC3)no2)cs1,0.8134,5.0,-6.1,-5.9,-6.0
NC(=O)CONc1cccnc1NC(=O)c1ccc(F)cc1,0.6974,4.4,-6.1,-5.9,-6.0
C[C@@H]1CCCCN1C(=O)c1ccc(OCF)c(-c2ccccc2C#N)c1,0.8113,3.0,-6.3,-5.7,-6.0
CC(C)COc1cc(OCC(=O)N2CCC[C@@H](C)C2)ccc1Cl,0.7856,3.5,-6.0,-6.0,-6.0
CCOc1cccc(-c2cc(C=O)cc([N+](=O)[O-])c2)c1,0.474,3.0,-5.8,-6.2,-6.0
CCC(=N)Nc1cc(-c2ccccc2)ccc1F,0.6109,1.4,-5.8,-6.2,-6.0
CC(=O)N(C)c1cc(C)c(OC(=Cc2ccco2)c2ccoc2)cc1C,0.6037,3.5,-6.0,-6.0,-6.0
C[C@@H](C#N)c1c(Cl)ccc(NC(=O)NC[C@@H]2CCCO2)c1Cc1nc2ccccc2[nH]1,0.518,5.0,-6.2,-5.8,-6.0
Cc1ccc(CNc2c(Br)cnc(-c3nnc(C)o3)c2Cc2nncs2)cc1,0.4539,5.0,-6.1,-5.9,-6.0
Cc1cc(N(C)C=O)c(C)cc1OC(=Cc1ccco1)c1ccoc1,0.4848,4.0,-6.2,-5.8,-6.0
C=C(CONc1cc(CNS(C)(=O)=O)cc(-c2nc(C)no2)n1)c1ccnc(Cl)c1,0.3724,5.0,-5.9,-6.1,-6.0
N#C[CH]c1c(Cl)ccc(NC(=O)NC[C@@H]2CCCO2)c1Cc1nc2cc([C@@H]3CCCCO3)ccc2[nH]1,0.3955,5.0,-6.3,-5.7,-6.0
Cc1cc(O)cc(C[C@H](O)c2ccccc2)c1,0.8475,1.1,-5.7,-6.2,-5.95
N#Cc1ccccc1-c1cc(C(=O)N2[CH]CCCC2)ccc1OCF,0.8348,3.0,-6.7,-5.2,-5.95
C[C@H]1OCC[C@H]1c1ccncc1CNC(=O)C1CCCCN1,0.8891,3.0,-5.9,-6.0,-5.95
CC(NC=O)Oc1ccc(NC2CC2Oc2ccc(C#N)cc2)cc1,0.5714,5.0,-6.2,-5.7,-5.95
Cc1nc(-c2ccc(C[NH2+]NC(=O)C(C)C)c(F)c2)no1,0.4879,3.6,-6.0,-5.9,-5.95
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1-c1ccc(F)cc1F,0.3736,3.8,-6.9,-5.0,-5.95
Cc1ccc(OC2Oc3ccccc3C=C2C#N)cc1C,0.8326,1.4,-6.1,-5.8,-5.95
CC1CC[NH+](Cc2c(Cl)cccc2NN2CCCCC2C(=O)NCc2cccnc2)CC1,0.5989,5.0,-6.3,-5.6,-5.95
COC(=O)[C@H](Cc1cccc(O)c1)c1cc(C)c(C)cc1F,0.877,2.2,-5.9,-5.9,-5.9
CN(C=O)c1cccc(CNc2ccccc2)c1,0.8149,2.4,-5.8,-6.0,-5.9
COc1cccc(ONc2cccnc2CN)c1N1c2ccccc2C[C@@H]1C,0.6328,4.8,-5.7,-6.1,-5.9
C#CCOC(C)(C(=O)N1CCOCC1)c1nc2c(s1)C(c1cccc(C#N)c1)CCC2,0.6744,4.6,-6.3,-5.5,-5.9
Cc1ccc(C)c(OC(=Cc2ccco2)c2ccoc2)c1,0.626,2.4,-5.8,-6.0,-5.9
C[CH]c1cccc(C=C2CCSC([NH+](C)C3CC3)C2)c1,0.891,2.1,-5.9,-5.9,-5.9
CC(=O)N1C(C(=O)OC(C)C)[C@H](C)C[C@H](C)C1Oc1ccc(Cl)cc1Cl,0.6941,3.1,-5.8,-6.0,-5.9
O=[N+]([O-])c1cccc(-c2ccc(C[NH2+]I)c(F)c2)c1,0.3879,2.8,-5.8,-6.0,-5.9
CCn1cc[nH+]c1ON(C[NH+](CC)CC)c1cncc(-c2csc(C)n2)c1,0.4488,5.0,-5.8,-6.0,-5.9
COc1ccc(C)c(Nc2ccc(C(C)C)cc2)c1,0.8411,1.6,-6.2,-5.5,-5.85
CCC(=O)NC1CCCC(C(=O)Nc2ccccc2F)CC1,0.839,2.5,-5.8,-5.9,-5.85
C[C@H]1Cc2ccccc2N1c1cccc([SH](=O)=O)c1O,0.8338,2.0,-5.9,-5.8,-5.85
CC=Cc1ccc(OCCn2cncn2)cc1Nc1cnn(C)c1,0.7235,5.0,-6.2,-5.5,-5.85
Cc1ccc(-c2cccc(F)c2F)c(O)c1C,0.7915,0.4,-6.2,-5.5,-5.85
CC(C)C(C)C(=O)Nc1cccc(N[C@H]2CCCC[C@H]2C)c1,0.8113,2.4,-6.0,-5.7,-5.85
Cc1ccccc1C(=O)NC1CCO[C@H]1C(=O)NC(C)c1cc[nH]n1,0.7668,4.1,-6.2,-5.5,-5.85
CN1C(=O)C[C@@H](c2ccccc2)C1(Oc1ccccc1C=O)C(=O)NCC(F)(F)F,0.7296,5.0,-5.9,-5.8,-5.85
Cc1ccc(C(=O)N2CCCCCC2)cc1F,0.7319,0.4,-6.0,-5.7,-5.85
CC(C)COC1(N)[C@H](Cc2ccon2)CC(O)S1(=O)=O,0.7492,3.9,-5.6,-6.1,-5.85
C[C@H]1CC(c2ccc([CH]C#N)cc2F)C[C@H](C)O1,0.7988,0.9,-6.2,-5.5,-5.85
COc1c([SH](=O)=O)ccc(ONc2cccnc2CN)c1N1c2ccccc2C[C@@H]1C,0.3803,5.0,-5.7,-6.0,-5.85
COCc1ccc(S(=O)Nc2ccc(C#N)c(S(=O)(=O)NC(C)C)c2)cc1,0.699,5.0,-5.9,-5.7,-5.8
CC(Cc1ccccc1OC(F)F)C[NH+]1C[CH]C[C@H](C)C1,0.8519,3.2,-5.7,-5.9,-5.8
COc1ccc(Br)cc1-c1cc(C[C@@H]2COCCO2)on1,0.8448,3.3,-5.8,-5.8,-5.8
CCNS(=O)(=O)c1sc(NC(N)=O)nc1-c1nc(C2CC2)no1,0.6917,5.0,-5.5,-6.1,-5.8
Oc1ccc2oc([C@H](O)c3ccccc3)cc2c1O,0.6162,1.7,-6.0,-5.6,-5.8
C[C@H]1CC(c2c(F)cc([CH]C#N)cc2[CH]O)C[C@H](C)O1,0.9188,1.7,-6.1,-5.5,-5.8
N#C[CH]c1c(Cl)ccc(NC(=O)NC[C@@H]2CCCO2)c1Cc1nc2ccccc2[nH]1,0.5539,5.0,-6.0,-5.6,-5.8
C[C@H]1Cc2ccccc2N1c1c(ON)ccc([SH](=O)=O)c1O,0.5887,3.1,-5.8,-5.8,-5.8
Cc1[nH]c2ccccc2c1C#CCC[NH+]1CCCC[C@H]1C,0.7895,1.1,-6.1,-5.5,-5.8
C[CH]c1cc(C)cc(C=C2CCSCC2)c1,0.723,0.3,-6.1,-5.5,-5.8
CCOc1ccc(NC2CC2Oc2ccc(C#N)cc2)cc1,0.8843,3.7,-5.9,-5.6,-5.75
CCNS(=O)(=O)c1sc(NC(=O)NCC(C)C)nc1-c1nc(C2CC2)no1,0.6011,5.0,-5.7,-5.8,-5.75
COCc1ccc(C[CH]O)c([C@@H]2CCOC2)c1,0.8514,2.4,-6.0,-5.5,-5.75
Cc1cc(C=C2CCSCC2)cc([C@@H](C)O)c1,0.8546,0.6,-6.2,-5.3,-5.75
CCn1nc(C)c(NC2C[C@@H](C)CN(C=O)C2[C@@H](O)C2CC2)c1C,0.7801,4.3,-5.5,-6.0,-5.75
