smiles,qed,sa,egfr,her2,true_docking_score
C[C@@]1(c2ccccc2)NC(=O)N(CCC(=O)Nc2ccccc2N2CCCC2=O)C1=O,0.702,2.7032,-9.3,-11.09,
OC(Cl)(c1ccccc1)c1cccc(CSc2ncncc2-c2ccccc2)c1,0.2415,2.9182,-9.1,-11.190000000000001,
F[C@@]1(C[NH2+]CC2(Cc3ccccc3)CCCCC2)Cc2cc3cc(F)ccc3n2C1,0.604,3.9563,-9.4,-10.790000000000001,
c1cc(OCCNC(=O)c2cc3c(s2)CCC3)c(N2CCCCCCC2)c2[nH]ccc12,0.5148,2.6852,-9.1,-11.09,
C[C@H](NC(=O)C(=O)Nc1ccccc1OC1CCCC1)C(=O)NC1=C(C)CCC1=O,0.619,3.1196,-8.9,-11.190000000000001,
Nn1c(SCC(=O)Nc2ccc3ccccc3c2)nnc1[C@H]1CS[C@H](c2ccccc2)C1,0.3157,3.3187,-8.3,-11.790000000000001,
Nn1c(SCC(=O)Nc2ccc3ccccc3c2)nc2ccccc21,0.4362,2.0501,-9.1,-10.99,
Fc1ccc2c(c1O)CCN(C(=O)c1cc3ccccn3c1)C2,0.7508,2.6738,-9.9,-10.09,
C[C@H]1CCCCN1C(=O)c1cccc(NC(=O)Cc2ccc(Cl)cc2)c1,0.8587,2.28,-9.0,-10.99,
O[C@@H]([C@H]1CC[C@H](Cc2ccccc2)C1)[C@H]1CCCN(S(=O)(=O)c2cccc(F)c2)C1,0.7441,3.4603,-8.8,-11.190000000000001,
CCOC(=O)c1c(NNC(=O)c2cccc(OC)c2)nn(-c2ccccc2)c1C,0.4723,2.2369,-9.2,-10.790000000000001,
Oc1c(N2CCOCC2)sc2c1C(=O)N(c1ccc(F)cc1)c1ccc(Cl)cc12,0.507,2.6791,-10.0,-9.99,
N=c1c2sc(N(Cc3ccccc3)C(=O)C3CCCCC3)nc2sc(=O)n(C)c1=O,0.6718,2.9189,-9.8,-10.190000000000001,
O=[N+]([O-])c1ccccc1CSc1nnc(-c2cccc(O)c2)n1-c1ccccc1,0.2807,2.1728,-9.3,-10.59,
CNC(=O)c1oc2ccc(Br)cc2c1NC(=O)CNC(=O)c1ccc(OC(F)F)cc1,0.464,2.407,-9.3,-10.59,
N#Cc1cccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)c2ccc3c(c2)OCCO3)c1,0.6287,2.5478,-9.4,-10.49,
F[C@@]1(c2ccccc2)CC[NH2+][C@@H](C[C@@H]2Cc3ccccc3C2)C1,0.8949,4.066,-9.4,-10.49,
F[C@@]1(O)c2ccccc2C[C@@H]1C(=O)Nc1cc2ccccc2o1,0.7626,3.4766,-8.9,-10.99,
C[C@@]1([NH2+]C2CC2)CCC[C@@H](/C([O-])=[N+]\NC(=O)c2ccc3ccccc3c2)C1,0.4749,4.4702,-8.9,-10.99,
C[C@@]1([C@H](O)CNC(=O)c2ccc([O-])cc2)C(=O)N(Cc2ccc3c(c2)OCO3)C1=O,0.5116,3.5624,-9.3,-10.59,
c1ccc(F)c2c1COC[C@@H]2c1[nH]nc2ccccc12,0.7345,3.1655,-9.4,-10.39,
Nc1[nH]nc(C(=O)N2CCCN(c3ccccc3F)CC2)c1C(=O)NCc1ccco1,0.574,2.542,-8.8,-10.99,
O=C(c1cn(-c2ccccc2)nn1)N1CCC[C@H]1CNC(=O)c1ccccc1,0.7421,2.5738,-9.0,-10.790000000000001,
C[C@@]1(c2ccccc2)NC(=O)N(CCc2coc(-c3cccnc3)n2)C1=O,0.7052,2.8553,-8.9,-10.89,
OC(C)NC(=O)c1ccc(-n2cc(-c3ccc4c(c3)OCO4)cc2Br)cc1,0.6209,3.0426,-9.1,-10.690000000000001,
N[C@@H]([NH2+][C@@H](c1ccccc1)C1CCCCCC1)c1ccc(-n2cncn2)cc1,0.5107,3.6518,-9.2,-10.59,
C[NH+]([C@@H]1CC(=O)N(c2ccccc2)C1)N[C@H]1CCc2ccc(F)cc21,0.8305,4.0169,-9.2,-10.59,
COc1ccccc1NC(=O)Nc1cccc(S(=O)(=O)NCc2ccc(Cl)cc2)c1,0.4995,1.9,-8.9,-10.790000000000001,
C[C@@H](Cc1ccccc1)N(C)C(=O)N1CCC[C@@]2(CCc3ccccc32)C1(C)C,0.6855,3.9288,-9.1,-10.59,
F[C@]12CCCO[C@H]2C[C@@H](O)CN1C(=O)[C@H]1COc2ccccc2C1,0.7935,4.1819,-9.0,-10.690000000000001,
c1nn(-c2ccc(NC(=O)c3nc4ccccc4o3)cc2)c(C2CC2)c1Cl,0.5534,2.4244,-8.6,-11.09,
OC(/C([O-])=N/S(=O)(=O)c1cccc2cccnc12)c1ccccc1,0.5709,3.0849,-9.0,-10.690000000000001,
Fc1cc(CN2CCO[C@@H](Cc3cn(C)nc3C)cc2-c2ccc(F)cc2)on1,0.6564,3.7699,-9.5,-10.190000000000001,
C[C@H](c1cccc2cccnc12)[NH+](C)CC(=O)Nc1nc2ccccc2s1,0.562,3.6554,-9.1,-10.59,
NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)C[C@@H]([NH2+][C@H]1COc3ccccc31)C2=O,0.6924,4.2148,-9.4,-10.190000000000001,
c1cc(/C=C2\CCc3cc[nH]c32)cc(OCc2ccccc2)c1,0.7139,2.3619,-9.1,-10.49,
C[NH+](Cc1ccc(NC(=O)N2CCC[C@@H](n3cncn3)C2)cc1)c1cccc(Cl)c1,0.6595,3.9113,-9.0,-10.59,
C#CC[C@@H](NC(=O)Cn1c(=O)[nH]c2cc(Br)ccc2c1=O)c1nc2ccccc2n1C(F)F,0.385,3.353,-9.0,-10.59,
Fc1cc(/C=N/NC(=O)[C@@H]2COc3ccncc32)ccc1Nc1ncccc1,0.5271,3.1517,-9.2,-10.39,
[NH3+]c1noc2c1C[C@H](C[NH2+]C[C@H]1Cc3ccccc3C1)CCO2,0.8605,4.6199,-9.3,-10.290000000000001,
Oc1ccc(Cl)cc1OCc1ccc(-n2cnc3ccccc32)cc1,0.5653,1.9965,-9.0,-10.49,
c1cc2c(=O)n(CCCN3C[C@@H](C)O[C@@H](CCc4ccccc4)CC3)ccc2o1,0.6054,3.2729,-8.9,-10.59,
c1c(-c2ccc(CO)cc2)nc(N2CCC[C@H](C(F)(F)F)C2)c2c1CCC2,0.8564,2.9885,-9.5,-9.99,
F[C@]1(CNCCc2c[nH]c3ccccc23)C[NH+](Cc2ccccc2)CCS1,0.5475,4.1698,-8.8,-10.690000000000001,
Fc1c(Br)cccc1-c1nc2cccnc2n1-c1ccccc1C,0.4713,2.2792,-9.2,-10.290000000000001,
Fc1c([C@@H]2CCCN2Cc2ccccn2)noc1-c1ccc(F)cc1,0.7074,2.9445,-8.8,-10.690000000000001,
N#C[C@@H](C(=O)c1cccnc1)C(=O)Nc1ccc(Nc2cccc(C(F)(F)F)c2)cc1,0.4377,2.7889,-8.7,-10.790000000000001,
[NH3+]c1ccc(Oc2cccc(Oc3nc4c(F)cccc4[nH]3)c2)cc1,0.5875,2.8625,-8.8,-10.59,
OC[C@]1(c2ccccc2Br)[C@@H](COc2cccc3ccccc23)Oc2ccccc21,0.4133,3.3009,-10.1,-9.290000000000001,
c1cc(Cl)cc2c1N[C@@H](c1ccc(OCC(=O)[O-])cc1)[C@@H]1C=C(C2)O[C@]21CCCCC2,0.7651,5.1583,-9.6,-9.790000000000001,
c1nc(-c2ccccc2CC[NH2+][C@H]2CCCc3c2cnn3Cc2ccncc2)on1,0.5143,3.9647,-8.7,-10.690000000000001,
CCc1onc(C)c1NC1=NN([C@H](C)Oc2cccc(C(=O)N3CCOC3=O)c2)[C@@H](C)C1,0.7266,4.1192,-9.0,-10.39,
NS(=O)(=O)c1ccc(CNC(=O)Nc2ccc3c(c2)CCC3)cc1C,0.7813,2.1348,-9.2,-10.190000000000001,
Fc1ccccc1-n1ncc2c(F)c(C(F)(F)F)c(C3CCCC3)nc21,0.5699,2.7159,-9.4,-9.99,
c1nn2c(n1)CCC[C@H]2[NH2+]Cc1cc(=O)[nH]c(-c2ccc(Cl)cc2)n1,0.7352,4.0374,-8.9,-10.49,
c1csc([C@H](CNC(=O)c2cc(-c3ccccn3)ccc2Cl)[NH+]2CCCCC2)c1,0.6253,3.7098,-9.0,-10.39,
Cn1c2c(cc1Br)O[C@@H](C(=O)N1CCC[C@H]1Cc1c(F)cccc1F)C(=O)O2,0.5278,4.0035,-9.1,-10.290000000000001,
F[C@@H]1N[C@](C[NH2+]Cc2ccc3ccccc3c2)O[C@H]1C[NH+]1CCCCC1,0.6673,5.1871,-8.8,-10.49,
Fc1cc(F)ccc1[C@H]1CCCN(c2ccc(N3CCOCC3)cc2)C1,0.8184,2.5735,-9.0,-10.290000000000001,
c1c(C(F)(F)F)nnn1-c1cccc(S(=O)(=O)c2ccccc2Cl)c1,0.6858,2.4527,-9.2,-10.09,
Oc1c(O)ccc2cc(-c3ccc(F)cc3F)ccc12,0.6518,1.9943,-9.2,-10.09,
NOS(=O)(=O)c1ccc(NC(=O)[C@@H](Cc2ccccc2)c2cc3ccccc3oc2=O)cc1,0.317,2.9363,-9.2,-10.09,
F[C@@]1([NH2+][C@H](Cc2ccccc2)CCCOc2ccccc21)C(F)(F)F,0.6456,4.2095,-9.2,-10.09,
FCC[NH+]1CCC[C@@H]1c1cc2ccccc2c(Oc2ccc(Cl)cc2)c1,0.6687,3.9434,-9.1,-10.190000000000001,
Oc1c(CN(Cc2ccc(O)cc2)OCc2ccccc2)sc2c1CCCC2,0.5419,2.782,-9.3,-9.89,
Fc1cc2ccccc2n1CN(CC1CC1)[C@@H]1CCc2ccccc21,0.6272,3.1189,-9.4,-9.790000000000001,
F[C@@H]1[C@@H]([NH2+][C@@H]2CCCCC2)c2ccccc2N1Cc1ccccc1F,0.8295,3.8916,-9.3,-9.89,
F[C@@]1([C@@H]2CCCc3ccccc32)CC[NH+](Cc2ccc(F)cc2)C1,0.8802,4.2717,-8.9,-10.290000000000001,
[NH3+]O[C@@]1(C(F)(F)F)CC[C@H]([NH+](Cc2cccc(Cl)c2)c2ccc(F)cc2)C1,0.5828,4.9387,-9.3,-9.89,
c1cc(S(=O)(=O)N2CCN(c3ccccc3F)CC2)cc(-n2cncn2)c1,0.684,2.1788,-8.9,-10.290000000000001,
N/S(=O)(Cc1ccc(N/C=C2\CCCC2=O)cc1)c1ccc(Cl)cc1,0.548,3.4165,-8.5,-10.690000000000001,
N[C@H]([C@@H]1CN(c2cccc(C(F)(F)F)c2)CCO1)C(=O)N1CCC[C@H](C(N)=O)C1,0.7644,3.5677,-8.7,-10.49,
N=C1CCCN2SCC(C(=O)c3ccccc3C(=O)N[C@H](c3cccs3)c3ccccc32)C1,0.4404,5.308,-9.4,-9.690000000000001,
Nn1c(CCn2cccn2)nc2cc(C(=O)N3CCN(C(=O)c4ccccn4)CC3)ccc21,0.4624,2.6346,-9.0,-10.09,
NS(=O)(=O)c1cc(Cl)ccc1-c1ccn(CCC(=O)N2CCCCCC2)c1,0.8219,2.4676,-8.7,-10.39,
c1c(F)cccc1NC(=O)Nc1ccc2c(c1)C(=O)N(Cc1ccco1)C2=O,0.6736,2.1021,-8.7,-10.39,
[NH3+]O[C@]1(c2ccccc2)CCCN(S(=O)(=O)c2scnc2C2CCCCC2)C1,0.7504,3.7578,-8.5,-10.59,
NO/c1ncc(C(=O)c2ccc(C3CC3)cc2)c2c1CCCC2,0.6949,2.596,-8.6,-10.49,
c1cc(-c2nc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)no2)ccc1O,0.7574,2.0294,-8.6,-10.49,
Fc1cc2[nH]c(=O)c(CCc3ccccc3F)nc2cc1OCC(F)(F)F,0.6786,2.5029,-9.0,-10.09,
O[C@H](Cc1coc2c1CCCC2)N1CCc2c(F)cccc2C1,0.9447,3.5053,-8.9,-10.190000000000001,
N[C@@H](NC(=O)N1CCC(C(=O)Nc2ccccc2)CC1)c1ccc(F)cc1,0.7234,2.5233,-8.9,-10.190000000000001,
Fc1cc(Cl)ccc1COc1ccc([N+](=O)[O-])cc1NC(=O)N[C@H]1CCCC[C@@H]1S(C)(=O)=O,0.4278,3.2686,-9.1,-9.99,
Cc1[nH]ncc1C(=O)c1nc(-c2ccc(C(F)(F)F)cc2)no1,0.7493,2.5591,-9.0,-10.09,
C[C@@]1(/C=N/NC(=O)Cc2ccccc2O)[C@H](SCC(=O)NCCc2ccccc2)c2ccc(NC(=O)CC(C)C)cc21,0.1636,3.7435,-8.7,-10.39,
N[C@H](Nc1cc(C(F)(F)F)ccc1Cl)C(=O)Nc1ccccc1[N+](=O)[O-],0.4115,2.8573,-8.9,-10.190000000000001,
OC1(c2cccc(F)c2)CCN(S(=O)(=O)Cc2ccccc2)CC1,0.9231,2.2024,-9.0,-9.99,
CCCN(Cc1ccccc1)C(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,0.7327,2.006,-8.6,-10.39,
c1nnsc1CNC(=O)[C@H]1CCCN(S(=O)(=O)c2c[nH]c3ccccc23)C1,0.6721,3.1061,-9.0,-9.99,
FC1(O)c2ccc(S(=O)(=O)N3CCC[C@H](c4ccccc4F)C3)cc2O1,0.8879,3.3479,-8.9,-10.09,
C/c1ncc(-c2cc(=O)n3ccc(C)c(C)c3n2)cc1Cl,0.6922,2.6079,-9.0,-9.99,
c1cn(/C=C/C[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)c2ccccc12,0.4121,3.0563,-8.1,-10.89,
N=c1sc2cc(Cl)ccc2c(C)c1CCc1ccccc1,0.693,2.3607,-8.7,-10.290000000000001,
N=c1ccncn1CSc1nc2c(C(F)F)cc(Cl)cc2n1Cc1ccccc1,0.4319,3.0359,-9.2,-9.790000000000001,
OC(Sc1cccc2[nH]c3c(c12)CCCC3)NCC1(O)CCCSCC1,0.4619,4.0495,-8.7,-10.290000000000001,
Fc1cc(NCc2cn(-c3cccc(Cl)c3)nn2)ccc1C(F)(F)F,0.6774,2.36,-8.5,-10.49,
Fc1cc(/C=C/C(=O)CC2(c3ccccc3F)CC2)cc(-c2ccco2)n1,0.4383,2.8458,-8.8,-10.190000000000001,
c1cccc(-c2nnn(-c3cc4ccccc4o3)c2)c1,0.5525,2.2957,-8.7,-10.190000000000001,
c1nc(-c2ccoc2)oc1-c1ccnc(N2CCCC(C(F)(F)F)C2)c1,0.6706,3.2553,-8.1,-10.790000000000001,
CNS(=O)(=O)CC[C@@H]1Cc2ccccc2[C@@H]1NC(=O)c1cccc(OC)c1,0.7621,3.1145,-8.6,-10.290000000000001,
Cn1c(CC[C@@H]2CCc3ccccc32)nc2ccccc21,0.6995,2.5594,-8.8,-10.09,
O[C@H](Sc1nnc(-c2ccccc2)n1-c1ccccc1)c1ccco1,0.4295,2.7319,-8.9,-9.99,
COc1cc(Br)cc(-n2nnnc2NC(=O)c2cc(C)ccc2O)c1,0.6935,2.4343,-9.2,-9.690000000000001,
Fc1c(F)cc(NC(=O)Cn2cnc3ccccc3c2=O)c(Cl)c1,0.7393,2.0082,-8.5,-10.39,
c1cc(/C=N\c2ccccc2)ccc1/C([O-])=N/S(=O)(=O)c1ccc(F)cc1,0.503,2.5926,-8.9,-9.99,
Cc1onnc1-c1nnc(SCC(=O)N(C2CCCCC2)c2ccccc2)s1,0.5532,2.9038,-8.7,-10.190000000000001,
O[C@H](CNc1cccc(S(=O)(=O)Cc2cc3ccccc3[nH]2)c1)c1ncn[nH]1,0.3796,3.2446,-8.7,-10.190000000000001,
OC(c1ccccc1)[C@@H]1CC[C@@H](CNC(=O)c2ccccc2Br)C1,0.8013,2.9634,-8.6,-10.290000000000001,
O[C@@H](O[C@@H]1CC[NH+](Cc2ccccc2)C1)c1noc(-c2ccccc2Cl)n1,0.6356,4.3918,-8.4,-10.49,
C[C@@]1(NC(=O)c2cnc3ccccc3c2)CCC(C)(C)C1,0.9064,2.9044,-8.6,-10.290000000000001,
C[C@@]1(S(=O)(=O)c2ccc3c(c2)OCCO3)CCCN1C(=O)Oc1ccc(F)cc1,0.7558,3.199,-8.3,-10.59,
c1c(SCC(=O)c2ccccc2)cnn1-c1nc2ccccc2o1,0.4076,2.4479,-8.5,-10.290000000000001,
N/[NH+]=C(\NCc1cccc(NC2CCCCC2)c1)N1CCCC1=O,0.2796,2.9362,-8.8,-9.99,
N/c1nc2ccccc2cc1CNC(=O)N1CCCCCC1,0.8952,2.0508,-8.3,-10.49,
F[C@@]1([C@H](Cc2cccc(F)c2)C(F)(F)F)C[NH+]1Cc1c(F)cccc1F,0.4609,4.3423,-9.0,-9.790000000000001,
Oc1c(NC(=O)c2ccccc2I)cnn1-c1cccc(Cl)c1,0.6043,2.3271,-8.5,-10.290000000000001,
NOc1ccc2[nH]c3c(c2c1)C1(CCCCCC3=O)CCO1,0.7929,4.3189,-9.9,-8.89,
c1n[nH]c([O-])c1-c1noc(C2CCN(C(=O)c3cccnc3)CC2)n1,0.7529,2.8766,-8.3,-10.49,
O=c1[nH]c(SCc2ccc(Cl)cc2Cl)nc2cc(OC(F)F)ccc12,0.4745,2.4363,-8.5,-10.290000000000001,
O[C@H](Cc1cn(-c2ccccc2)nc1C1CC1)c1cc(Cl)ccc1Cl,0.6563,2.8582,-8.8,-9.99,
OC(c1ccccc1)S[C@@H]1CN(c2cccc(O)c2)C(=O)[C@@H]1C,0.846,3.7235,-9.0,-9.790000000000001,
O[C@H](c1ccc(Cl)cc1)c1nn(-c2ccc(Cl)cc2)c2c1OCCO2,0.7489,3.0144,-8.8,-9.99,
C[C@@]1([NH3+])CCC[C@@H](SC2CCC(C(=O)N[C@@H]3CCN(c4ccccc4)CC3)C2)C1,0.7707,4.1245,-9.0,-9.790000000000001,
OC[C@@]1(Cc2c[nH]nc2-c2ccc(F)cc2)CC[C@H]([NH2+]C2CCCC2)C1,0.7434,4.4996,-8.7,-10.09,
F[C@@]1([C@H]2CCOC3(CCCCC3)C2)Cc2ccccc21,0.7304,4.126,-8.6,-10.190000000000001,
O[C@H]([C@@H]1CCC[NH2+][C@H]1Cc1ccccc1Cl)c1cc(F)cc(Br)c1,0.7845,4.2329,-8.6,-10.190000000000001,
Nn1c(Cc2ccccc2)nc2c3c(ccc12)CCCC3,0.7309,2.3996,-9.1,-9.690000000000001,
c1n[nH]c([O-])c1-c1ccc2ccccc2c1-c1cc([N+](=O)[O-])ccc1N,0.3345,2.7873,-9.6,-9.190000000000001,
Oc1c([C@H]2CCC[NH+]2Cc2ccccc2O)csc1NC(=O)Nc1ccccc1OCC(F)F,0.3242,4.2596,-8.4,-10.290000000000001,
Oc1c(/C=C/c2ccccc2F)c2ccccc2n1C,0.7395,2.2622,-8.9,-9.790000000000001,
c1cn(-c2ccccc2)cc1CS(=O)(=O)c1cc(F)ccc1F,0.7297,2.2964,-8.9,-9.790000000000001,
O[C@@H](C[NH+]1CCCC(CCc2ccccc2)CC1)c1ccccc1,0.8386,3.885,-8.5,-10.190000000000001,
c1ncccc1CNC(=O)CN(Cc1ccccc1)C(=O)c1cc(Cl)ccc1F,0.6423,2.0424,-9.0,-9.690000000000001,
Fc1c(-c2ccc(F)cc2)cccc1NC1CCCCC1,0.7992,1.8816,-8.5,-10.190000000000001,
O=c1n2c(nc3ccccc3c2=O)c2ccccc21,0.4784,1.9098,-9.0,-9.690000000000001,
Fc1cc2oc(-c3ccccc3N3CCOC[C@H]3c3ccc(F)cc3)nc2c2c1CCC2,0.4077,3.2323,-9.6,-9.09,
[NH3+]CC1CCN(C(=O)Cn2c(-c3ccccc3Cl)nn3cccc32)CC1,0.7599,3.1483,-8.7,-9.99,
OC=C(CC1CCCCC1)NCc1nnc(C(F)F)c(-c2ccccc2)n1,0.6722,3.0829,-8.0,-10.59,
c1c(NCc2cccnc2)cccc1C(=O)N1CCCC[C@H]1CC(=O)[O-],0.8572,2.8926,-8.6,-9.99,
N/c1cccc(NC(=O)c2cccc(-c3ncco3)c2)c1,0.7214,2.037,-9.1,-9.49,
F[C@@H]1C[NH2+]C[C@@]12CCC[C@@H](NC(=O)NNC(=O)c1ccccc1)CC2,0.5972,4.5127,-8.4,-10.190000000000001,
F[C@]1(c2ccc(F)c(F)c2)CCCN(Cc2ccccc2)C1,0.8108,2.7489,-8.6,-9.99,
c1cc(=O)c2ccccc2n1C[C@H](CNC(=O)c1cccnc1)C1CC1,0.7457,2.9177,-8.8,-9.790000000000001,
N=c1[nH+]c(C[NH+]2CCCCCC2)nc(-c2ccc(Cl)cc2)n1N,0.6988,4.3398,-8.6,-9.99,
F[C@@H]1NN(Cc2ccc(Cl)cc2)C/C1=N/c1nc2ccccc2s1,0.7063,3.4654,-7.9,-10.690000000000001,
F[C@@H]1NOc2ccccc2[C@@H]1Cc1ccc(C(F)(F)F)cc1,0.662,3.3904,-9.0,-9.59,
C[NH+](Cc1ccccc1)C(=O)N(C)[C@H](C)[C@@H]1CCCc2ccccc21,0.9099,3.9668,-8.5,-10.09,
F[C@@]1([NH2+]Cc2ccnc3ccccc23)C[C@@H]([NH+]2CCCCC2)CC1,0.8209,5.0029,-8.5,-10.09,
OC(O)c1cccc(OCc2cccnc2Oc2ccccc2F)c1,0.6707,2.232,-8.7,-9.89,
O[C@@H](Oc1cccc2ncccc12)CCSc1nc2c(Cl)cccc2s1,0.3464,3.0054,-8.7,-9.89,
C[NH+]1CCC[C@@H]1C1CC[NH+](CCc2cccc(Cc3ccccc3)c2)CC1,0.7734,4.7324,-8.5,-9.99,
C[C@@]1(c2ccc(Cl)cc2)SCCN1C(=O)c1ccc(F)c(F)c1,0.7809,2.9747,-9.0,-9.49,
c1noc2nc(CCC(=O)Nc3ccc(C[NH+]4CCCC4)cn3)cnc12,0.679,3.9577,-8.7,-9.790000000000001,
F[C@]12C(=O)C[C@H](Oc3ccccc3)[C@](c3ccccc3)C[NH+]=C2CCC1,0.9227,4.2273,-9.1,-9.39,
CCc1ccccc1OCC(=O)Nc1cc(F)ccc1N1CCCCC1,0.8342,1.923,-8.5,-9.99,
F[C@@]1([C@H]2CCCC[NH2+][C@@H]2C2CCCCC2)COc2cc(F)ccc2C1,0.8629,4.5498,-9.1,-9.39,
F[C@H]1Oc2ccc(NCc3nc(-c4ccccc4)on3)c(Cl)c21,0.7692,3.1439,-8.3,-10.190000000000001,
c1nn2c(n1)CC/C2=C\c1cc(-c2ccccc2)on1,0.7138,3.1214,-8.9,-9.59,
FC1c2ccccc2[C@H](c2ccc([N+](=O)[O-])cc2)c2ccccc21,0.4842,2.3796,-8.8,-9.690000000000001,
Oc1c(/C=C/Cl)nnn1-c1ccc(C(=O)Nc2ccc(F)cc2)c(OCC)c1,0.6508,2.6778,-8.7,-9.790000000000001,
[NH3+]O[C@]1(c2cccc(F)c2)CC=C(Cc2ccccc2)C1,0.6793,3.4833,-8.9,-9.59,
[NH3+]c1ccc(Cl)c([C@@H]2OCC[NH+]2[C@@H]2CCCc3ccccc32)c1,0.8706,4.9648,-9.5,-8.99,
Fc1c(C[NH2+]CCc2ccc(C3CCC3)cc2)oc2c1C(=O)CC2,0.8283,3.5131,-8.5,-9.99,
c1noc2nc(COC3(c4ccccc4Cl)CCCC3)c(=O)oc12,0.7143,3.3309,-8.7,-9.790000000000001,
O=c1[nH]nc(SCc2ccc([N+](=O)[O-])cc2)n1-c1ccc(C(F)(F)F)cc1,0.4024,2.3443,-8.3,-10.190000000000001,
OC([O-])c1ccc(NCc2cc(Cl)c(OCc3ccccc3)cc2)cc1,0.621,2.5929,-8.4,-10.09,
