smiles,qed,sa,egfr,her2,true_docking_score
C/C(=N\NC(=O)c1ccc2c(c1O)CCCC2)c1cccc(F)c1,0.669,2.3091,-9.2,-11.09,
F[C@@H]1N2CCC[C@H]2CN1Cc1nnc(-c2ccc3c(c2)CCC3)n1C1CC1,0.7773,3.6532,-9.1,-11.190000000000001,
Oc1cc2ncc(Br)cc2c([C@@H]2CC(=O)N(c3ccc(Br)cc3)C2=O)c1,0.5532,2.9967,-9.3,-10.89,
Oc1cc(S(=O)(=O)Nc2ccc3c(c2)OCO3)ccc1NC(=O)[C@@H]1CCCN(S(=O)(=O)N2CCCC2)C1,0.4403,3.0431,-9.3,-10.89,
O=C(NC[C@H]1CCc2ccccc2C1)c1ccc(-n2cccc2)cc1,0.7703,2.544,-9.0,-11.190000000000001,
OC(=O)c1ccc2c(c1)CC[NH+](Cc1cc(=O)[nH]c3ccccc13)C2,0.6767,3.6857,-9.6,-10.49,
Oc1c(O)cc(Cl)cc1OCc1cn(C2CCCCC2)nc1-c1ccccc1,0.5408,2.4718,-9.6,-10.49,
F[C@@]1([NH2+][C@@H]2CC(=O)N(Cc3ccco3)C2)Cc2cc3ccccc3[nH]c2=[NH+]1,0.6632,4.7649,-9.0,-11.09,
O=C(Nc1nc2cccc(Cl)c2s1)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,0.6715,2.6059,-9.0,-11.09,
FC1[NH+](C2CCN(c3cccc[nH+]3)CC2)C/C1=C\c1ccc2c(c1)OCCO2,0.8174,4.9235,-9.6,-10.49,
Cn1nnc2c(F)ccc(C(=O)Nc3cccc4c3OCCO4)c(=O)c12,0.7475,2.728,-9.2,-10.790000000000001,
c1c(Cl)cccc1OCCn1c(-c2ccccc2)nnc1-c1cccc(Br)c1,0.3529,2.0646,-9.2,-10.790000000000001,
Fc1ccccc1CN1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,0.6915,1.9085,-9.1,-10.89,
O=C1[NH+]=c2ccccc2=C1CCNC(=O)CSc1nnc(-c2ccc3c(c2)OCCO3)o1,0.4485,3.2737,-9.1,-10.89,
Oc1cc(C[NH+]2CCC[C@@H]2c2ccnc(OCc3cccc(F)c3)c2)ccc1Cl,0.6398,4.1006,-9.5,-10.49,
N#Cc1cccc(S(=O)(=O)Cc2nc(-c3ccc(CO)s3)c3ncccc3n2)c1,0.5251,2.8118,-9.2,-10.690000000000001,
[NH3+]c1ccc(/C=N/NC(=O)c2ccc3cccnc3c2)c([N+](=O)[O-])c1,0.4277,2.8419,-9.2,-10.690000000000001,
CC1CCN(c2ccc(CNC(=O)c3csc4ccccc34)nn2)C[C@@H]1C,0.7402,3.217,-8.8,-11.09,
FCC[C@@H](Cc1ncnc2c1cnn2-c1nc2ccccc2s1)c1ccccc1,0.3952,3.2168,-8.9,-10.99,
O=C(NCCc1n[nH]c2c1CN(Cc1ccccc1)CC2)c1cccc(F)c1,0.693,2.2712,-8.8,-11.09,
c1cc(=O)[nH]c2ccc(NCc3ccnc(O[C@@H]4CCCCO4)c3)cc12,0.7363,2.9571,-9.2,-10.690000000000001,
C/N=C(/NCc1ccccc1)c1cccc(OCc2nc3ccccc3n2C)c1,0.3979,2.3151,-8.8,-10.99,
O=[N+]([O-])c1cccc(NC(=O)N[C@@H]2CCC(c3ccccc3)c2)c1F,0.6446,2.9118,-8.8,-10.99,
O[C@H](CSc1ccc(Cl)cc1)n1cnc2cc(-c3ccccc3)cn2c1=O,0.5149,3.1396,-8.8,-10.99,
O=C1c2ccccc2CN1C(=O)C1C[C@@H]2CCCO[C@]2(O)C1,0.8017,3.8665,-9.3,-10.39,
c1coc(=O)c(C[NH+]2CCC[NH+](Cc3c[nH]nc3-c3cc(C)ccc3F)CC2)c1,0.5812,5.201,-9.3,-10.39,
O[C@H](N[C@@H]1CCSc2ccccc21)[C@@H]1CCCc2ccccc21,0.8275,3.5126,-9.0,-10.690000000000001,
N[C@H](c1cccc(NC(=O)Nc2ccc3c(c2)OCCO3)c1)c1nccn1C,0.6467,2.7832,-9.6,-10.09,
Fc1c(NS(=O)(=O)c2ccc3c(c2)CC(=O)N3)c2ccccc2[nH]1,0.6813,2.589,-9.1,-10.59,
CNC(=O)c1cccc([C@@H](NC(=O)[C@@H]2CC(=O)N(Cc3ccccc3)C2)CCCC)c1,0.651,2.9017,-8.8,-10.790000000000001,
N=C1c2ccccc2C(=O)N1CCNC(=O)c1ccccc1Br,0.8663,2.2438,-9.3,-10.290000000000001,
c1nn(CCC[NH+]2CC[C@H]3CC[C@@H](C2)[C@@]3(O)C2CCC2)c2cc(-c3ccccc3)nn12,0.644,5.6274,-9.2,-10.39,
Fc1cc(/C=N/c2noc(-c3cccc([N+](F)(F)F)c3)n2)ccc1Cl,0.3578,3.3741,-8.7,-10.89,
Fc1c(N[NH+]2CCC(Cc3cc[nH+]cc3)CC2)c(-c2ccccc2)n[nH]1,0.6561,4.3775,-9.0,-10.59,
Oc1ccccc1[C@H]1C(c2ccc3c(c2)OCCO3)=Nc2ncnn21,0.7785,3.1566,-9.5,-10.09,
FC1c2ccccc2C[C@H]1CCN1C(=O)c2ccccc2C1=O,0.8131,3.0407,-8.7,-10.89,
c1cc(=O)n2c(n1)CCC[C@@H]2[NH2+][C@H]1CCc2ccccc2C1,0.9051,4.1219,-9.4,-10.190000000000001,
NS(=O)(=O)c1ccc(F)c(NC(=O)c2ccc(C3CCCCC3)cc2)c1,0.851,1.9587,-8.7,-10.790000000000001,
NNc1cc(Br)ccc1C(=O)NCc1nc(-c2ccc3c(c2)OCCO3)no1,0.4035,2.464,-9.0,-10.49,
c1coc(S[C@@H](CC(=O)c2ccco2)C(=O)Nc2nc3cc(Cl)ccc3s2)c1,0.306,3.2394,-9.2,-10.290000000000001,
NO[C@]1(C(=O)Nc2cccc3cc(C(F)(F)F)ccc23)C(=O)NC1=O,0.4345,2.9089,-9.4,-10.09,
c1cc2cc(C[NH+]3CCC[C@@H](S(C)(=O)=O)C3)ccc2cccc1OCc1cc([N+](=O)[O-])sc1,0.4776,4.8281,-8.9,-10.59,
Nn1c(SCC(=O)N/N=C/c2ccc3c(c2)OCCO3)nc2c(F)cccc21,0.2929,2.6456,-8.9,-10.59,
Cc1cc(-c2cc(C)ccc2CNC(=O)c2ccc(-n3cncn3)cn2)no1,0.5767,2.5839,-8.9,-10.59,
CS[C@H]1Cc2ccccc2NC(=O)/C1=N/Nc1cc2ccccc2[nH]c1=O,0.611,3.3371,-9.1,-10.39,
F[C@@]1(CBr)c2ccc(-c3ccccn3)nc2CSc2[nH]c3ccccc3c2C1,0.3761,3.6859,-9.4,-10.09,
Oc1cc(-c2noc([C@H]3CCC[NH2+]3)n2)cc(OCc2ccccc2)c1,0.7462,3.5485,-8.8,-10.690000000000001,
O[C@@H](CNC(=O)c1c[nH]c2cc(Cl)ccc12)c1ccc(F)c(C(F)(F)F)c1,0.5667,2.8063,-8.6,-10.89,
Cc1noc(C)c1CC(=O)Nc1cccc(Oc2ccc3c(c2)OCCO3)c1,0.7194,2.2234,-9.1,-10.39,
F[C@]1(C[NH2+]Cc2c[nH]nc2-c2ccccc2)CCC[NH+]1Cc1ccc(Cl)c(Cl)c1,0.4914,4.8324,-9.1,-10.290000000000001,
Fc1c([C@H](COc2nc3ccccc3s2)Nc2ccccc2)cnn1-n1cncn1,0.4308,3.6039,-9.1,-10.290000000000001,
Fc1c([C@@H]2OCCC[C@@H]2c2c[nH]c3ccccc23)sc2ccccc12,0.4597,3.3356,-9.4,-9.99,
O=C1N[C@H](C(=O)Nc2ccc(CNC(=O)c3ccccn3)cc2)Nc2ncoc21,0.5103,3.2369,-8.6,-10.790000000000001,
c1coc2sc3ccnc3c(C(=O)Nc3ccccc3F)c(=O)c12,0.6032,2.8339,-9.0,-10.39,
c1coc([C@]2(Cc3cccc(OCc4ccccc4)c3)CCc3ccc(F)cc32)n1,0.4068,3.057,-9.0,-10.39,
Fc1cc([N+](=O)[O-])ccc1OCC(=O)N1CCO[C@@H](c2ccc(F)c(F)c2)C1,0.5733,2.8062,-8.9,-10.49,
Cc1oc2ccc([C@@H](C)Nc3nc4ccccc4n3C)cc2c1,0.5909,2.7636,-8.7,-10.690000000000001,
c1cc(N[C@@H]2CC[C@H](C)C2)ccc1SCc1nc2ncccc2n1Cc1ccco1,0.375,3.3081,-8.8,-10.59,
O=C1CN(c2cccc(Cl)c2C(=O)Nc2ccc(Br)cc2)CC[S@@]1=O,0.7921,3.177,-9.3,-9.99,
F[C@@]1(O)CC[C@H](CNC(=O)c2ccccc2F)[C@@H]1CC(=O)N(Cc1ccccc1)C,0.7279,3.4947,-8.8,-10.49,
C[C@@H](c1ccccc1)S(=O)(=O)c1cccc(NC(=O)NCc2ccco2)c1,0.6686,2.6417,-8.8,-10.49,
[NH3+][C@@H](C(=O)Nc1ccccc1-c1ccccn1)c1ccc(F)cc1F,0.7666,2.9685,-9.1,-10.190000000000001,
NOC(=O)C1(C(=O)NCc2ccc(Oc3ccccc3)cc2)CCN(c2cc[nH+]cc2)CC1,0.4258,3.2755,-8.6,-10.690000000000001,
Nn1c(SCc2[nH+]ccn2Cc2ccccc2)nc2c3ccccc(=O)n3nc21,0.3553,3.5536,-8.7,-10.59,
N#Cc1ccccc1CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccccc2C(F)(F)F)cc1,0.5649,2.3067,-8.7,-10.59,
Fc1cc(Br)c(C[NH+]2CCN(Cc3ccccc3Cl)CC2)c(OCc2ccccc2)c1,0.5014,3.1223,-9.7,-9.59,
O=[N+](C)c1ccc(F)c(S(=O)(=O)N2CCC(C(=O)NCc3ccccc3)CC2)c1,0.7281,2.3017,-8.3,-10.89,
CNC(=O)[C@@](C)(O)c1ccc(F)c(NC(=O)c2ccc(Br)cc2)c1,0.7453,2.6448,-8.8,-10.39,
Fc1cc([C@H]CC2CCC2)cnc1N1CCO[C@H](c2cccc(F)c2)C1,0.7768,3.309,-8.1,-11.09,
F[C@@]1(Cn2ccc3ccccc32)CCC[C@H](OCc2ccccc2)C1,0.5987,3.2215,-9.0,-10.190000000000001,
NO/C(=N/c1ccc(Cl)cc1)C(=O)NNC(=O)C1CCN(c2cc[nH+]cc2)CC1,0.3923,3.5422,-8.6,-10.49,
O[C@@H](c1ccc2ccccc2c1)N1C[C@H](O)c2c(O)cccc21,0.6806,3.3128,-8.9,-10.190000000000001,
O[C@H](NCc1ccc(F)cc1)[C@@H](Cc1ccccc1)c1ccccc1Cl,0.5796,2.837,-9.2,-9.89,
Oc1c(-c2cccc(O)c2)nc2[nH]n3c([O-])ccc3c2c1O,0.4261,3.4418,-9.4,-9.690000000000001,
O=[N+](C/C=C/C[NH2+][C@@H]1CCc2ccc([N+](=O)[O-])cc2C1)[C@H]1Cc2ccccc2O1,0.3372,4.6072,-8.3,-10.790000000000001,
F[C@H]1[NH2+][C@@H](c2ccccc2Br)CN1Cc1cnn(Cc2ccccc2)c1,0.6497,3.7416,-9.1,-9.99,
O=C(c1ccc(F)c(F)c1)N1CCN(c2cc(F)c(Br)cc2)CC1,0.7668,1.9868,-9.1,-9.99,
Oc1cc(S(=O)(=O)N2CCC[C@H]2c2ccc(N3CCCC3=O)c[nH+]2)c(Cl)c(OC)c1OC,0.677,3.9545,-9.0,-10.09,
O[C@@H](C[C@H]1O[C@H]2c3ccccc3C[C@H]2[C@@H]1c1cccs1)C1CCC1,0.8744,4.0408,-8.9,-10.190000000000001,
Cn1c2c(nc1NCCCc1ccccc1)CN(c1ccccc1O)C2,0.6672,2.533,-8.7,-10.39,
NOS(=O)(=O)c1ccc(NC(=O)Nc2ccc(NC(=O)c3ccco3)o2)cc1,0.4527,2.7735,-8.7,-10.290000000000001,
F[C@H]1c2oc3ccccc3c2CC[C@H]1CCOc1ccccc1,0.6368,3.1644,-8.5,-10.49,
[NH3+][C@@H]1CCCn2cc(C(=O)NC[C@@H](c3ccccc3)[NH+]3CCCC3)cc21,0.7276,4.7936,-8.7,-10.290000000000001,
c1ccc2c(c1)[C@H]1C=CC[C@H]1[C@H](c1ccc(Br)cc1)N2,0.7035,3.1777,-8.8,-10.190000000000001,
NC(=O)c1cccc(N[C@@]2(C)CCCN(Cc3cn4ccccc4n3)C2)n1,0.7251,3.2847,-8.9,-10.09,
F[C@@]1(c2nc(-c3ccco3)cs2)CN(Cc2cccc3[nH]cnc23)CC1,0.5818,3.4931,-8.9,-10.09,
Fc1c(N/C=C/c2ccccc2Cl)c(=O)n(-c2cccc(Cl)c2)n1C1CC1,0.6099,2.8759,-8.7,-10.290000000000001,
c1noc([C@@H](Cc2ccccc2)[NH+]2CCCC[C@H]2c2cnn(-c3ccccc3)c2)n1,0.5392,4.3718,-9.4,-9.59,
C[C@@H]([C@@H](C)[NH+](C)Cc1ccccc1)C(=O)N[C@H]1CC(=O)N(CCc2ccccc2)C1,0.6635,3.9757,-8.3,-10.690000000000001,
C=Cc1ccc2[nH]c(=O)cc([C@H](O)C[NH+](Cc3ccco3)C(=O)C3CC3)c2c1,0.5844,4.3134,-8.8,-10.190000000000001,
Cn1nnnc1CNC(=O)C1(c2ccc3ccccc3c2)CC1,0.7962,2.4199,-8.7,-10.190000000000001,
C[NH+](Cc1ccc(CNC(=O)[C@@H]2C=C[C@@H]([NH3+])C2)c(Cl)c1)c1ccc(F)cc1F,0.6278,4.7962,-8.9,-9.99,
N[C@H](C(=O)N1CCO[C@H](c2cccc(F)c2F)C1)c1c(F)cccc1F,0.8481,3.3081,-8.6,-10.290000000000001,
O[C@H](Cc1ccc2oc(=O)ccc2c1)c1ccc(F)c(F)c1,0.7549,2.5799,-9.0,-9.89,
O=C1c2ccccc2O[C@H](c2ccc(Cl)cc2)[C@H]1Oc1ccc(Cl)cc1Cl,0.4918,2.985,-9.4,-9.49,
F[C@@]1([C@H]2CCCC[NH2+][C@@H]2CCc2cccs2)C[C@@H](c2ccccc2)CN1Cc1ccc[nH+]c1C,0.4811,5.2153,-9.7,-9.190000000000001,
F[C@@]1(N2CCc3ccccc3C2)CC[C@H]([NH+]2CCCC2)CC1,0.8241,4.141,-8.8,-10.09,
F[C@]12N(CCCc3ccccc3Cl)CC[C@H]2N1c1cc(F)cc(F)c1,0.5552,3.7991,-8.6,-10.290000000000001,
F[C@@H]1N[C@H](c2cccc(F)c2F)N(C[C@@H]2COc3ccccc32)CC1,0.8557,3.9905,-9.4,-9.49,
F[C@@H]1Nc2ccccc2[C@H]1[NH2+]C1Cc2ccccc2C1,0.8038,4.1178,-8.9,-9.99,
O[C@H](C1CCCC1)C1CCN(c2nnc(-c3ccccc3)o2)CC1,0.9309,2.921,-8.5,-10.39,
O=C(/C=C/c1ccc(F)cc1)N1CCC(n2cc(-c3ccccn3)nn2)CC1,0.6543,2.4406,-8.4,-10.49,
O=C(c1ccccc1)N1CCCC[C@@H]1CNc1ccccc1[N+](=O)[O-],0.6655,2.4211,-8.7,-10.190000000000001,
[NH3+][C@]1([C@@H](O)c2ccccc2)CCc2c1[nH]c1ccccc12,0.6619,3.515,-8.9,-9.99,
c1c(O[C@@H]2CCCC[NH2+]2)nn(-c2ccccc2)c1-c1cccc(Br)c1,0.7264,3.6176,-9.1,-9.790000000000001,
c1cc(CC(C)C)c2sc(N3CCCC3)nc2c1C(=O)OCc1ccccc1[N+](=O)[O-],0.2798,2.5998,-8.4,-10.49,
N=c1[nH]c2ccccc2nc1NC[C@@H](C)Oc1cccc(F)c1,0.6777,3.0117,-8.9,-9.89,
F[C@H]1c2ccccc2N1C(=O)[C@H](CC(F)(F)F)Nc1ccc(Cl)cc1,0.5988,3.3857,-8.9,-9.89,
O[C@@H](c1cccc2ccc(=O)cnc12)[NH+]1CCN(c2ccccn2)CC1,0.7157,3.9429,-8.5,-10.290000000000001,
Fc1cc2c(cc1OCCCc1ccccc1C(F)(F)F)COCCO2,0.5608,2.4581,-8.5,-10.290000000000001,
c1n[nH]cc1[C@@H]1CCC[C@H]1[NH2+][C@H]1CCC[C@@H]1c1ccccc1F,0.8948,4.5968,-8.9,-9.89,
c1noc2[C@H](C[NH2+]Cc3ccc4ccccc4c3)ccc12,0.7965,4.0298,-8.8,-9.99,
N[C@H](Sc1nc(-c2ccccc2F)n[n-]1)C(=O)Nc1ccccc1,0.5454,3.5703,-8.3,-10.49,
Fc1cc(-c2nc3ccccc3n2C[C@@H](CO)C2CC2)nc(C2CC2)n1,0.6895,3.3978,-8.4,-10.39,
[NH3+]O[C@@]1(Cc2ccc3c(c2)OCO3)CN(C(=O)Cc2ccccc2)CC1,0.8217,3.2264,-8.6,-10.190000000000001,
O=[N+](Cn1c(=O)oc2ccccc21)NC(=S)Nc1ccc(C(F)(F)F)cc1,0.3998,2.8447,-8.7,-10.09,
c1cc2cc3c(c2n1)CCN(C(=O)COCCc1ccccc1)C3,0.7829,3.0821,-8.6,-10.190000000000001,
CN(C)C(=O)c1cccc([C@@H]2NC(=O)Nc3ccccc32)c1,0.8943,2.6748,-9.2,-9.59,
c1c(O)cc(/C=C2\CN(C[C@@H](O)c3ccc(F)cc3)CC2)cc1,0.9095,2.8406,-9.1,-9.690000000000001,
[NH3+]Cc1cc2c(s1)[C@@H](c1ccc(Cl)cc1)CCN2C(=O)COCc1ccccc1,0.6396,3.4281,-7.9,-10.790000000000001,
Fc1ccc(CN2CCN(Cc3nnnn3-c3ccc(F)cc3)CC2)nn1,0.6625,2.5235,-8.8,-9.89,
N[C@H](CN1CCCCCCC1=O)c1ccc2ccccc2c1,0.9398,2.5057,-8.4,-10.290000000000001,
CCCn1cnnc1C1CCC(NC(=O)c2cc3ccccc3[nH]2)CC1,0.7369,2.4834,-8.9,-9.790000000000001,
c1nnn(-c2ccc(Cl)c(O)c2)c1-c1nc2ccccc2n1CCNC(=O)C(C)(C)C,0.4935,2.7679,-9.3,-9.39,
Fc1cccc(C[NH2+][C@@H]2CC[C@@H]3[NH2+]CCC[C@@H]3[C@H]2c2ccco2)c1,0.8818,5.2111,-8.9,-9.790000000000001,
FC(=O)c1ccccc1NC(=O)c1cnn2ccccc12,0.7516,2.2955,-8.9,-9.790000000000001,
CNC(=O)CS(=O)(=O)c1ccc(CNC(=O)N2C[C@H]3CCCC[C@@H]3C2)cc1Cl,0.7524,3.2452,-8.8,-9.89,
Cc1occc1C(=O)N[C@H](C)c1cn(-c2ccccc2)nn1,0.803,2.7912,-8.8,-9.89,
Nc1ccc2c(c1)CCCN2C(=O)c1cc(O)ccc1F,0.7921,2.1821,-9.7,-8.99,
Nc1nc(C(=O)c2cc(Cl)c3ccccc3c2)n[nH]1,0.7018,2.5362,-9.2,-9.49,
F[C@@]1([C@@H]2COc3ccc([N+](=O)[O-])cc32)CN(c2ccccc2)C1=O,0.4933,3.4533,-8.7,-9.99,
O[C@H](C[C@@H]1CN(c2cccc(Cl)c2)CC[NH2+]1)c1ccc(F)cc1,0.9001,3.7518,-9.1,-9.59,
c1noc(-c2ccc(CNCc3nnc4n3CCCCC4)cc2)n1,0.7756,2.6195,-8.6,-10.09,
C[C@@H](NC(=O)Cc1ccc(NC(=O)c2ccc(Cl)s2)cc1)c1ccccc1,0.6083,2.3282,-8.6,-10.09,
Fc1cc2c(cc1OCCOCC1=Cc3ccccc3OC2)[C@@H]=C1[O-],0.7405,4.6194,-8.6,-10.09,
N/C(CC(=O)Nc1cccc(O)c1)=[NH+]\CCCn1ccc2ccccc21,0.2927,2.9946,-8.3,-10.290000000000001,
NOC(=O)c1c(C(=O)N2CC[C@H](Oc3ccc(Cl)c(Cl)c3)C2)sc2c1CCCC2,0.6973,3.2393,-8.8,-9.790000000000001,
N=c1c(S(=O)(=O)c2ccc3c(c2)OCO3)c2c3c(sc2n1)CCCC3,0.8637,3.229,-8.6,-9.99,
c1c(NCc2ccc(Br)cc2)sc2c1CN(C(=O)[C@@H]1CC[NH2+]C1)OC2,0.7948,4.4277,-8.7,-9.89,
c1nnoc1-c1ccsc1[C@@H]1CN(C(=O)Nc2ccc3c(c2)CCCN3C)C[C@H](CO)N1,0.5564,4.0835,-8.8,-9.790000000000001,
C#CCn1/c(=N/C(=O)c2ccc(COc3ccccc3O)[nH]2)sc2cc(Cl)ccc21,0.4556,2.916,-8.5,-10.09,
C#Cc1cccc(NC(=O)c2cc3ccccc3nc2N)c1,0.7118,2.0914,-8.6,-9.99,
O=C1/C(=N/N=C/c2ccc(F)cc2)S/C(=C/c2ccc(Cl)cc2)C1=O,0.352,2.7178,-8.7,-9.89,
F[C@@]1([NH2+]Cc2ccccc2-c2ccccc2)CCCCC1,0.8158,2.8648,-8.9,-9.690000000000001,
F[C@@H]1N[C@](O)(c2ccccc2)C(=O)N1c1ccccc1F,0.8301,3.4186,-9.1,-9.49,
c1cc2nc3c(cc2cc1COc1ccccc1)CCC3,0.7106,1.9118,-8.6,-9.99,
N[C@H](c1ccc(F)cc1C(=O)NN1CCOCC1)c1ccc2c(c1)OCO2,0.8464,3.0251,-8.9,-9.690000000000001,
F[C@H]1[C@@H]2CCC[C@H]2[C@@H]1S(=O)(=O)[C@@H]1CCN(c2ccccc2Cl)C1,0.8308,4.1242,-8.5,-10.09,
c1nnnn1[C@@H](COc1ccccc1)C[C@@H]1Cc2ccccc2O1,0.6981,3.3002,-8.5,-10.09,
Oc1cc2c(cc1Br)NC(=O)c1ccccc1C2=O,0.669,2.2111,-8.6,-9.99,
C[C@@]1(Cc2ccccc2)CCN(C(=O)c2cc(C#N)ccc2Cl)C1,0.8367,2.7269,-8.2,-10.39,
OCc1ccccc1CN1CCO[C@H](c2cc(Cl)ccc2C)C1,0.9266,2.6575,-8.8,-9.790000000000001,
C=CCc1ccc(CNC(=O)N[C@@H](c2ccc(F)cc2)C2CC2)cc1,0.7169,2.5902,-8.5,-9.99,
