smiles,QED,SA,EGFR_Docking,HER2_Docking
c1cccc(OCCN(CCC(=O)NC2CC2)C(=O)C2CC2)c1,0.6580,3.0220,-8.7,-8.3
c1ccc(N[C@H](C)C(=O)NCc2cccnc2)cc1,0.7610,3.1630,-8.65,-8.9
c1cn(-c2ccccc2)c(SCCC(=O)Nc2cccc3ccccc23)c1,0.3370,3.1740,-9.2,-10.5
c1ccc2c(c1)[C@H]1CCC[C@H]1[C@@H]2C(=O)N(Cc1ccco1)C1CC1,0.7330,4.4690,-8.95,-7.8
c1ccnc(SC2CCCCC2)c1,0.6130,3.1720,-8.05,-7.2
Cc1nnsc1C(=O)NCC(=O)N(C)[C@@H](C)C(=O)N(C)C,0.6910,4.1250,-8.3,-8.0
O=C(NCC[C@H](O)c1ccccc1)C(=O)Nc1ccc2c(c1)COC2,0.6260,3.7010,-9.1,-10.5
c1ccc2c(c1)CCCN2C(=O)C(=O)Nc1ccc2c(c1)CCC2,0.7210,3.1630,-9.5,-10.4
c1cnc(COc2ccc(F)cc2C#N)nc1,0.7080,3.1880,-8.45,-7.9
c1ccc(NC[C@@H]2CCN(c3cccc(C(N)=O)c3)C2)cc1,0.7910,3.3350,-9.25,-10.5
c1coc(CO[C@H]2CCC[C@H]2CNc2ccccc2)c1,0.7590,3.9130,-8.6,-8.7
c1ccc(C(=O)N2CCC[C@@H]2c2ccccc2)nc1,0.7230,3.2240,-8.6,-8.2
c1ccc(C[NH2+]Cc2ccccc2C(F)(F)F)cc1,0.7760,3.8110,-8.9,-9.1
C=CCN(C(=O)c1csc(-c2ccc3c(c2)OCCO3)n1)[C@@H]1CCS(=O)(=O)C1,0.5910,4.1670,-9.2,-9.2
c1ccc(Oc2ccc(C=O)cc2)c(F)c1,0.6340,2.6610,-8.55,-8.1
c1cccc(CCNc2nccs2)c1,0.7280,2.8040,-8.1,-8.0
c1ccc(-n2cccc2CN2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,0.5830,3.0190,-9.4,-9.8
COc1cccc(-c2nc(C)c(C(F)(F)F)cn2)c1,0.7360,3.1510,-8.75,-8.9
O=C(Cc1ccccc1)N(Cc1ccncc1)c1ccc(Cl)cc1,0.5860,2.8630,-9.15,-8.2
c1nc(N2CCCC2)nc(NCc2ccccc2)n1,0.8060,2.9810,-8.75,-9.6
c1coc(-c2ccc(NCc3csc(Nc4ncccn4)n3)c[nH+]2)c1,0.4530,4.3610,-9.4,-9.7
O=C(NCCN(c1ccc(F)cc1)S(=O)(=O)c1ccccc1F)C1CCCCC1,0.6370,3.1880,-9.75,-9.2
N#C[C@H](C(=O)CCCC1CC1)c1ncccc1OC(F)F,0.6360,4.2540,-8.45,-7.1
CC(C)O[C@@H](C(=O)N1C[C@H](C)O[C@H](C)C1)c1cccc([N+](=O)[O-])c1,0.5100,4.4690,-8.8,-7.4
c1cc(-c2cnccn2)cc(Cl)c1,0.5910,2.8070,-8.2,-7.7
c1ccc(-n2nnnc2S[C@H]2CCc3c(F)cccc32)cc1,0.6410,3.8490,-9.25,-9.4
c1ccc(-c2csc(NC3CCCCC3)n2)cc1,0.7730,2.8440,-8.9,-9.8
O=C(COc1c(Cl)cccc1NC(=O)c1ccccc1)NCc1ccccc1,0.5280,2.7870,-9.55,-9.6
c1ccc([C@H]2C(C#N)=C(N)Oc3c2c(C)nn3C2CCCCC2)cc1,0.8030,4.0850,-9.05,-8.5
c1nc(NC2CCN(c3cccc(Cl)c3)CC2)no1,0.8360,3.4720,-8.75,-8.7
N#Cc1ccc(Sc2cccc(NC(=O)Cn3ccnc3C(F)(F)F)n2)cc1,0.5970,3.7390,-9.1,-10.4
Cc1ccc(-c2noc(CN(C)CC(=O)N3CCc4ccccc4c3=O)n2)cc1,0.5660,3.3610,-9.65,-10.4
O=C1C[C@@H](C(=O)NCc2ccc(COc3ccccc3)cc2C(=O)[O-])CC(=O)O1,0.4410,3.7370,-9.5,-10.5
Fc1ccc(-c2csc(Cn3cc(Br)cn3)n2)cc1,0.6240,3.2450,-8.6,-8.8
c1ccc(-c2ncco2)cc1NCc1cccc(Br)c1,0.6530,3.0990,-8.95,-10.0
O=C(/C=C/c1ccccc1)N1CCC(Cc2ccccc2)CC1,0.6760,2.8420,-9.2,-9.5
N#C/C(=C/c1cccc(C(F)(F)F)c1)C(=O)Nc1ccc(-n2cccn2)cc1,0.4360,3.3290,-9.4,-9.7
c1[nH]c2ccc(NCc3cccc4cccnc34)cc2c1,0.4830,3.1200,-9.4,-10.5
c1ccc(C#N)c(N[C@H]2CCN(c3ccccc3)C2)c1,0.8240,3.3470,-9.05,-9.0
c1nc(-c2ccc(OCC(F)(F)Cl)o2)nc(N)c1C#Cc1ccccc1,0.4520,4.1090,-9.15,-10.7
n1cc(/C=C/C(=O)c2c(C)nn(-c3cccc(Cl)c3)c2C#N)ccc1Cl,0.2740,3.6960,-8.95,-9.1
n1cncn1CC(=O)Nc1ccc(Br)cc1,0.8310,2.9030,-8.25,-8.1
O=C([O-])c1ccc(OC(=O)c2cccc(Cl)c2)cc1,0.5340,3.1060,-8.9,-9.8
CCOc1cc(Cl)c(C)cc1NC(=O)CSC(Nc1ncccc1F)C(C)C,0.4300,4.1790,-9.0,-8.9
N#C[C@@H](S(=O)(=O)c1cccs1)c1cccc2ccccc12,0.6360,3.8280,-8.95,-7.7
n1nc(-c2cccs2)cc(CNc2cccc3ccc(C4CC4)cc23)c1,0.3870,3.4940,-9.4,-11.0
n1cncn1Cc1cccc(NC(=O)CN2CCOCC2)c1,0.7750,3.0460,-8.7,-8.9
n1ccnc(NC[C@@H]2CC(=O)N(N)c3ccccc32)c1,0.5480,4.1550,-9.05,-9.2
O=C1CCc2ccnc(Br)c21,0.5150,3.7980,-7.85,-6.4
Fc1cccc(CNCCOc2ccccc2F)c1,0.7080,2.6970,-8.65,-8.7
[nH]1C[C@H](c2ccccc2)ncn1-c1cccc(Cl)c1Cl,0.8050,4.3100,-9.1,-9.0
n1cc(-c2ccccc2F)nn1-c1ccccc1C(N)=O,0.7000,3.2400,-9.5,-10.5
n1c(SCC(=O)NCC(C)C)sc(C(N)=O)c1C,0.6750,3.3450,-7.95,-7.8
N=C1c2ccc([N+](=O)[O-])cc2N(C[C@H](O)c2ccc(F)cc2)C1,0.5700,4.1260,-9.5,-9.9
O=[N+]([O-])c1c(NCCCCC(=O)Nc2ccnn2C(F)F)cnn1-c1ccccc1,0.1940,3.8570,-9.0,-9.0
C[C@H](N[C@@H]1CCSc2ccc(F)cc21)c1ncc(Cl)cc1Cl,0.6950,4.4070,-8.75,-8.3
[NH3+]C[C@H]1CCCN1C(=O)C1CCCC1,0.5850,4.2400,-8.05,-6.8
[NH3+]CCSc1ccc(Br)cc1F,0.7160,4.1660,-7.7,-6.0
[NH3+]C[C@@H](O)CSc1ccc(C(F)(F)F)cc1,0.6960,4.3280,-8.25,-7.4
[NH3+][C@H](Cc1cccc(F)c1)c1cc(=O)[nH]c2ccccc12,0.6600,4.0680,-9.35,-9.9
[NH3+][C@]1(CC(=O)N2CCN(c3ccccc3)CC2)CCc2ccccc21,0.8290,4.0300,-9.5,-9.0
[C@](C(=O)Nc1cc(Cl)ccc1OC(F)F)N1CCN(Cc2ccccc2)CC1,0.6590,3.6250,-9.0,-9.2
[C@]1(c2ccccc2)Nc2cc(Cl)ccc2N1,0.6790,3.4250,-8.65,-9.2
[C@](C#N)S(=O)(=O)c1ccc2ccc(=O)[nH]c2c1,0.7500,4.0490,-8.6,-8.3
[C@]1(C(=[NH2+])Nc2cccc(Cl)c2)SCCO1,0.5050,4.4530,-8.35,-8.0
[C@](C#N)(O)CCNc1ccccc1CN1CCOCC1,0.6730,3.5130,-8.3,-7.3
[C@](O)(c1ccccc1F)C1(C)CC(=O)NC1=O,0.6560,4.2640,-8.7,-8.0
[C@]=C(c1ccccc1)NC(=O)NNc1cc(Cl)ccc1OC,0.6420,3.6220,-8.95,-10.0
[C@](C#Cc1ccccc1)c1ccc(NC(=O)C2CC2)nc1,0.7740,3.5670,-9.25,-9.7
[C@]1(C(=O)NCc2cccc(C(F)(F)F)c2)NC(=O)N(Cc2cccnc2)[C@@H]1C,0.7230,4.1420,-9.45,-10.7
[C@]1(Cc2ccc(Cl)cc2)NC(=O)NC1=O,0.6420,3.6070,-8.55,-8.4
[C@](C#Cc1ccc(Cl)cc1)NCCCn1cccc1,0.4020,3.9880,-8.25,-8.5
[C@]1(C(=O)Nc2cccc(Cl)c2)SCC(=O)N1Cc1ccccc1,0.8220,3.2890,-8.9,-9.2
[C@](C#N)(/N=C/C(=O)Nc1ccc(Cl)cc1)NC1CCCCC1,0.7180,3.7260,-8.45,-9.1
[C@]1(c2ccccc2)Oc2nc(SCc3ccccc3)[nH]c2N1,0.6140,3.7450,-9.25,-10.4
[C@](O)(c1ccsc1)N1CCN(C(C)C)CC1,0.7740,3.6690,-8.0,-7.3
[C@](O)(c1ccccc1)[C@H](CNC(=O)C(=O)Nc1ccc(C#N)cc1)c1ccccc1,0.4540,3.7560,-9.6,-9.3
[C@]1(C(=O)c2c[nH]c3cccc(Cl)c23)NC(=S)N1C1CCCCC1,0.5510,3.9190,-9.25,-9.2
[C@]1(C(=O)NCCc2cccs2)NC(=O)N(CCc2ccccc2)[C@@H]1C,0.7010,4.0650,-8.75,-9.4
[C@](C#N)(OCc1cc(Cl)cs1)Nc1cccc(F)c1,0.8000,3.9230,-8.4,-8.6
[C@]1(Cc2nc3ccccc3[nH]2)NC(=O)N(CC(N)=O)C1(C)C,0.6820,4.0010,-8.9,-9.2
[C@](O)(c1ccccc1)C1CCN(C(=O)c2ccc(N(C)C)cc2)CC1,0.8280,3.1520,-9.25,-10.5
[C@]1(CNC(=O)c2cccc(Cl)c2)[C@H]2CCCC[C@]2(C)Oc2ccccc21,0.7240,4.3080,-9.55,-11.1
[C@](C#N)(O[C@H](CO)c1ccccc1)c1ccncc1,0.7870,4.1190,-8.65,-7.9
[C@]1(c2cccc(Cl)c2)NC(=O)C1,0.5560,3.4790,-8.1,-7.8
[C@]1(C#Cc2ccccc2)NC(=O)N(C[C@@H]2Cc3ccccc3C(=O)N2)C1,0.7180,4.4980,-9.75,-10.3
Cc1ccccc1NC(=O)[C@@H](c1ccccc1)[C@@H]([NH3+])CSC1CCCCC1,0.6450,4.3360,-9.45,-9.3
O[C@H](Nc1c(F)cc(Br)cc1F)c1ccco1,0.7540,4.1500,-8.55,-7.9
[C@]1(C)CCN(C(=O)NCCNc2ccccc2F)C1,0.7190,3.4510,-8.6,-9.2
[C@](C#N)(/N=C(\[O-])c1ccc(C(=O)Nc2ccc(F)cc2)cc1)c1ccc(Cl)cc1,0.4150,3.6220,-9.45,-10.6
[C@]1(C#N)CCN(Cc2ccc([N+](=O)[O-])cc2)C1,0.4870,3.5990,-8.3,-7.8
[C@](O)(C1CCCCC1)C1CCN(C(=O)c2ccc[nH]2)CC1,0.7960,3.6090,-8.95,-8.7
[C@](O)(Cc1c[nH]c(C(N)=O)c1)C(=O)Nc1ccc(Cl)c(Br)c1,0.5350,3.9400,-8.95,-9.9
[C@]1(C#N)CCc2ccccc21,0.4440,3.7080,-7.9,-7.0
[C@]1(C(=O)NCc2ccccc2)c2ccccc2O1,0.7900,3.1330,-8.95,-9.5
[C@](O)(c1ccccn1)NC(=O)C1CCCCC1,0.7390,3.3700,-8.75,-8.5
[C@]Oc1c(C)cccc1C(=O)NCCC(=O)c1ccncc1,0.7300,3.5430,-8.9,-9.1
[C@]1(c2ccccc2)NC(=O)N(CC(=O)N2CCc3ccccc32)C1=O,0.7690,3.4740,-9.3,-10.7
[C@]1(Cc2cccc(F)c2)NC(C(=O)NC[C@@H]2CCCO2)C(=O)N1c1ccc(F)cc1,0.6120,4.4910,-9.5,-10.0
[C@](C#N)(O[C@@H](C)C(=O)NC(=O)C(C)(C)C)c1ccccc1F,0.8260,4.1530,-8.7,-9.4
[C@]1(NC(=O)c2ccccc2)CCC(=O)N1c1ccccc1,0.8390,3.1310,-8.95,-8.4
[C@]1(CCc2ccc(Cl)cc2)[NH2+]C[C@@H]1c1ccc(F)cc1,0.7890,4.2620,-9.15,-9.5
[C@](C#N)N(CC#N)c1ccccc1,0.4090,4.2220,-7.55,-6.1
[C@]1(COc2cc(F)cc(F)c2)N[C@H](c2cccnc2)N1C1CC1,0.8200,4.3160,-8.75,-8.8
[C@](C#N)(CNC(=O)Nc1cc2c(cc1Br)OCCO2)c1ccc(Cl)cc1,0.6560,3.6970,-9.45,-9.6
[C@]1(CNc2ccccc2C#N)CCCO1,0.7160,3.7600,-8.3,-7.7
[C@]1(C(=O)NCC2CCN(c3ccccc3F)CC2)N=NC(N)=N[C@@H]1C,0.7720,4.4490,-9.4,-10.4
[C@](CC(=O)Nc1ccc(C#N)c(Cl)c1)c1cccc(F)c1,0.8330,3.5400,-8.85,-9.9
[C@](O)(c1ccccc1)[C@H]1CCc2ccccc21,0.7230,3.5790,-9.2,-9.2
[C@](O)(CNC(=O)c1ccccc1[N+](=O)[O-])C(=O)N1CCCC1,0.5180,3.3980,-8.75,-9.5
[C@]1(c2cccnc2)N2CCCC[C@@]2(C(=O)NCc2cccnc2)C1=O,0.7570,4.3120,-9.2,-9.0
[C@](O)(c1cccnc1)[C@@H]1CCCN(C(=O)N2CCCC2)C1,0.8080,3.9210,-8.5,-9.2
[C@](O)(c1ccc(F)cc1)[C@H]1CCCCN1c1ccc2[nH]ccc2c1,0.6380,3.9410,-9.45,-9.0
[C@]1(CCc2ccccc2)NC(=O)N(CN2CCC(c3nc4ccccc4s3)CC2)C1,0.5340,3.7850,-9.6,-10.8
[C@](C#N)S(=O)(=O)Cc1ccccc1F,0.6570,3.9440,-7.95,-7.1
[C@]Oc1cc(NC(=O)N[C@H]2C[C@H]2C)ccc1OC1CCCC1,0.7750,4.4250,-8.8,-9.7
[C@](C#Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,0.7010,3.4610,-8.95,-9.9
[C@](C#N)(OCc1cnc(-c2ccc(Cl)cc2)nc1)c1ccc(F)cc1,0.5750,3.5030,-9.3,-9.9
[C@]1(CC(C)C)OC(=O)C[C@H]1Nc1cccc(Cl)c1,0.7460,4.2150,-8.45,-8.7
[C@](O)CNc1nc(F)ccc1F,0.5730,4.3850,-7.85,-6.5
[C@]1(C(=O)/C=C/c2ccc(OC(=O)N3CCOCC3)cc2)CS1,0.5300,3.5830,-8.65,-8.8
[C@]Oc1ccccc1NC(=O)CC1CCN(c2ccccc2F)CC1,0.7950,3.3860,-9.15,-9.6
[C@](C#N)(NC(=O)c1ccc(Br)cc1)c1ccccc1,0.8450,3.2190,-8.9,-8.4
O=C(Nc1ccccc1)C(=O)Nc1cccc([N+](=O)[O-])c1,0.4120,2.6830,-9.2,-10.0
[C@](O)(CC(=O)N1CCC[C@H]1c1ccccn1)c1n[nH]c2ccccc12,0.6680,4.1290,-9.55,-9.0
[C@]1(CC(=O)Nc2ccccc2C(=O)N2CCCC2)CN1Cc1ccccc1,0.7020,3.6820,-9.15,-10.3
[C@](C#N)(NC(=O)c1cc(F)c(F)cc1F)[C@H]1CCCO1,0.7640,4.3020,-8.7,-8.4
[C@]1(c2ccncc2)NC(=O)N(CC(F)(F)F)C1=O,0.7070,4.0170,-8.8,-8.0
[C@]1(C)Cc2ccc(C(=O)NCc3ccc4c(c3)CC[NH2+]C4)cc21,0.7910,4.3650,-9.65,-11.6
[C@](C#N)(Oc1ccccc1C(F)(F)F)c1n[nH]c([O-])c1C#N,0.8300,4.4850,-8.85,-8.6
[C@]1(NC(=O)c2cncc3sccc23)NN(CCOc2ccccc2)C1=O,0.5960,3.8980,-9.25,-10.3
[C@](O)(c1ccc(Cl)cc1)N1CCN(Cc2ccccc2)CC1,0.8370,2.9740,-8.75,-9.2
[C@](O)(CCc1ccc(Cl)cc1)NC(C)(C)C,0.7440,3.2730,-8.25,-7.6
[C@]Oc1ccc(NC(=O)COc2ccc(N)c(Cl)c2)cc1OC,0.6940,3.4210,-8.55,-9.0
[C@](N)(c1ccc(Br)cc1)[C@H]1CCCC[C@@H]1O,0.7760,4.1400,-8.7,-8.2
[C@](O)(CC/N=C/c1ccc(F)cc1)c1ccc2ccccc2c1,0.5780,3.4300,-9.2,-10.8
[C@](O)(c1cccc(Cl)c1)[C@H]1CCCO1,0.7150,3.8880,-8.25,-7.6
[C@](C#Cc1ccccc1)C(=O)Nc1ccc(N2CCOCC2)cc1,0.7850,3.4860,-9.25,-9.5
[C@]O[C@@H](CO)CNC(=O)c1cc(C(C)C)c2ccccc2n1,0.7560,4.2450,-9.0,-9.1
[C@]1(C(=O)CCc2ccccc2OC[C@@H]2CCCO2)CCCO1,0.6760,4.1120,-8.85,-8.6
[C@]1(CCNC(=O)N(Cc2ccco2)Cc2ccccc2)CCCO1,0.7430,3.5960,-9.05,-9.0
[C@]1(c2ccccc2)CSCCN1Cc1cccc(F)c1,0.7400,3.4420,-8.85,-8.0
[C@](C#N)C(=O)c1ccc([N+](=O)[O-])c(N2CCCC2)c1,0.3670,3.8280,-8.4,-8.0
[C@](C(=O)c1ccc(Br)cc1)N1CCOCC1,0.6940,3.8700,-8.45,-7.7
[C@](Cl)c1nc2cc(NC(=O)c3ccccc3)[nH]c2s1,0.6750,4.1860,-8.55,-10.0
[C@]1(c2ccco2)NC(=O)N(CC(=O)N[C@@H]2CCCc3cc(F)ccc32)C1,0.7840,4.3160,-9.4,-10.6
[C@]Oc1ccc(S(=O)(=O)Nc2ccc(C#N)c(Cl)c2)cc1[N+](=O)[O-],0.5420,3.6990,-8.95,-9.3
[C@](O)(c1cccc(C#N)c1)[C@H]1CCCS1,0.7300,4.3300,-8.15,-7.4
[C@]Oc1ccc(C(=O)[C@@H](C#N)C(=O)CNc2cccnc2)cc1C,0.5220,4.4760,-8.6,-9.1
[C@](O)([C@H](CBr)c1ccc(Br)cc1)NC(C)=O,0.7210,4.1920,-8.45,-7.2
[C@]O[C@@H](C(=O)NCC(C)(C)NC(=O)c1cc2ccccc2oc1=O)c1ccccc1F,0.4700,4.3120,-9.7,-10.4
[C@](O)(CNc1ccccc1NC(=O)c1ccccc1)c1ncc(Cl)s1,0.4990,3.5040,-9.0,-9.0
[C@]1(C(=O)Nc2ccc(CNC(=O)OC(C)(C)C)cc2)CC1,0.7950,3.2210,-8.55,-8.4
[C@]1(c2ccccc2)NC(=O)N(CC(=O)Nc2ccccc2)C1=O,0.7450,3.1870,-9.15,-10.7
[C@](O)(c1ccccc1)[C@H]1CCCC1=O,0.6750,3.8310,-8.45,-8.0
[C@]1(C#N)CCc2c1ccc1ccccc21,0.5280,3.6120,-8.7,-8.3
[C@]1(Cc2cccc([N+](=O)[O-])c2)c2c(F)cccc2O1,0.5270,3.5940,-9.25,-9.4
[C@]1(NC(=O)Nc2nncs2)CC(=O)N(CC(C)(C)C)C1=O,0.7100,4.2180,-8.75,-9.1
[C@](O)(c1ccc(Cl)cc1)NC(=O)Cc1ccc(F)cc1,0.8100,3.0770,-9.0,-9.6
[C@]1(C(C)C)CCC[C@@H]1NC(=O)c1csc(Br)c1,0.7970,4.4290,-8.15,-8.2
[C@]1(CC2C[C@@H](C(N)=O)C2)CCC1(CO)Cc1ccccc1,0.7440,4.4190,-8.95,-9.4
[C@]S[C@H](C)C(=O)N[C@@H](C)c1cccc(-n2ccnc2)c1,0.8190,4.4980,-8.45,-8.5
[C@]1(Cc2cccc(F)c2)NC(=O)N(CC(=O)[O-])C1=O,0.6210,4.1410,-8.8,-8.6
[C@]1(C(=O)[O-])CCCN(C(=O)[C@@H](C)c2ccccc2)C1,0.7040,4.2810,-8.7,-8.5
[C@]1([O-])CCC[C@H]1OC1CCN(C(=O)Cc2ccccc2)CC1,0.7500,4.0820,-8.95,-10.0
[C@](C#N)(F)COc1ccccc1C(F)(F)F,0.6500,3.6270,-8.1,-7.3
[C@]1(C[NH+]2CCC(OCc3ccc(F)cc3)CC2)NC(=O)N(Cc2ccc(C(C)C)cc2)C1=O,0.5050,4.4260,-9.5,-9.4
[C@](O)(c1ccccc1)c1nnnn1C1CC1,0.7380,3.6000,-8.55,-8.2
[C@](c1ccc(Br)o1)c1cc(F)ccc1OCc1nnco1,0.6030,4.2410,-9.0,-9.4
[C@](O)(CNc1ccc(CCCN2CCOCC2)cc1)c1ccc(F)cc1,0.6590,3.2780,-9.0,-9.7
[C@]1([C@@](C)(C)CCCNC(=O)c2cc[nH]n2)CCC1(C)C,0.6830,4.4220,-8.55,-8.8
[C@](C#N)(NC(=O)NCC1(O)CCCCC1)c1ccc(F)cc1,0.6970,3.7660,-8.85,-9.0
[C@](O)(c1ccccc1)[N+](=O)[O-],0.4110,3.3550,-7.95,-6.5
[C@]1(C#N)CCC/C1=N\NC(=O)CNc1ccc(F)cc1F,0.7340,3.8890,-8.85,-9.8
[C@](O)(c1ccc(F)cc1)S(=O)(=O)/N=C/c1ccccc1,0.7800,3.5030,-8.8,-9.7
[C@]1(C(=O)c2ccccc2)c2ccccc2O1,0.6110,3.1920,-8.85,-9.0
[C@](O)(c1ccccc1)[C@@H]1CS(=O)(=O)c2ccc(F)cc21,0.7650,4.1740,-9.3,-8.8
[C@](COCCNC(=O)COc1cccnc1F)c1ccc[nH]1,0.4390,4.0740,-8.15,-8.2
[C@]1(C)CCC[C@@H]1CNS(=O)(=O)c1ccccc1F,0.8130,3.9990,-8.85,-8.8
[C@](O)(CCCCCNC(=O)N1CC[C@@H](O)C1)=N/NC(=O)c1cc(F)ccc1F,0.1320,4.0560,-9.25,-9.8
[C@]Oc1ccc(CNC(=O)NCc2cnn(C)c2)cc1Cl,0.7880,3.6690,-8.7,-8.9
[C@](O)(CN1CCc2ccccc21)C(F)(F)F,0.7430,3.5530,-8.3,-7.8
[C@](O)(c1ccc(F)c(F)c1)C1CCCCC1,0.7110,3.3020,-8.65,-8.5
[C@]1(C(C)C)[C@@H](C(=O)[O-])NC(=O)N1CCc1ccccc1,0.7520,4.4080,-8.7,-7.9
[C@](O)(c1ccco1)n1cnnc1Cc1cc(Cl)cc2c1CCCC2,0.6840,4.0660,-9.25,-11.0
[C@](CC(=O)Nc1cccc2c1OCCO2)c1cc(Cl)ccc1Cl,0.7980,3.6830,-9.15,-10.2
[C@](C#N)(OCc1cccc(C)c1)N1CCC[C@@H]1c1ccc(F)c(F)c1,0.6950,3.9830,-9.2,-9.8
[C@]Oc1ccc(NC(=O)C[NH+]2CCC(C(=O)Nc3ccccc3F)CC2)cc1OC,0.5450,4.4220,-9.3,-9.4
[C@](C#Cc1ccccc1)C(=O)Nc1c[nH]nc1-c1ccc(Cl)cc1Cl,0.5710,4.0970,-9.3,-10.1
[C@](COC(=O)c1cnc(-c2ccccc2)nc1)c1cccc(F)c1,0.5740,3.4620,-9.2,-10.1
[C@]1(COc2ccc(C#N)c(Cl)c2)[C@H]2CC[C@@]12C,0.7170,4.3890,-8.5,-8.3
[C@](O)(Cc1ccccc1)C(=O)NCc1ccc(F)cc1F,0.7890,3.1860,-8.9,-9.7
[C@]1(C(=O)Nc2cccc(-n3cccn3)c2)CCCN(c2ncn[nH]2)C1,0.6580,3.9850,-9.25,-11.0
[C@](Cl)C(=O)Nc1sc2ccccc2c1NC(=O)Cc1cccc(Br)c1,0.4880,3.7490,-9.05,-9.9
[C@]1(C#N)C2=Cc3ccccc3n2[C@H]1C(=O)Nc1ccc(C(N)=O)cc1,0.6710,4.0750,-8.95,-8.5
[C@]1(COc2ccccc2)NC(N)=NO1,0.6270,3.9730,-8.5,-8.1
