smiles,QED,SA,EGFR_Docking,HER2_Docking
[C@H](CC(=O)N1CCC(NC(=O)c2ccccc2)CC1)c1ccc(Cl)cc1,0.7730,3.2180,-9.35,-10.1
[C@H]OC(=O)[C@H](C)c1ccc(Cl)cc1,0.5800,3.9530,-7.95,-7.1
[C@H](C)c1ccc(OC(=O)Cc2csc(-c3ccccc3)n2)cc1,0.4120,3.2910,-9.1,-10.6
[C@H]1C[C@H](CO)CN(C(=O)Nc2cc(F)ccc2F)C1,0.7630,4.1920,-8.8,-9.2
[C@H]1COCCN1Cc1cc2ccccc2cc1OC(F)F,0.7610,3.8330,-8.85,-9.0
[C@H](C)C(=O)Nc1ccc(C(=O)Oc2cccc(Cl)c2)cc1,0.5910,3.0220,-8.9,-9.6
[C@H]1CC[C@@H](C)[C@@H](Oc2ccc(NC(=O)CN3CCOCC3)cc2)C1,0.8010,4.2440,-8.75,-9.3
[C@H]Oc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2F)cc1OC,0.5760,3.3420,-8.95,-9.5
[C@H](C)C(=O)NC[C@H]1CCc2c(O)cccc21,0.7120,4.1760,-8.85,-8.1
[C@H]1C=NN=C1c1cccc(OCc2cnn(C)c2)c1,0.7360,3.9540,-8.8,-8.8
[C@H]Oc1ccc(CC(=O)N[C@H](C)c2nc(-c3ccccc3C)cs2)cc1C,0.5640,4.0220,-9.1,-10.5
[C@H]Oc1ccc(S(=O)(=O)N2CCN(C(=O)c3cccc4ccccc34)CC2)cc1OC,0.5120,3.3710,-9.45,-10.2
N#C[C@H](c1ccccc1Cl)N1CC(O)(c2ccncc2)C1,0.8460,4.1710,-8.55,-9.0
Cc1ccc(C(=O)N(c2c(F)cc(F)cc2F)C(=O)c2ccccc2C#N)cc1C,0.4680,3.5020,-9.95,-7.2
O=C(c1csc(NCCc2ccccc2)n1)NC[C@@H]1CCCO1,0.7190,3.5460,-8.85,-9.1
[C@H]Oc1ccc(/C=N\NC(=O)/C(Cl)=C/c2ccc(OCc3ccccc3)c([N+](=O)[O-])c2)c(OC)c1,0.0850,3.9160,-9.35,-9.0
[C@H](C)[C@H](NC(=O)C[C@H](O)c1ccc(Cl)cc1)c1cccc(Br)c1,0.6500,4.2880,-9.0,-9.3
[C@H]Oc1cccc(C(=O)N(C)Cc2cc(=O)[nH]c([O-])c2C)c1,0.8150,4.2410,-8.7,-8.9
[C@H]1CCN(C(=O)CNc2cccc(CC(C)C)c2)C1,0.7820,3.5200,-8.65,-9.1
[C@H]Oc1cccc(-c2cc(C(=O)OCc3ccc(OC(C)C)cc3)no2)c1,0.4730,3.5440,-8.95,-9.9
[C@H](C)NC(=O)c1ccccc1-n1cccn1,0.7460,3.5730,-8.3,-7.2
[C@H]Oc1ccc(NC(=O)C[NH2+]c2ccccc2Oc2ccccc2)cc1,0.5440,4.0240,-9.25,-10.1
[C@H]Oc1ccccc1-n1ccc2c(C(=O)[O-])c(C#N)cnc21,0.6250,4.4070,-8.85,-7.6
[C@H](C)SCCn1nc2ccc(C(=O)NCc3cccnc3)nc2n1,0.5620,4.1910,-8.6,-9.0
[C@H]O/C=C/C=C/C(=O)Nc1ccc(OCC(N)=O)cc1,0.3440,3.7620,-8.45,-8.5
[C@H](C[NH3+])c1ccc(Br)cc1C(F)(F)F,0.7520,4.4170,-8.0,-7.1
[C@H](C#N)Cn1ncc2c(NC(=O)c3cccc(F)c3)ncnc21,0.6940,3.7820,-9.2,-9.3
[C@H]Oc1ccccc1CN(C[C@H]1CCCO1)C(C)=O,0.7160,4.0810,-8.45,-7.6
[C@H](C)[C@@H](NC(=O)c1cc(-c2cnn(C)c2)nn1C)C(=O)N(C)C,0.7550,4.4840,-8.65,-9.6
[C@H]#CC[C@H](C(=O)[O-])N1C(=O)c2ccccc21,0.5540,4.4710,-8.5,-7.7
[C@H](C(=O)C[C@H]1SCCN(c2ccccc2)C1)c1cccs1,0.7350,4.3590,-8.65,-8.6
[C@H]1CCCN(C(=O)CN2CCc3cnn(-c4ccccc4)c3C2)C1,0.7680,3.7850,-9.45,-9.2
[C@H]1c2ccccc2C(=O)N1c1cc(N2CCOCC2)nc(N2CCCC2)n1,0.7310,3.8860,-9.75,-9.6
[C@H]=C(C#N)Cc1cccc(NCCC(=O)N(C)C)c1,0.6920,3.7690,-8.5,-8.3
[C@H](C)OC(=O)c1ccccc1CCC(=O)NCc1ccc(F)cc1,0.6930,3.2440,-9.05,-9.4
[C@H](C[NH3+])c1ccccc1OC[C@H]1CCCO1,0.7070,4.4010,-8.1,-8.0
[C@H]#Cc1ccc(S(=O)(=O)N(CCO)Cc2ccccc2)nc1,0.7140,3.4490,-8.8,-7.8
[C@H]Oc1cccc(C(=O)C[C@@]2(O)C(=O)N(Cc3ccccc3)c3ccccc32)c1,0.5570,3.9080,-9.6,-9.2
[C@H](C)[C@@H](NC(=O)CN1CCN(Cc2ccccc2)C1)c1nccs1,0.7380,4.2250,-8.65,-8.5
[C@H]1C(=O)CN(Cc2ccc(CCO)cc2)C1=O,0.7140,3.6510,-8.6,-8.4
[C@H]Oc1ccc(/C=C(/C#N)C(=O)OC(C)C)cc1OC,0.3680,3.7760,-8.1,-7.2
[C@H]1CCN(C(=O)C[C@H]2CCCCO2)[C@@H]1c1ccc(Cl)cc1,0.7500,4.4380,-9.1,-8.1
[C@H]Oc1ccc(-c2ncoc2)cc1NCc1cc(-c2ccccc2)on1,0.4480,3.9180,-9.4,-10.3
[C@H](C#N)NCC1(CN2CCCC2=O)CCCC1,0.6320,4.3760,-8.2,-7.0
[C@H]S(=O)(=O)c1ccccc1CNC(=O)NC[C@@H](O)c1ccc(F)cc1F,0.6120,4.0320,-9.2,-10.3
[C@H](C#N)[C@@H]1CCCC[C@H]1CNC(=O)CCc1ccc2c(c1)OCO2,0.7720,4.4580,-8.95,-9.6
[C@H]1CC[C@H]1NC(=O)NCCc1nc2ccc(F)cc2[nH]1,0.6970,4.1680,-8.9,-9.5
[C@H](C#N)CNc1ccc(Br)cc1Cl,0.7450,3.9290,-7.8,-6.4
[C@H]Oc1ccc(NC(=O)c2csc(-c3cccc([N+](=O)[O-])c3)n2)cc1,0.4520,3.4410,-9.05,-10.6
[C@H](NC(=O)/C=C/c1cccc(C(F)(F)F)c1)c1ccc(Cl)s1,0.6960,3.7900,-8.9,-10.3
[C@H]1c2cc(C(=O)NCc3ccccc3)ccc2-n2c1nn1c2nnnc1=O,0.4040,4.0980,-10.0,-11.6
O=C1C[C@H](C(=O)N2CCN(c3ccc(OC(F)F)cc3F)CC2)c2cc(S(=O)(=O)N3CCCCC3)ccc2N1,0.4760,4.1740,-9.85,-12.4
[C@H]#C[C@](C)(O)CNC(=O)c1ccc2c(c1)COCO2,0.6850,4.2310,-8.7,-8.7
[C@H]Oc1cc(C)cc(O[C@@H](C)C(=O)N[C@H](C)c2ccc(F)cc2)c1F,0.7600,4.2650,-9.05,-9.2
[C@H]Oc1ccc(NC(=O)c2ccco2)cc1I,0.7730,3.6010,-8.55,-8.3
[C@H]/[C@H]/C([O-])=N/S(=O)(=O)c1ccc(Br)cc1,0.5100,4.3240,-8.25,-7.3
[C@H]/[C@H]/[NH2+]Cc1ccccc1OCc1cccc(F)c1F,0.7610,4.0570,-8.6,-8.6
[NH2+]=C(Nc1cc([N+](=O)[O-])ccc1[N+](=O)[O-])N1CCCCC1,0.2620,3.8120,-8.65,-8.6
[NH2+]CCCC(=O)N(CCc1ccccc1)C1CC1,0.6670,3.5730,-8.35,-7.3
[NH2+]=C(NC1CC1)N1CCC[C@@H](CNc2ccc(F)cc2)C1,0.4680,4.1100,-8.7,-8.9
[NH2+][C@@H](c1ccccc1Br)C1(c2ccc(F)cc2F)CC1,0.7860,4.3300,-9.0,-9.0
[NH2+]Cc1cccc(COc2ccc([N+](=O)[O-])cc2)c1,0.5550,3.3420,-8.8,-9.0
[NH2+][C@@H]1CN(Cc2ccccc2)CN(C(=O)Cc2cccs2)C1,0.8150,4.2770,-8.55,-8.2
[NH2+][C@@H](CC(=O)NCc1c[nH]c2ccccc12)C1CC1,0.6340,4.1770,-8.75,-9.2
[NH2+]=C1/C(=C/Nc2ccccc2)SC(=S)N1C1CCCCC1,0.7410,3.8980,-8.85,-8.7
[NH2+]CCNC(=O)Nc1ccc(F)cc1,0.5260,3.4490,-8.25,-7.3
[NH2+][C@H](c1ccccc1F)[C@@H]1COc2ccccc21,0.7610,4.4320,-5.0,-9.2
N#Cc1ccccc1CS(=O)(=O)CC1CC1,0.7000,3.2860,-8.35,-7.3
O=C(Nc1cc(C(F)(F)F)cc(Cl)c1)[C@@H]1CC(=O)N(c2ccc(Cl)cc2)C1,0.6640,3.5770,-9.6,-8.3
CCOCC1CCN(C(=O)Nc2ccccc2N2CCCC2)CC1,0.7970,3.0860,-8.7,-8.5
[NH2+]=C1CSC(=S)N1c1ncnc2cc(Cl)ccc12,0.7030,4.3210,-8.95,-7.5
[NH2+]=C1/C(=C/c2ccc(OCCO)cc2)C(=O)N[C@H]1c1cccc(F)c1,0.5980,4.2560,-9.1,-10.2
[NH2+]=C1CCCN1CCc1ccc(S(=O)(=O)N2CCCC2)cc1,0.7460,3.6240,-9.1,-9.6
[NH2+][C@@H](CSc1ccccc1)C1CCC1,0.6500,4.2680,-8.05,-7.6
[NH2+]=C(N[C@H]1CCCNC1=O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],0.1770,4.4890,-8.75,-9.1
[NH2+][C@H](Cc1cc(C(F)(F)F)ccc1F)c1ccccc1,0.7370,4.0030,-9.15,-9.4
[NH2+]CC(=O)Nc1ccccc1C(=O)n1cnc(-c2ccccc2)n1,0.6340,3.6600,-9.7,-10.1
[NH2+]=[N+]=Cc1ncc(Cc2ccccc2)s1,0.3560,4.2840,-8.65,-7.9
[NH2+]c1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3C(F)(F)F)CC2)cc1,0.5300,3.7270,-9.25,-8.3
[NH2+][C@@H](c1cccc(Br)c1)[C@H]1COc2ccccc2C1,0.8080,4.4750,-5.0,-9.8
[NH2+]=C1/C(=C/C=C/c2ccccc2)Oc2ccccc21,0.7690,3.8240,-9.45,-10.6
[NH2+]Cc1ccc([N+](=O)[O-])cc1F,0.4110,3.9600,-7.9,-6.4
[NH2+][C@@H](CCc1ccc(Br)cc1)C(F)(F)F,0.7800,4.2750,-8.45,-7.8
[NH2+]=C(NCc1cncc(C(F)(F)F)c1)NCC1(CC2CC2)CCCCC1,0.4340,4.2390,-9.05,-10.1
[NH2+]=C1/C(=C/c2ccc(O)cc2)CS1,0.5870,4.2700,-8.25,-7.5
[NH2+][C@H](CN1CCC(c2ccccc2)CC1)c1ccncc1,0.8310,4.0330,-9.05,-9.6
[NH2+]=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1ccccc1,0.2710,3.5940,-8.95,-10.3
